Project ID,Record ID,Title,Datasets Used,Accreditation Date,Year,sample_reason
2020/094,2020/094,Exploring house sharing amongst people aged 30 and over in 2001 and 2011,"Office for National Statistics: Secure Census 2011 England and Wales: Household Sample & Census 2001 Controlled
Access Microdata Samples
",2020-10-22,2020,random_fill
2023/050,2023/050,The effects of UK ODI on the home economy,"Office for National Statistics: Annual Foreign Direct Investment Survey - UK, Annual Business Survey - UK, International Trade in Services - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK",2023-04-04,2023,random_fill
2025/117,2025/117,Examining the NI   ˜Brain Drain  ™,UCAS: Universities and Colleges Admissions Service data,2025-05-14,2025,random_fill
2023/311,2023/311,Automatic enrollment and retirement contributions,"Office for National Statistics: Annual Survey of Hours and Earnings - UK, Annual Survey of Hours and Earnings Longitudinal - UK, Over 50s Lifestyle Study - Great Britain, Wealth and Assets Survey - Great Britain
DWP: Family Resources Survey - UK",2023-12-22,2023,random_fill
2026/016,2026/016,Estimation of adjustment costs and misallocation of inputs,Office for National Statistics: Annual Respondents Database,2026-01-21,2026,random_fill
2021/048,2021/048,To compare the social and geographical patterning of intergenerational mobility for England & Wales,Office for National Statistics: Longitudinal Study of England and Wales ,2021-12-05,2021,random_fill
2025/014,2025/014,Disaggregating Household Inequality and Poverty in Northern Ireland Using Linked Administrative Data,Northern Ireland Statistics and Research Agency: CGIAD 2019-2020,2025-01-31,2025,random_fill
2021/111,2021/111,Re-counting crime: New methods to improve the accuracy of estimates of crime,"Office for National Statistics: Crime Survey for England and Wales, 2011 Census: Aggregate Data",2021-12-08,2021,random_fill
2024/057,2024/057,The Role of Trade Agreements in Facilitating Digital Trade,"Office for National Statistics: International Trade in Services - UK, Annual Business Survey - GB, Business Insights and Conditions Survey - UK, E-commerce and Digital Economy Survey - UK, Business Structure Database - UK",2024-04-03,2024,random_fill
2022/143,2022/143,Knowledge Transfer Partnership  Scheme Evaluation,Office for National Statistics: Business Structure Database ,2022-04-10,2022,random_fill
2023/209,2023/209,Sustainable Transport Infrastructure and Car Usage: UK Snapshot,Institute for Economic and Social Research: Understanding Society - UK,2023-09-19,2023,random_fill
2021/081,2021/081,Digital inclusivity as a way to reduce regional inequalities in the UK,"Office for National Statistics: Annual Business Survey, Longitudinal Inter-­Departmental Business Register 
Department for Business, Energy and Industrial Strategy:  Longitudinal Small Business Survey  & UK Innovation Survey  ",2021-06-23,2021,random_fill
2025/034,2025/034,Educational Attainment and Chronic Conditions Among Children and Young People: Evidence from Linked Administrative Data,NHS; DfE: Education and Child Health Insights from Linked Data - England,2025-02-05,2025,random_fill
2022/053,2022/053,Assessing the Economic Impact of the BBC,"Office for National Statistics: Annual Population Survey,
Business Structure Database

Institute for Economic and Social Research: Understanding Society ",2022-03-28,2022,random_fill
2020/066,2020/066,Evaluation of the Competition and Markets Authority's Covid-19 taskforce,Office for National Statistics: Business Impact of COVID-19 Survey  & Coronavirus and the social impacts on Great Britain ,2020-08-26,2020,random_fill
2020/060,2020/060,"The benefits of digital technologies adoption on UK manufacturing businesses: Manufacturing renaissance, servitization and digital technologies' adoption","Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development  & E-commerce Survey 
Department for Business, Energy and Industrial Strategy: UK Innovation Survey ",2020-09-07,2020,random_fill
2024/106,2024/106,"Health impact, process and economic evaluation of selective licensing schemes for private rented housing in England",Office for National Statistics: Annual Population Survey - UK,2024-07-05,2024,random_fill
2026/047,2026/047,Documenting children's experience of family change in England and Wales,"Office for National Statistics: Census 2011 Household - England and Wales,
Census 2021 Household Secure Microdata Sample - England and Wales  ",2026-03-17,2026,random_fill
2023/065,2023/065,Skills at workplace and pay progression,"Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales, Annual Business Survey - UK, Annual Respondents Database x - UK, Management and Expectations Survey - Great Britain
Department For Education: Employer Skills Survey and Investment in Training - UK
Department for Business, Energy & Industrial Strategy: Workplace Employment Relations Survey - Great Britain, UK Innovation Survey",2023-04-18,2023,random_fill
2021/174,2021/174,Impact of austerity policies and racism on health inequalities observed during the covid-19 pandemic,"Office for National Statistics / NHSD: Public Health Research Database  
Institute for Social and Economic Research: Understanding Society ",2021-11-19,2021,random_fill
2020/037,2020/037,"Zero Hours Contracts: Characteristics, Prevalence and Impacts on Workers","Office for National Statistics: Annual Population Survey, Quarterly Labour Force Survey, Labour Force Survey Five-Quarter Longitudinal Dataset  & Annual Population Survey: Well-Being ",2020-05-29,2020,random_fill
2022/027,2022/027,Evaluation of the Strength in Places Fund ,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database 
Department for Business, Energy & Industrial Strategy: UK Innovation Survey ",2022-02-18,2022,random_fill
2024/215,2024/215,Tackling child health inequality. An interventional epidemiology platform to inform policy.,NHS; DfE: Education and Child Health Insights from Linked Data - England,2024-11-11,2024,random_fill
2023/086,2023/086,Efficiency and productivity of UK firms,"Office for National Statistics: Annual Business Survey - UK, Business Enterprise Research and Development - Great Britain, Business Structure Database - UK, Low Carbon and Renewable Energy Economy Survey - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",2023-06-19,2023,random_fill
2025/123,2025/123,Perinatal Health: Risks and Social Ecological Systems (PHRaSES),NHS; DfE: Education and Child Health Insights from Linked Data Research Database - England,2025-05-21,2025,random_fill
2024/119,2024/119,"Analysis of domestic violence, sexual violence and stalking of older adults (aged 60-74)",Office for National Statistics: Crime Survey for England and Wales,2024-07-01,2024,random_fill
2020/049,2020/049,Evaluation of the Enterprise Capital Funds,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Enterprise Research and Development  & Business Structure Database ",2020-05-29,2020,random_fill
2021/029,2021/029,What are the relative contributions of different exposures and settings to COVID-19 community transmission? Analysis of community cohort studies linked to national testing data,"Office for National Statistics / University of Oxford: Covid-19 Infection Survey, Covid-19 Infection Survey linked with Combined Vaccination Dataset ",2021-03-17,2021,random_fill
2024/172,2024/172,Evaluating the Future Flight Challenge,Office for National Statistics: Business Structure Database - UK,2024-09-04,2024,random_fill
"2023/070
","2023/070
",The economic and socio-­economic impacts of trade on the UK labour market (Census Data),"Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales, International Trade in Services - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK",2023-05-09,2023,random_fill
2021/033,2021/033,The impact of COVID-19 on small and medium enterprises,"Office for National Statistics: Annual Business Survey, Annual Respondents Database, Business Impact of COVID-19 Survey, Business Structure Database, Longitudinal Inter-Departmental Business Register, Monthly Business Survey 
Department for Business, Energy & Industrial Strategy: UK Innovation Survey ",2021-03-31,2021,random_fill
2022/163,2022/163,Health and education outcomes of first and second generation migrant children in England and Wales,Office for National Statistics: Longitudinal Study of England and Wales,2022-10-18,2022,random_fill
2022/110,2022/110,"Analysis of domestic violence, sexual violence and stalking of older adults ",Office for National Statistics: Crime Survey for England and Wales ,2022-02-08,2022,random_fill
2022/044,2022/044,"Revisiting the ‘China Shock’ – Entrepreneurial firms, employment, and the backlash against globalisation","Office for National Statistics: Labour Force Survey , Longitudinal Small Business Survey ",2022-03-31,2022,random_fill
2025/231,2025/231,Rethinking the Value of a University Degree,Department for Education: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England,2025-10-10,2025,random_fill
2025/105,2025/105,Quasi­-experimental analysis of the impacts of Innovate UKs Business Growth Programme on supported small and medium enterprises,Office for National Statistics: Business Structure Database,2025-04-25,2025,random_fill
2025/252,2025/252,Barriers to growth: the role of physical barriers in determining agglomeration spillovers,"Office For National Statistics: Longitudinal Business Database - UK, Annual Respondents Database 2, Annual Respondents Database X",2025-11-25,2025,random_fill
2025/202,2025/202,Rising Inequality: A Closer Look at the Firm Dynamics Behind Earnings Disparities,"Office for National Statistics: Business Structure Database UK, 
Annual Business Survey GB, 
Longitudinal Business Database UK,
Annual Survey of Hours and Earnings 
Longitudinal - UK",2025-09-11,2025,random_fill
2024/148,2024/148,Returning to learning for Level 2 achievers - similarities and differences,"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",2024-08-02,2024,random_fill
2021/154,2021/154,Occupational Sorting by Task and English Language: Immigrant/UK born ethnic minorities versus White British,"Office for National Statistics: Census 1991, 2001, 2011",2022-01-27,2022,random_fill
2025/079,2025/079,"Birth and Beyond: Delivery Modes, Maternal Health, and Child Development in England",NHS; DfE: Education and Child Health Insights from Linked Data - England,2025-03-18,2025,random_fill
2025/106,2025/106,School attendance problems and educational attainment in children with neurodevelopmental conditions (intellectual disability and/or autism).,"Office for National Statistics: Growing Up in England Wave 1, Growing Up in England Wave 2 - Exclusions, Absences and English School Census",2025-04-15,2025,random_fill
2020/129,2020/129,"Born into care: Newborns in care proceedings in Wales

",SAIL Databank Databank: 2011 Census Data Welsh residents ,2020-07-12,2020,random_fill
2021/138,2021/138,Construction of Input-Output Tables for the Economy of Shetland Islands,"Office for National Statistics: Business Structure Database , Annual Business Survey, Annual Population Survey ",2021-09-22,2021,random_fill
2022/108,2022/108,The Future of Work and Wellbeing: The Pissarides Review,"Office for National Statistics: Annual Population Survey UK, Annual Survey of Hours and Earnings UK, Labour Force Survey UK ",2022-08-08,2022,random_fill
2021/027,2021/027,"SEARCH, SKILLS AND SATISFACTION: THE EMPLOYMENT TRAJECTORIES OF REFUGEES IN THE UK ","Office for National Statistics: Annual Population Survey, Labour Force Survey   & Labour Force Survey  
",2021-03-16,2021,random_fill
2022/176,2022/176,"The local impact of skill deficiencies on performance, productivity and agglomeration","Office for National Statistics: Annual Business Survey, Business Structure Database, Employer Skills Survey, National Employer Skills Survey, Quarterly Labour Force Survey, Research and Development Expenditures and Subsidies, Firm Productivity, Employment Creation and Survival ",2022-09-11,2022,random_fill
2025/138,2025/138,"HALO­ECHILD project; educational, mental health and social outcomes of young survivors of sickle cell disorder and beta­thalassaemia",NHS; DfE: Education and Child Health Insights from Linked Data,2025-06-06,2025,random_fill
2024/091,2024/091,Maternal health outcomes associated with blue green spaces.,Office for National Statistics: Census 2011,2024-05-29,2024,random_fill
2024/044,2024/044,Regional trade integration and the anti-globalisation backlash,"Office for National Statistics: Annual Business Survey - GB, Annual Business Inquiry - GB",2024-03-25,2024,random_fill
2023/270,2023/270,How do UK exporting firms differ from non-exporting firms?,Office for National Statistics: Annual Business Survey,2023-10-31,2023,random_fill
2026/013,2026/013,Mobility Restrictions and Innovation,"Office for National Statistics:  UK Innovation Survey, Business Enterprise Research and Development - GB, Annual Survey of Hours and Earnings Linked to PAYE and self-assessment data",2026-01-28,2026,random_fill
2022/181,2022/181,What cause the decline in UK Job-­to-­Job Mobility in recent decades?,"Office for National Statistics: Annual Business Survey, Labour Force Survey Longitudinal, Labour Force Survey Person, Understanding Society, Vacancy Survey",2022-11-15,2022,random_fill
2020/024,2020/024,Assessing the impact of UK Enterprise Zones,"Office for National Statistics: Annual Respondents Database, Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database  & Quarterly Labour Force Survey ",2020-04-20,2020,random_fill
2025/247,2025/247,What effect do demand-side policies to reduce downpayment constraints for home purchase have on social mobility?,"Understanding Society: Linked Credit Reference Agency (CRA) Dataset, British Household Panel Survey                                Office for National Statistics: Quarterly Labour Force Survey, Annual Population Survey                                             Department for Transport: National Travel Survey",2025-11-04,2025,random_fill
2021/084,2021/084,Evaluation of the UKRI Innovation and Knowledge Centres,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings,  Business Enterprise Research and Development  & Business Structure Database ",2021-09-07,2021,random_fill
2020/008,2020/008,Contextualised Admissions and University Choice,UCAS: Universities and Colleges Admissions Service ,2020-03-16,2020,random_fill
2020/011,2020/011,Innovation analysis for Knowledge Transfer Network,"Office for National Statistics: Business Enterprise Research and Development, E-Commerce Survey, Labour Force Survey Person, Survey of Innovation and Patent Use, Business Structure Database  & Longitudinal Business Structure Database 
Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey 
Department for Business, Energy and Industrial Strategy: Community Innovation Survey ",2020-03-16,2020,random_fill
