Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
po_p04_fit,project_owner_review,,radio,Does Service Interaction / Systems Analysis describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_p04] = '1',y,,,,,
po_p04_vis,project_owner_review,,radio,Is the basis for Service Interaction / Systems Analysis visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_p04] = '1',y,,,,,
po_p05_label,project_owner_review,,descriptive,"<strong>Policy Evaluation / Impact Analysis</strong><br>Research that evaluates the effects, impacts, implementation, or consequences of a specific named policy, programme, regulation, intervention, scheme, or institutional change.",,,,,,,([record_type] = '2') and [prop_p05] = '1',,,,,,
po_p05_fit,project_owner_review,,radio,Does Policy Evaluation / Impact Analysis describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_p05] = '1',y,,,,,
po_p05_vis,project_owner_review,,radio,Is the basis for Policy Evaluation / Impact Analysis visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_p05] = '1',y,,,,,
po_p06_label,project_owner_review,,descriptive,"<strong>Risk Prediction / Early Identification</strong><br>Research with an explicit predictive or early-identification design focused on predicting risk, identifying at-risk  individuals or groups, building risk scores, developing screening tools, or prospectively targeting people or places  before or as an adverse outcome emerges.",,,,,,,([record_type] = '2') and [prop_p06] = '1',,,,,,
po_p06_fit,project_owner_review,,radio,Does Risk Prediction / Early Identification describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_p06] = '1',y,,,,,
po_p06_vis,project_owner_review,,radio,Is the basis for Risk Prediction / Early Identification visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_p06] = '1',y,,,,,
po_p07_label,project_owner_review,,descriptive,"<strong>Methodological / Infrastructure Research</strong><br>Research whose primary purpose is to develop, test, validate, improve, or document methods, data infrastructure, measurement frameworks, linkage approaches,
 survey methods, or data assets. ",,,,,,,([record_type] = '2') and [prop_p07] = '1',,,,,,
po_p07_fit,project_owner_review,,radio,Does Methodological / Infrastructure Research describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_p07] = '1',y,,,,,
po_p07_vis,project_owner_review,,radio,Is the basis for Methodological / Infrastructure Research visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_p07] = '1',y,,,,,
po_p08_label,project_owner_review,,descriptive,<strong>Unclear from Register Entry</strong><br>Use where the project title and datasets do not provide enough information to infer the analytical purpose. ,,,,,,,([record_type] = '2') and [prop_p08] = '1',,,,,,
po_p08_fit,project_owner_review,,radio,Does Unclear from Register Entry describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,,,,,([record_type] = '2') and [prop_p08] = '1',y,,,,,
po_p08_vis,project_owner_review,,radio,Is the basis for Unclear from Register Entry visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,,,,,([record_type] = '2') and [prop_p08] = '1',y,,,,,
po_t01_label,project_owner_review,Binary tag status review,descriptive,"<strong>Demographic disparities / equity tag</strong><br>A cross-cutting tag for projects whose research question centres on comparing outcomes, experiences, risks, access, or trajectories across demographic or equality-relevant groups.<br><strong>Proposed status:</strong> [prop_t01:label]",,,,,,,[record_type] = '2',,,,,,
po_t01_correct,project_owner_review,,radio,Is the proposed status correct for the actual project?,"1, Yes | 0, No | 2, Unsure",,,,,,[record_type] = '2',y,,,,,
po_t01_det,project_owner_review,,radio,Could the correct status reasonably be determined from the public register entry?,"1, Yes | 2, Partly | 0, No | 3, Unsure",,,,,,[record_type] = '2',y,,,,,
po_t02_label,project_owner_review,,descriptive,"<strong>COVID-19 &amp; Pandemic</strong><br>A cross-cutting tag for projects where COVID-19, the COVID-19 pandemic, pandemic conditions, infection surveillance, vaccination, lockdowns, social distancing, pandemic-related public support, or pandemic consequences are a central condition or lens for the research question.<br><strong>Proposed status:</strong> [prop_t02:label]",,,,,,,[record_type] = '2',,,,,,
po_t02_correct,project_owner_review,,radio,Is the proposed status correct for the actual project?,"1, Yes | 0, No | 2, Unsure",,,,,,[record_type] = '2',y,,,,,
po_t02_det,project_owner_review,,radio,Could the correct status reasonably be determined from the public register entry?,"1, Yes | 2, Partly | 0, No | 3, Unsure",,,,,,[record_type] = '2',y,,,,,
po_miss_domain,project_owner_review,Missing classifications and overall assessment,radio,Is any Research Domain missing?,"0, No | 1, Yes",,,,,,[record_type] = '2',y,,,,,
po_miss_domains,project_owner_review,,checkbox,Which Research Domain label(s) are missing?,"1, Labour Market & Employment | 2, Education & Skills | 3, Health & Social Care | 4, Crime & Justice | 5, Business & Productivity | 6, Poverty, Wealth & Living Standards | 7, Housing & Planning | 8, Migration & Demographics | 9, Environment & Agriculture | 10, Public Finance & Taxation | 11, Data Infrastructure & Methodology",,,,,,([record_type] = '2') and [po_miss_domain] = '1',y,,,,,
po_miss_purpose,project_owner_review,,radio,Is any Analytical Purpose missing?,"0, No | 1, Yes",,,,,,[record_type] = '2',y,,,,,
po_miss_purposes,project_owner_review,,checkbox,Which Analytical Purpose label(s) are missing?,"1, Descriptive Monitoring | 2, Outcome Tracking | 3, Life-Course / Trajectory Analysis | 4, Service Interaction / Systems Analysis | 5, Policy Evaluation / Impact Analysis | 6, Risk Prediction / Early Identification | 7, Methodological / Infrastructure Research",,,,,,([record_type] = '2') and [po_miss_purpose] = '1',y,,,,,
po_miss_tag,project_owner_review,,radio,Is a binary tag missing or incorrectly absent?,"0, No | 1, Yes",,,,,,[record_type] = '2',y,,,,,
po_miss_tags,project_owner_review,,checkbox,Which binary tag status should be Applied?,"1, Demographic disparities / equity tag | 2, COVID-19 & Pandemic",,,,,,([record_type] = '2') and [po_miss_tag] = '1',y,,,,,
po_sufficiency,project_owner_review,,radio,Is the public register entry sufficient to assess the proposed classifications?,"1, Sufficient | 2, Partial | 3, Insufficient",,,,,,[record_type] = '2',y,,,,,
po_taxonomy_fit,project_owner_review,,radio,How well can the taxonomy represent the actual project?,"1, Fit | 2, Partial Fit | 3, No Fit","Assess the taxonomy, not merely the amount of public-register information.",,,,,[record_type] = '2',y,,,,,
po_tax_issue,project_owner_review,,checkbox,Taxonomy problem type,"1, Missing or inadequately represented category | 2, Ambiguous or overlapping category boundaries | 5, Other taxonomy problem",,,,,,([record_type] = '2') and ([po_taxonomy_fit] = '2' or [po_taxonomy_fit] = '3'),y,,,,,
po_note,project_owner_review,,notes,"Please explain each disagreement, uncertainty, missing classification, limited public-entry judgement or taxonomy problem, naming the affected label(s).",,"Do not disclose confidential or sensitive content. Identify the issue or source, not restricted substantive information.",,,,,([record_type] = '2') and ([po_d01_fit] = '2' or [po_d01_fit] = '3' or [po_d01_vis] = '2' or [po_d01_vis] = '3' or [po_d01_vis] = '4' or [po_d02_fit] = '2' or [po_d02_fit] = '3' or [po_d02_vis] = '2' or [po_d02_vis] = '3' or [po_d02_vis] = '4' or [po_d03_fit] = '2' or [po_d03_fit] = '3' or [po_d03_vis] = '2' or [po_d03_vis] = '3' or [po_d03_vis] = '4' or [po_d04_fit] = '2' or [po_d04_fit] = '3' or [po_d04_vis] = '2' or [po_d04_vis] = '3' or [po_d04_vis] = '4' or [po_d05_fit] = '2' or [po_d05_fit] = '3' or [po_d05_vis] = '2' or [po_d05_vis] = '3' or [po_d05_vis] = '4' or [po_d06_fit] = '2' or [po_d06_fit] = '3' or [po_d06_vis] = '2' or [po_d06_vis] = '3' or [po_d06_vis] = '4' or [po_d07_fit] = '2' or [po_d07_fit] = '3' or [po_d07_vis] = '2' or [po_d07_vis] = '3' or [po_d07_vis] = '4' or [po_d08_fit] = '2' or [po_d08_fit] = '3' or [po_d08_vis] = '2' or [po_d08_vis] = '3' or [po_d08_vis] = '4' or [po_d09_fit] = '2' or [po_d09_fit] = '3' or [po_d09_vis] = '2' or [po_d09_vis] = '3' or [po_d09_vis] = '4' or [po_d10_fit] = '2' or [po_d10_fit] = '3' or [po_d10_vis] = '2' or [po_d10_vis] = '3' or [po_d10_vis] = '4' or [po_d11_fit] = '2' or [po_d11_fit] = '3' or [po_d11_vis] = '2' or [po_d11_vis] = '3' or [po_d11_vis] = '4' or [po_d12_fit] = '2' or [po_d12_fit] = '3' or [po_d12_vis] = '2' or [po_d12_vis] = '3' or [po_d12_vis] = '4' or [po_p01_fit] = '2' or [po_p01_fit] = '3' or [po_p01_vis] = '2' or [po_p01_vis] = '3' or [po_p01_vis] = '4' or [po_p02_fit] = '2' or [po_p02_fit] = '3' or [po_p02_vis] = '2' or [po_p02_vis] = '3' or [po_p02_vis] = '4' or [po_p03_fit] = '2' or [po_p03_fit] = '3' or [po_p03_vis] = '2' or [po_p03_vis] = '3' or [po_p03_vis] = '4' or [po_p04_fit] = '2' or [po_p04_fit] = '3' or [po_p04_vis] = '2' or [po_p04_vis] = '3' or [po_p04_vis] = '4' or [po_p05_fit] = '2' or [po_p05_fit] = '3' or [po_p05_vis] = '2' or [po_p05_vis] = '3' or [po_p05_vis] = '4' or [po_p06_fit] = '2' or [po_p06_fit] = '3' or [po_p06_vis] = '2' or [po_p06_vis] = '3' or [po_p06_vis] = '4' or [po_p07_fit] = '2' or [po_p07_fit] = '3' or [po_p07_vis] = '2' or [po_p07_vis] = '3' or [po_p07_vis] = '4' or [po_p08_fit] = '2' or [po_p08_fit] = '3' or [po_p08_vis] = '2' or [po_p08_vis] = '3' or [po_p08_vis] = '4' or [po_t01_correct] = '0' or [po_t01_correct] = '2' or [po_t01_det] = '2' or [po_t01_det] = '0' or [po_t01_det] = '3' or [po_t02_correct] = '0' or [po_t02_correct] = '2' or [po_t02_det] = '2' or [po_t02_det] = '0' or [po_t02_det] = '3' or [po_miss_domain] = '1' or [po_miss_purpose] = '1' or [po_miss_tag] = '1' or [po_sufficiency] = '2' or [po_sufficiency] = '3' or [po_taxonomy_fit] = '2' or [po_taxonomy_fit] = '3'),y,,,,,
po_nonpublic,project_owner_review,,radio,Did any answer draw on project knowledge not available in the public register entry?,"0, No | 1, Yes",,,,,,[record_type] = '2',y,,,,,
po_nonpublic_note,project_owner_review,,notes,Briefly identify the source or type of that additional project knowledge.,,Do not disclose the substantive non-public information.,,,,,([record_type] = '2') and [po_nonpublic] = '1',y,,,,,
po_quote_permission,project_owner_review,,radio,"May the study use a short anonymised quotation from your comments in research outputs, provided that it does not identify you, your project or disclose non-public information?","1, Yes | 0, No | 2, Please contact me before using a quotation",Optional. This choice does not affect participation or analytical completeness.,,,,,[record_type] = '2',,,,,,
po_other_comment,project_owner_review,,notes,Optional additional comment,,"Do not include confidential, restricted or personally identifying information.",,,,,[record_type] = '2',,,,,,
