"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
po_miss_domain_reference,project_review,"Missing Research Domains",descriptive,"<div style=""font-weight:400;""><strong>Labour Market & Employment</strong> — Work, employment, earnings, job quality, workforce dynamics, skills demand or labour-market transitions; not employment or earnings used only to measure the consequences of education, health or another substantive exposure unless labour-market outcomes are themselves a central focus.<br><strong>Education & Skills</strong> — Educational participation, attainment, qualifications, admissions, skills acquisition, training, apprenticeships or educational progression, including where later employment or earnings outcomes are used to study the effects of education or training; not education level used only as a subgroup, covariate or worker characteristic.<br><strong>Health & Social Care</strong> — Health, illness, mental health, wellbeing, clinical outcomes, healthcare access or use, mortality as a health outcome, and social care; not mortality studied only as a demographic or population outcome.<br><strong>Crime & Justice</strong> — Offending, victimisation, public safety, policing, courts, sentencing, prisons, probation, family justice, civil justice or justice-system outcomes; not general harm, risk, vulnerability or public-service use without crime, legal proceedings or justice-system involvement.<br><strong>Business & Productivity</strong> — Firms, business behaviour, innovation, productivity, entrepreneurship, trade, investment or firm performance; not firm-level data used only as a setting or source for another substantive question.<br><strong>Poverty, Wealth & Living Standards</strong> — Household income and resources, poverty, wealth, savings, debt, benefits, food insecurity, cost of living or material deprivation; not pay gaps, employment, deprivation indices, area-level disadvantage or demographic inequality unless household resources or living standards are central.<br><strong>Housing & Planning</strong> — Housing, homelessness, tenure, housing markets, residential conditions or mobility, neighbourhood change and planning; domestic energy or environmental exposure belongs here only where a housing, dwelling or residential mechanism is central, not merely because home, place or geography is mentioned.<br><strong>Migration & Demographics</strong> — Population structure or change, migration, fertility, ageing or mortality as a demographic outcome; not every study that includes demographic characteristics or subgroup comparisons.<br><strong>Environment & Agriculture</strong> — The natural environment, climate, energy, agriculture, land use, pollution, decarbonisation or environmental impacts; not “environment” used only to mean a social, economic, family or institutional context.<br><strong>Public Finance & Taxation</strong> — Taxation, tax compliance, tax credits, business rates, public revenue or expenditure, fiscal transfers, tax reliefs or fiscal policy; not private income, debt, wealth, investment or household finances without a public-finance mechanism.<br><strong>Data Infrastructure & Methodology</strong> — Research primarily about data, linkage, measurement, classifications, methods or statistical infrastructure; not merely a substantive project that uses linked data or advanced methods.<br><br>Labels already proposed are repeated here for completeness. Select only labels that are missing from the proposal.</div>",,,,,,,,,,,,,
po_miss_domain_reminder,project_review,,descriptive,"<div style=""font-weight:400;"">Select a missing Research Domain only when it is <strong>a substantive subject of the project</strong>. Do not select one solely because the project uses a related dataset or variable, examines a population with a related characteristic, or mentions it as context.</div>",,,,,,,,,,,,,
po_miss_domains,project_review,,checkbox,"Select any Research Domains that apply to the project but were not proposed above.","1, Labour Market & Employment | 2, Education & Skills | 3, Health & Social Care | 4, Crime & Justice | 5, Business & Productivity | 6, Poverty, Wealth & Living Standards | 7, Housing & Planning | 8, Migration & Demographics | 9, Environment & Agriculture | 10, Public Finance & Taxation | 11, Data Infrastructure & Methodology",,,,,,,,,,,,
po_miss_domain_basis,project_review,,notes,"Please briefly explain why the selected Research Domain label or labels should be included.",,,,,,,"[po_miss_domains(1)] = '1' or [po_miss_domains(2)] = '1' or [po_miss_domains(3)] = '1' or [po_miss_domains(4)] = '1' or [po_miss_domains(5)] = '1' or [po_miss_domains(6)] = '1' or [po_miss_domains(7)] = '1' or [po_miss_domains(8)] = '1' or [po_miss_domains(9)] = '1' or [po_miss_domains(10)] = '1' or [po_miss_domains(11)] = '1'",,,,,,
po_miss_purpose_reference,project_review,"Missing Analytical Purposes",descriptive,"<div style=""font-weight:400;""><strong>Descriptive Monitoring</strong> — Measuring and describing levels, distributions, patterns or trends across places, populations or time, without primarily testing an exposure–outcome relationship.<br><strong>Outcome Tracking</strong> — Linking a naturally occurring exposure, condition or event to a later outcome, where the exposure is not a deliberate policy or programme.<br><strong>Life-Course / Trajectory Analysis</strong> — Following people, households, firms or cases over time to understand trajectories, transitions or cumulative outcomes.<br><strong>Service Interaction / Systems Analysis</strong> — How people, cases or organisations access, use, move through or are processed by public services.<br><strong>Policy Evaluation / Impact Analysis</strong> — Assessing the implementation, effects or consequences of a specific named policy, programme, regulation or intervention.<br><strong>Risk Prediction / Early Identification</strong> — Predicting risk or identifying at-risk people, groups or places for screening or early targeting.<br><strong>Methodological / Infrastructure Research</strong> — Developing, testing, validating or improving research methods, measures, linkage approaches, infrastructure or data assets.<br><br>Labels already proposed are repeated here for completeness. Select only labels that are missing from the proposal.</div>",,,,,,,,,,,,,
po_miss_purpose_guidance,project_review,,descriptive,"<div style=""font-weight:400;"">Each project can have no more than two Analytical Purposes. Select only the most important missing purpose or purposes. The final classification must contain no more than two purposes in total.</div>",,,,,,,,,,,,,
po_miss_purpose_reminder,project_review,,descriptive,"<div style=""font-weight:400;"">Select a missing Analytical Purpose only when it is <strong>a substantive aim of the project</strong>. Do not select one solely because it describes a method, analytical step or secondary feature of the work.</div>",,,,,,,,,,,,,
po_miss_purposes,project_review,,checkbox,"Select up to two Analytical Purposes that apply to the project but were not proposed above.","1, Descriptive Monitoring | 2, Outcome Tracking | 3, Life-Course / Trajectory Analysis | 4, Service Interaction / Systems Analysis | 5, Policy Evaluation / Impact Analysis | 6, Risk Prediction / Early Identification | 7, Methodological / Infrastructure Research",,,,,,,,,,,," @MAXCHECKED=2"
po_miss_purpose_basis,project_review,,notes,"Please briefly explain why the selected Analytical Purpose label or labels should be included.",,,,,,,"[po_miss_purposes(1)] = '1' or [po_miss_purposes(2)] = '1' or [po_miss_purposes(3)] = '1' or [po_miss_purposes(4)] = '1' or [po_miss_purposes(5)] = '1' or [po_miss_purposes(6)] = '1' or [po_miss_purposes(7)] = '1'",,,,,,
po_miss_tag_reference,project_review,"Missing cross-cutting tags",descriptive,"<div style=""font-weight:400;""><strong>Demographic disparities / equity tag</strong> — Use when comparisons between demographic or equality-relevant groups are central to the project. Do not use for socioeconomic inequality alone or routine subgroup analysis.<br><strong>COVID-19 & Pandemic</strong> — Use when COVID-19 or pandemic conditions are a central research focus or analytical lens. Do not use simply because the data cover the pandemic period.<br><br>The full list appears below, including labels already proposed. Select only labels that were not proposed.</div>",,,,,,,,,,,,,
po_miss_tags,project_review,,checkbox,"Select any cross-cutting tags that should have been assigned or applied differently.","1, Demographic disparities / equity tag | 2, COVID-19 & Pandemic",,,,,,,,,,,,
po_miss_tag_basis,project_review,,notes,"Please briefly explain why the selected tag or tags should have been assigned or applied differently.",,,,,,,"[po_miss_tags(1)] = '1' or [po_miss_tags(2)] = '1'",,,,,,
po_sufficiency,project_review,"Overall assessment",radio,"Overall, does the public register entry provide enough information for someone external to classify the project correctly?","1, Sufficient | 2, Partial | 3, Insufficient",,,,,,,y,,,,,
po_suff_explain,project_review,,notes,"What important information is missing or unclear in the public register entry?",,,,,,,"[po_sufficiency] = '2' or [po_sufficiency] = '3'",,,,,,
po_taxonomy_fit,project_review,,radio,"Thinking about the actual project, how well do the available classification categories cover it?","1, Fit | 2, Partial Fit | 3, No Fit",,,,,,,y,,,,,
po_tax_issue,project_review,,checkbox,"What type of taxonomy problem applies?","1, Missing or inadequately represented category | 2, Ambiguous or overlapping category boundaries | 5, Other taxonomy problem","This question concerns the available classification framework itself. If an existing category fits but was omitted from the proposed classification, report it in the missing-classification section instead.",,,,,"[po_taxonomy_fit] = '2' or [po_taxonomy_fit] = '3'",y,,,,,
po_tax_explain,project_review,,notes,"Optional: Please briefly explain the taxonomy-fit problem. If you selected 'Other taxonomy problem', describe it here.",,,,,,,"[po_taxonomy_fit] = '2' or [po_taxonomy_fit] = '3'",,,,,,
po_nonpublic,project_review,,radio,"Did any of your answers rely on relevant project knowledge that is not visible in the public register entry?","0, No | 1, Yes | 2, Unsure",,,,,,,y,,,,,
po_nonpublic_note,project_review,,notes,"Please briefly describe the type of additional context that informed your answer.",,,,,,,"[po_nonpublic] = '1' or [po_nonpublic] = '2'",,,,,,
po_other_comment,project_review,"Final comments",notes,"Do you have any other comments about the proposed classifications, the public register entry, or the taxonomy?",,,,,,,,,,,,,
po_final_warning,project_review,,descriptive,"<strong>Important</strong><br><div style=""font-weight:400;"">If the study wishes to quote any of your comments, we will email you the exact wording and the context in which it would appear, and use it only if you agree.<br><br>You may request withdrawal of this submitted review before the deadline stated in the Participant Information Sheet by contacting the study team and quoting the Review reference shown above.</div>",,,,,,,,,,,,,
