Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date
2021/051,The Effects of Childhood Exposure to Housing Provision: Evidence from A Radical Reform in Britain,"Stephen Machin,
London School of Economics,
John Gathergood, University of London - University College",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study of England and Wales,Office for National Statistics Secure Research Service,05/12/2021
2021/052,"Innovation, knowledge diffusion and firm-level productivity","Peter Goodridge, Department for Business, Energy and Industrial Strategy",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database - Longitudinal, Capital Stock 2014, E­commerce Survey, Investment in Intangible Assets Survey, Longitudinal Inter­Departmental Business Register, Management and Expectations Survey, Management Practices Survey & Producer Price Index
Department for Education: National Employers Skill Survey
Department for Business, Energy and Industrial Strategy: UK Innovation Survey",Office for National Statistics Secure Research Service,5/28/2021
2021/053,Occupational changes and skill mismatch following Covid-19: Implications for graduates in the UK,"Michela Vecchi, University of Middlesex",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Labour Force Survey - Person & Labour Force Survey - Longitudinal",Office for National Statistics Secure Research Service,5/19/2021
2021/054,Northern Powerhouse Rail - Distributional Impact Assessment,"Neil Scott, Simetrica
Ithai Van Emmerik,
Simetrica
Agnieszka Szydlowska, London Borough of Redbridge
Lorenzo Marzano,
Belmana
Benjamin Reinertz,
Belmana
Harry Aquije Ballon,
Belmana",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey,Office for National Statistics Secure Research Service,5/26/2021
2021/055,Evaluation of Department for Transport's local major schemes,"Henry Overman, London School of Economics
Nicolas Francisco Gonzalez Pampillon, London School of Economics
Gonzalo igunacio Nunez Chaim,
London School of Economics
Carolin Ioramashvili, London School of Economics",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Respondents Database, Annual Survey of Hours and Earnings, Business Structure Database & Labour Force Survey - Person",Office for National Statistics Secure Research Service,5/19/2021
2021/058,Gentrification or urban exodus? Understanding the effect of the pandemic on the housing market in the UK,"Carmen Villa Llera, London School of Economics and Political Science
Rosa Sanchis-Guarner, London School of Economics",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings,Office for National Statistics Secure Research Service,5/19/2021
2021/059,Evaluating the Transforming Construction Challenge,"Andrew Leicester, Frontier Economics Ltd
Gabriela Caldwell-­Jones, Frontier Economics Ltd",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development & Business Structure Database",Office for National Statistics Secure Research Service,5/27/2021
2021/060,Estimating the productivity impact of Modern Apprentices on Employers in Scotland,"Malcom Greig,
Skills Development Scotland
Lynne Robson,
Skills Development Scotland
Zoe Mackay,
Skills Development Scotland
Alma Sobrevilla,
Skills Development Scotland
Gillian Wylie,
Skills Development Scotland",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development, Business Register Employment Survey, Business Structure Database, Capital Stock, Consumer Prices Indices, Labour Force Survey - Household, Labour Force Survey - Longitudinal & Producer Price Index
Department for Education: National Employers Skill Survey",Office for National Statistics Secure Research Service,5/19/2021
2021/061,"The Variation of Wellbeing across Areas: Causes, and Consequences for Voting","Maria Cotofan,
London School of Economics and Political Science
Ceren Cibik,
London School of Economics and Political Science",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey
Institute for Social and Economic Research: Understanding Society UKHLS",Office for National Statistics Secure Research Service,5/26/2021
2021/067,COVID and Trade Dynamics of UK firms,"Jun Du,
University of Aston
Xiaocan Yuan,
University of Aston
Uzoamaka Chigoziri Nduka,
University of Aston,
Meng Song,
University of Aston
Oleksandr Shepotylo,
University of Aston",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Foreign Direct Investment Survey, Business Enterprise Research and Development, Business Impact of COVID-­19 Survey, Business Structure Database, E­-commerce Survey, Trade in Services, Labour Force Survey - Longitudinal, Linked Trade-in-Goods/IDBR dataset UK
Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey
Department for Business, Energy and Industrial Strategy: UK Innovation Survey",Office for National Statistics Secure Research Service,5/28/2021
2021/068,The relationship between occupation characteristics and mortality 2003 - 2017,"Christopher McDonald,
University of Oxford",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study of England and Wales,Office for National Statistics Secure Research Service,06/02/2021
2021/063,Gender Pay Gap,"Stuart McIntyre,
University of Strathclyde
Agnese Romiti,
University of Strathclyde",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings, Business Structure Database & Annual Business Survey",UK Data Archive,5/28/2021
2021/032,Non-monetary Work Benefits: Implications for the UK Gender Pay Gap,"Bin Yu,
University of Essex
Marco Francesconi,
University of Essex",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings,Office for National Statistics Secure Research Service,4/20/2021
2021/019,"ESCoE project on ""Productivity, and the Supply of Labour and CapitalÍ¾ Modern Economy and the National AccountsÍ¾ Devolved, Regional and Local Statistics""","Larissa Marioni,
National Institute for Economic and Social Research
Augustin De Coulon,
University of London Kings College
Mary O'Mahony, University of London - Kings College",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Management and Expectations Survey, Management Practices Survey, Consumer Prices Indices
Institute for Economic and Social Research: Understanding Society",Office for National Statistics Secure Research Service,4/19/2021
2021/021,"The association between smoking, nicotine and COVID-19 infection in the UK: A trend analysis","Lion Shahab,
University College London
Olga Perski,
University College London
Jamie Brown,
University College London
Harry Tattan-Birch, University College London",Digital Economy Act (2017),Office for National Statistics / University of Oxford: Covid-19 Infection Survey,Office for National Statistics Secure Research Service,3/18/2021
2021/029,What are the relative contributions of different exposures and settings to COVID-19 community transmission? Analysis of community cohort studies linked to national testing data,"Andrew Hayward,
UCL Institute of Epidemiology and Health
Colette Smith,
UCL Institute for Global Health
Clare French,
University of Bristol
Robert Aldridge,
UCL Institute of Health Informatics
Sarah Beale,
UCL Institute for Epidemiology and Health",Digital Economy Act (2017),"Office for National Statistics / University of Oxford: Covid-19 Infection Survey, Covid-19 Infection Survey linked with Combined Vaccination Dataset",Office for National Statistics Secure Research Service,3/17/2021
2021/020,Economic scarring from the COVID-19 induced crisis: monitoring inequality in economic and education outcomes. Enhancing impact of UKRI social mobility research with TRE data to inform national response,"Stephen Machin,
London School of Economics
Lee Elliot Major,
University of Exeter
Andrew Eyles,
London School of Economics and Political Science",Digital Economy Act (2017),"Office for National Statistics: Business Impact of COVID-19 Survey, Coronavirus and the social impacts on Great Britain, Labour Force Survey - Household, Longitudinal and Person",Office of National Statistics Secure Research Service,3/17/2021
2021/022,What Drives Differences in Labour Market Outcomes of Ethnic Minorities and Immigrants relative to White Natives in the UK,"Yu Zhu,
University of Dundee
Lei Xu,
National Institute for Economic and Social Research",Digital Economy Act (2017),Office for National Statistics: Labour Force Survey,UK Data Archive,3/17/2021
2021/025,Welsh virtual population vaccination and outcome registry,"Malorie Perry,
Public Health Wales
Caroline Harris,
Public Health Wales
Lucy Griffiths,
Swansea University
Ashley Akbari,
Swansea University",Digital Economy Act (2017),SAIL Databank: 2011 Census Data Welsh residents,SAIL,3/17/2021
2021/027,"SEARCH, SKILLS AND SATISFACTION: THE EMPLOYMENT TRAJECTORIES OF REFUGEES IN THE UK","Daisy Pollenne,
University of Oxford",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Labour Force Survey & Labour Force Survey",Office of National Statistics Secure Research Service,3/16/2021
2021/028,Accounting for Unmet Need in Equitable Healthcare Resource Allocation,"James Lomas,
University of York
Richard Cookson,
University of York
Katja Grasic,
University of York",Digital Economy Act (2017),"Office for National Statistics: Death Registrations, England and Wales",Office of National Statistics Secure Research Service,3/16/2021
2021/033,The impact of COVID-19 on small and medium enterprises,"Mustapha Douch,
University of Aston",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Respondents Database, Business Impact of COVID-19 Survey, Business Structure Database, Longitudinal Inter-Departmental Business Register, Monthly Business Survey
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",Office of National Statistics Secure Research Service,3/31/2021
2021/036,"The Impact of Apprentice Levy on Profitability, Employment and Automation in the UK","Jiaqi Li,
University of Warwick
Anna Sivropoulos-Valero,
London School of Economics",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Purchases Survey, Business Register Employment Survey, Monthly Business Survey & Vacancy Survey
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",Office of National Statistics Secure Research Service,04/01/2021
2021/056,Evaluating the impact of the Cycling Demonstration Towns and Cycling Cities and Towns using the Office for National Statistics ­ Longitudinal Study,"Richard Patterson,
University of Cambridge",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study of England and Wales,Office of National Statistics Secure Research Service,6/14/2021
2021/057,Employment Destinations of NHS leavers,"Deborah Roy,
University of Bath",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Labour Force Survey & Labour Force Survey",Office of National Statistics Secure Research Service,6/17/2021
2021/071,Developing a robust understanding of poverty and inequality within Central London and how this has been impacted by the Covid­-19 pandemic,"Jessica Van Wijgerden,
WPI Economics
Guy Weir,
WPI Economics
Matthew Oakley,
WPI Economics",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey,Office of National Statistics Secure Research Service,7/19/2021
2021/074,"Identifying effective post­-16 education pathways to Level 2 and Level 3 achievement, for learners with a 3 or below in Maths and/or English at KS4","Peter Urwin,
University of Westminster
Dave Thomson,
FFT Education Ltd
David Bibby,
FFT Education Ltd
Alexander Bowyer,
University of Westminster
Emma Gorman,
University of Westminster
Min Zhang, University of Westminster",Digital Economy Act (2017),"DfE, DWP and HMRC: LEO via SRS Iteration 1 Standard Extract",Office of National Statistics Secure Research Service,6/16/2021
2021/075,Journey through education: How does the quality of schooling affect long-­term labour market outcomes,"Philip Noden,
OFSTED
Kat Christiansen,
OFSTED",Digital Economy Act (2017),"DfE, DWP and HMRC: LEO via SRS Iteration 1 Standard Extract

OFSTED: State-­funded schools inspections and outcomes -­ England",Office of National Statistics Secure Research Service,6/16/2021
2021/078,Forecasting future socio­economic inequalities in longevity: the impact of lifestyle €œepidemics€,"Fanny Janssen,
Netherlands Interdisciplinary Demographic Institute
Rolando Gonzales Martinez, Netherlands Interdisciplinary Demographic Institute",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study of England and Wales,Office of National Statistics Secure Research Service,7/13/2021
2021/083,Cancer diagnosis and outcomes amongst Pakistanis and their descendants in England and Wales,"Joseph Harrison,
University of St Andrews
Hill Kulu,
University of St Andrews",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study of England and Wales,Office of National Statistics Secure Research Service,7/13/2021
2021/085,"How much influence does social mobility over a ten, twenty and thirty year period have on health outcomes and social gradients in health measures?","Chris White,
Office for National Statistics
Sabrina Rowlatt,
Office for National Statistics
Merilynn Pratt,
Office for National Statistics",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study of England and Wales,Office of National Statistics Secure Research Service,6/30/2021
2021/087,Examining new spatial and social mobilities to understand the shaping of geographical inequalities across the UK,"Vivian Hiu Tung So,
University of Southampton
Eloi Ribe,
University of St Andrews
Hill Kulu,
University of St Andrews
David McCollum,
University of St Andrews",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study of England and Wales,Office of National Statistics Secure Research Service,7/13/2021
2021/088,"Effects of reduced­risk nicotine delivery products on smoking prevalence, cigarette sales","Francesca Pesola,
Queen Mary University of London",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey & General Lifestyle Survey to 2010,Office of National Statistics Secure Research Service,07/12/2021
2021/089,Estimating the subjective wellbeing impact of scams,"Cem Maxwell,
Simetrica
Myriam Vriend,
Simetrica
Peter O'Donovan,
Simetrica",Digital Economy Act (2017),Office for National Statistics: Crime Survey for England and Wales,Office of National Statistics Secure Research Service,7/21/2021
2021/030,Examining the characteristics of UK businesses in the lower end of the productivity distribution,"Manpreet Khera,
Department for
International Trade
Lucy Horner,
Department for International Trade
Grace Lockyer, Department for International Trade
Mark Montanaro,
Department for International Trade
Robin Ferdous,
Department for International Trade
Grace Lockyer,
Department for International Trade",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey,
Longitudinal Inter-Departmental Business Register

Office for National Statistics / HMRC / Companies House: Linked Trade-in-Goods/IDBR dataset",Office of National Statistics Secure Research Service,7/19/2021
2021/065,University Admissions Process in the UK: A Theoretical and Empirical Analysis,"Makoto Shimoji,
University of York
Daniel Silva Junior,
City University
Stephen Machin,
London School of Economics
Sorawoot Srisuma,
University of Surrey
Lee Major,
University of Exeter
Tatiana Komarova,
London School of Economics and Political Science
Alexander Teytelboym,
University of Oxford",Digital Economy Act (2017),UCAS: Universities and Colleges Admissions Service data,Office of National Statistics Secure Research Service,6/14/2021
2021/066,Patterns of spending through retirement,"Rowena Crawford,
Institute for Fiscal Studies
David Sturrock,
Institute for Fiscal Studies
Heidi Karjalainen,
Institute for Fiscal Studies
Zoe Oldfield,
Institute for Fiscal Studies",Digital Economy Act (2017),Office for National Statistics: Living Costs and Food Survey,Office of National Statistics Secure Research Service,07/09/2021
2021/070,The impact of recent welfare policies on fertility and birth outcomes in England and Wales,"Mary Patricia Reader,
London School of Economics and Political Science
Kitty Judith Stewart,
London School of Economics
Jonathan Portes,
National Institute for Economic and Social Research",Digital Economy Act (2017),"Office for National Statistics: Births registrations, England and Wales",Office of National Statistics Secure Research Service,6/17/2021
2021/077,Estimation of quality measures for the Consumer Price Index,"Paul Anthony Smith,
University of Southampton
Francesco Pantalone,
University of Southampton",Digital Economy Act (2017),Office for National Statistics: Consumer Prices Indices,Office of National Statistics Secure Research Service,6/16/2021
2021/023,Does place matter? An examination of geographical inequalities in COVID­-19 in England,"Claire Welsh,
Newcastle University
Fiona Matthews,
Newcastle University",Digital Economy Act (2017),"Office for National Statistics: Death registration data-Provisional Monthly Extracts, Death Registrations, England and Wales & Linked Census and death occurrences",Office of National Statistics Secure Research Service,07/09/2021
2021/079,Economic Performance Impacts of Road Enhancements,"Scott Carter,
IPSOS MORI
Jaimin Shah,
IPSOS MORI",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Population Survey, Annual Survey of Hours and Earnings & Business Structure Database",Office of National Statistics Secure Research Service,07/12/2021
2021/081,Digital inclusivity as a way to reduce regional inequalities in the UK,"Tim Hinks,
University of West of England",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Longitudinal Inter­Departmental Business Register
Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey & UK Innovation Survey",Office of National Statistics Secure Research Service,6/23/2021
2021/082,"Effect of Universal Credit on the Gender Gap in Labour Supply, Job Quality, and Fertility.","Agnese Romiti,
University of Strathclyde
Mhairi Love,
University of Strathclyde
Julia Darby,
University of Strathclyde",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings, Labour Force Survey
Institute for Economic and Social Research: Understanding Society",Office of National Statistics Secure Research Service,07/12/2021
2021/084,Evaluation of the UKRI Innovation and Knowledge Centres,"Prabhat Vaze,
Belmana
Isabella Buchert-­Palmisano,
Belmana
Benjamin Reinertz,
Belmana
Lorenzo Marzano,
Belmana
Harry Aquije Ballon,
Belmana",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Enterprise Research and Development & Business Structure Database",Office of National Statistics Secure Research Service,07/09/2021
2021/062,Post-Pandemic Prosperity,"Peter Lambert,
London School of Economics and Political Science
John Van Reenen,
London School of Economics
Apolline Marion,
London School of Economics and Political Science",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Respondents Database, Business Impact of COVID­-19 Survey, Business Structure Database, Longitudinal Inter­Departmental Business Register, Management and Expectations Survey",Office of National Statistics Secure Research Service,06/08/2021
2021/080,"Parenting Style, Parental Investment, and the Socioeconomic Environment","Marc Stoeckli,
Ifo Institute for Economic Research",Digital Economy Act (2017),"Office for National Statistics: ASHE Longitudinal Data ­ England, Wales, Great Britain",Office of National Statistics Secure Research Service,8/19/2021
2021/090,AD|ARC : Linking Individual and Farm Level Data for Agricultural Research - Wales Workstream,"Sian Morrison-Rees,
Swansea University
Nicholas Webster,
Welsh Government
Matthew Kelly,
Welsh Government
Amrita Bandyopadhyay,
Swansea University
Liam Crowley,
Welsh Government
Rosie Kirk, Welsh Government
Katherine Addison, Welsh Government",Digital Economy Act (2017),"SAIL Databank: 2011 Census Data Welsh residents
Office for National Statistics: Annual Population Surveys - Wales",SAIL Databank,08/04/2021
2021/091,Tackling Productivity Questions: A Long­-Run Perspective,"Philip Fliers,
Queen's University Belfast
Sweta Pramanick,
Queen's University Belfast",Digital Economy Act (2017),"Office for National Statistics: Annual Business Inquiry, Annual Business Survey, Annual Respondents Database , Annual Respondents Database & Business Register Employment Survey",Office of National Statistics Secure Research Service,7/29/2021
2021/092,The role of Foreign Direct Investment in R&D and innovation: assessing the contribution of DIT's investment promotion to the UK R&D target,"Laura Koch,
London Economics
James Cannings,
London Economics
Lucy Manly,
London Economics
Dano Meiske,
London Economics
Elizabeth McCrea,
Department for International Trade
Nicholas Robin,
London Economics
Rohit Ladher,
London Economics
Pietro Patrignani,
London Economics
Elizabeth McCrea, Department for International Trade",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Foreign Direct Investment Survey, Business Enterprise Research and Development ­, Business Structure Database, Capital Stock, Longitudinal Inter­-Departmental Business Register
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office of National Statistics Secure Research Service,8/13/2021
2021/093,First Order Effects of the Climate Change Agreements: A Causal Forest Approach,"Paolo Agnolucci,
University College London
Kentaro Mayr, University of London - University College",Digital Economy Act (2017),Office for National Statistics: Annual Business Survey & Quarterly Fuels Inquiry,UK Data Archive,7/29/2021
2021/097,Suicide and subjective wellbeing in the UK: A statistical inquiry,"Caspar Kaiser,
University of Oxford",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey,Office of National Statistics Secure Research Service,8/19/2021
2021/098,"The economic, labour market and skills contribution of the low carbon and renewable energy sector to the Scottish economy","James Black,
University of Strathclyde
Adam Paul McGeoch,
University of Strathclyde
Kevin Connolly,
University of Strathclyde",Digital Economy Act (2017),Office for National Statistics: Low Carbon and Renewable Energy Economy Survey,UK Data Archive,8/13/2021
2021/100,Understanding the impact of public investment and community control on health and wellbeing,"Konstantinos Daras,
University of Liverpool
Alexandros Alexiou,
University of Liverpool
Katy Fahy,
University of Liverpool",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey & Annual Population Survey: Well-Being,UK Data Archive,8/13/2021
2021/101,Impact of Catapult Network and UKRI support,"Enrico Vanino,
University of Sheffield
Stephen Roper,
University of Warwick",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Business Expenditure on Research and Development, Business Structure Database
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",UK Data Archive,8/13/2021
2021/104,Addressing inclusivity in the spatial and social impacts of COVID-19 on the self-employed in the UK,"Darja Reuschke,
University of Southampton
Victoria Price,
University of Southampton",Digital Economy Act (2017),"Office for National Statistics: Quarterly Labour Force Survey, Longitudinal Labour Force Survey, Annual Population Survey",UK Data Archive,8/13/2021
2021/107,Assessing Equality Pay Gaps in Northern Ireland,"John Hughes, Northern Ireland Statistics and Research Agency
Jos Ijpelaar,
Northern Ireland Statistics and Research Agency
Rita McAuley,
Northern Ireland Statistics and Research Agency
Gerard Leavey,
Ulster University",Digital Economy Act (2017),Office for National Statistics / Northern Ireland Statistics and Research Agency: Linked NI Census-ASHE,Northern Ireland Statistics and Research Agency,8/24/2021
2021/111,Re-counting crime: New methods to improve the accuracy of estimates of crime,"Ian Brunton-Smith,
University of Surrey
Alexandru Cernat,
The University of Manchester
David Buil-Gil,
The University of Manchester",Digital Economy Act (2017),"Office for National Statistics: Crime Survey for England and Wales, 2011 Census: Aggregate Data",UK Data Archive,08/12/2021
2021/112,Exploring the impact of digital technology adoption on firms' innovation,"Ully Nafizah,
University of Warwick
Stephen Roper,
University of Warwick
Kevin Mole,
Warwick Business school",Digital Economy Act (2017),"Office for National Statistics: E-commerce Survey, 2001-2018
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",UK Data Archive,08/12/2021
2021/114,Urban Environment and Health: Impacts of Low Emission and Clean Air Zones on Health and Well-Being in England,"Habtamu Beshir,
University of Bath",Digital Economy Act (2017),"Office for National Statistics: Quarterly Labour Force Survey, Annual Population Survey",UK Data Archive,8/18/2021
2021/115,School availability and parental labour supply: what can the LFS tell us?,"Birgitta Rabe,
University of Essex
Claire Crawford,
UCL Institute of Education
Jo Blanden,
University of Surrey
Laura Fumagalli,
University of Essex",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey - Household, Quarterly Labour Force Survey",UK Data Archive,8/18/2021
2021/117,Geographical and intergenerational mobility in Great Britain,"Richard Breen,
University of Oxford - Sociology
Jung In,
University of Oxford - Sociology",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey - Household, Quarterly Labour Force Survey, Longitudinal Study",UK Data Archive,8/16/2021
2021/102,Social and Spatial Mobility,"Monica Langella,
London School of Economics
Pawel Bukowski,
London School of Economics",Digital Economy Act (2017),"Office for National Statistics: New Earnings Survey Panel Dataset, Annual Survey of Hours and Earnings, Annual Respondents Database, Annual Business Survey, Business Structure Database
Institute for Social and Economic Research: Understanding Society, Waves 1-9, and Harmonised BHPS, Waves 1-18, BHPS, Waves 1-18",UK Data Archive,8/13/2021
2021/076,Education & Social Mobility: Understanding Earnings Outcomes for Free School Meals Students,"Aidan Tolland,
Office for National Statistics
James Tierney,
Office for National Statistics
Holly Bathgate,
Office for National Statistics
Emma Campbell,
Office for National Statistics
Helen Crosweller,
Office for National Statistics
Neil Smith,
Office for National Statistics
Matt Rood,
Office for National Statistics
Mathieu Stafford,
Office for National Statistics",Digital Economy Act (2017),"DfE, DWP and HMRC: LEO via SRS Iteration 1 Standard Extract",Office of National Statistics Secure Research Service,6/17/2021
2021/094,The impact of COVID­-19 on unemployment and earnings inequality,"David Zentler-Munro,
University College London
Camila Comunello,
University of Essex",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings, ASHE Longitudinal, Labour Force Survey , Labour Force Survey",Office of National Statistics Secure Research Service,8/13/2021
2021/095,Impacts of Tourism Development on Local Residents' Quality of Life in the UK: Spatial Spillover at a Regional Level,"Ruijuan Hu,
University of Surrey
Anyu Liu,
University of Surrey",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Population Survey, Annual Survey of Hours and Earnings, Labour Force Survey , Living Costs and Food Survey
Institute for Social and Economic Research: Understanding Society",Office of National Statistics Secure Research Service,08/03/2021
2021/069,COVID National Core Studies Initiative,"Sinead Brophy, Swansea University
Michael Seaborne,
Swansea University
Amrita Bandyopadhyay,
Swansea University
Roxanne Cooksey,
Swansea University
Jonathan Kennedy,
Swansea University
Michael Parker,
Swansea University
Mohamed Mhereeg, Swansea University",Digital Economy Act (2017),SAIL Databank: 2011 Census Data Welsh residents,SAIL Databank,10/20/2021
2021/064,The future of unpaid carers: Understanding their well-being needs and support for unpaid carers in Wales,"Jiao Song,
Public Health Wales
Fangzhou Huang,
Swansea University
Yuzhi Cai,
Swansea University",Digital Economy Act (2017),SAIL Databank: 2011 Census Data Welsh residents,SAIL Databank,9/23/2021
2021/096,Analysis of Urban Productivity Spillovers,"Enrico Vanino,
University of Sheffield
Nikodem Szumilo,
London School of Economics",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database: Longitudinal",Office of National Statistics Secure Research Service,8/24/2021
2021/103,AMPHoRA,"Silvia Pastorino,
London School of Hygiene and Tropical Medicine",Digital Economy Act (2017),Office for National Statistics: Living Costs and Food Survey,UK Data Archive,9/13/2021
2021/105,UK Immigration,"Jackline Wahba,
University of Southampton
Valentina Di Iasio,
University of Southampton",Digital Economy Act (2017),Office for National Statistics: Quarterly Labour Force Survey,UK Data Archive,9/23/2021
2021/109,Is Britain Fairer? 2020-2021,"Xinru Lin,
Cambridge Econometrics
Matthew Haynes,
Cambridge Econometrics",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Crime Survey for England and Wales",UK Data Archive,09/08/2021
2021/113,Ethnic pay gaps in the public sector,"Nigel O'Leary,
Swansea University
Samuel Brown,
Swansea University",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey,UK Data Archive,9/23/2021
2021/116,The gender gap in pay progression: job mobility and job ladders,"Silvai Avram, University of Essex
Daria Popova, University of Essex
Susan Harkness,
University of Bristol",Digital Economy Act (2017),Office for National Statistics: Business Structure Database,UK Data Archive,09/02/2021
2021/118,Protocol for the evaluation of Selective Licensing schemes for private rental housing in Greater London: a natural experiment,"Jakob Petersen, London School of Hygiene and Tropical Medicine",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey,Office of National Statistics Secure Research Service,8/25/2021
2021/121,Zero Hours Contracts and Monopsony Power in the United Kingdom,"Inbar Amit,
University of Oxford
Barbara Petrongolo,
London School of Economics",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, Labour Force Survey",Office of National Statistics Secure Research Service,10/19/2021
2021/123,Economy 2030 Inquiry: People research strand,"Aneurin Cominetti,
Resolution Foundation
Hannah Slaughter,
Resolution Foundation
Daniel Tomlinson,
Resolution Foundation
Kathleen Henehan,
Resolution Foundation
Anna Sivropoulos-Valero,
London School of Economics
Nikhil Datta,
University of London - University College
Rui Miguel Vieira Marques da Costa,
London School of Economics
Henry Overman,
London School of Economics
Stephen Machin,
London School of Economics
Orian Brook,
The University of Edinburgh
Sophie Hale, Resolution Foundation
Mimosa Distefano, London School of Economics",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Population Survey, Annual Respondents Database , Annual Respondents Database , Annual Survey of Hours and Earnings, Business Register Employment Survey, Business Structure Database, Coronavirus and the social impacts on Great Britain, Labour Force Survey , Labour Force Survey , Labour Force Survey , Monthly Wage and Salary Survey , New Earnings Survey, Vacancy Survey",Office of National Statistics Secure Research Service,9/28/2021
2021/124,Wales Electronic Cohort for Children : Phase 4,"Sinead Brophy, Swansea University
Michael Seaborne,
Swansea University
Amrita Bandyopadhyay, Swansea University
Hope Jones,
Swansea University
Laura Cowley,
Public Health Wales",Digital Economy Act (2017),SAIL Databank: 2011 Census Data Welsh residents,SAIL Databank,09/08/2021
2021/126,UK Automotive Sector: Diversity Task Force – Establishing a baseline,"Emma Carrigy,
Institute of the Motor Industry",Digital Economy Act (2017),Office for National Statistics: Labour Force Survey,Office of National Statistics Secure Research Service,09/10/2021
2021/127,Invest Northern Ireland Loan and Equity Funds Evaluation,"Prabhat Vaze,
Belmana
Isabella Buchert-Palmisano,
Belmana
Harry Aquije Ballon,
Belmana",Digital Economy Act (2017),Office for National Statistics: Business Structure Database,Office of National Statistics Secure Research Service,8/31/2021
2021/129,Are firm-­level productivity asymmetries mainly due to the scale of production?,"Don Webber,
University of Sheffield",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, UK Manufacturers' Sales by Product Survey",Office of National Statistics Secure Research Service,09/03/2021
2021/136,"An evaluation of the Growth Hubs business support programme to promote economic resilience, investment, and job creation","Nadya Mihaylova,
Technopolis",Digital Economy Act (2017),"Office for National Statistics: Business Enterprise Research and Development, Business Structure Database",Office of National Statistics Secure Research Service,9/15/2021
2021/137,HACT's UK Social Value Bank,"Myriam Vriend,
Simetrica
Naike Santangelo,
Simetrica
Neil Scott,
Simetrica",Digital Economy Act (2017),"Office for National Statistics: Crime Survey for England and Wales
Institute for Economic and Social Research: Understanding Society and Harmonised BHPS",Office of National Statistics Secure Research Service,9/23/2021
