Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date,Record ID,Year,Quarter,Quarter Label,substantive_domains,analytical_purpose,cross_cutting_tags,rationale,primary_domain
2022/077,Employment Allowance National Insurance Contribution Evaluation,"Scott Carter, IPSOS MORI
Andrew Whitehead, IPSOS MORI
Christian Stow, IPSOS MORI",Digital Economy Act (2017) ,"Office for National Statistics: ASHE Longitudinal Data England, Wales, Great Britain",Office for National Statistics Secure Research Service,2022-10-05,2022/077,2022,2022Q4,Q4 2022,Labour Market & Employment; Public Finance & Taxation,Policy Evaluation / Impact Analysis,,Assigned Public Finance & Taxation because Employment Allowance is a National Insurance relief and Labour Market & Employment because effects are measured on employment/earnings via ASHE; Policy Evaluation / Impact Analysis because it evaluates a named tax-relief scheme; no tag because no demographic or pandemic lens is central.,Labour Market & Employment
2022/078,Transitions In and Out of Nursing,"Francesco Barcellona, Frontier Economics Ltd
Danail Popov, Frontier Economics Ltd
Katharine Lauderdale, Frontier Economics Ltd",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey
Office for National Statistics: Annual Survey of Hours and Earnings",Office for National Statistics Secure Research Service,2022-10-05,2022/078,2022,2022Q4,Q4 2022,Labour Market & Employment; Health & Social Care,Life-Course / Trajectory Analysis,,Assigned Labour Market & Employment because the project studies workforce transitions into and out of nursing and Health & Social Care because nursing is the NHS workforce context; Life-Course / Trajectory Analysis because it follows occupational transitions over time using APS and ASHE; no tag because no demographic or pandemic lens is central.,Labour Market & Employment
2022/079,Poverty Premium Measure,"Fiona Rasanga, The University of Edinburgh
",Digital Economy Act (2017) ,Office for National Statistics: Living Costs and Food Survey,Office for National Statistics Secure Research Service,2022-05-18,2022/079,2022,2022Q2,Q2 2022,"Poverty, Wealth & Living Standards",Descriptive Monitoring; Methodological / Infrastructure Research,,"Assigned Poverty, Wealth & Living Standards because the project develops a poverty premium measure on cost-of-living using the Living Costs and Food Survey; Descriptive Monitoring because it measures the premium and Methodological / Infrastructure Research because constructing a measure is central; no tag because no demographic or pandemic lens is central.","Poverty, Wealth & Living Standards"
2022/082,Internationalisation and Innovation Novelty: Evidence from Small and Medium-sized Enterprises,"Ruoying Zhou, University of Leicester
",Digital Economy Act (2017) ,"Office for National Statistics: Longitudinal Small Business Survey,",UK Data Service,2022-08-06,2022/082,2022,2022Q3,Q3 2022,Business & Productivity,Outcome Tracking,,Assigned Business & Productivity because the project studies SME internationalisation and innovation novelty using the Longitudinal Small Business Survey; Outcome Tracking because it links internationalisation to innovation outcomes; no tag because no demographic or pandemic lens is central.,Business & Productivity
2022/083,Local patterns of health indicators and inequalities,"Thomas Turner, Office for Health Improvement and Disparities 
Amy Selby, Office for Health Improvement and Disparities 
Jo Watson, Office for Health Improvement and Disparities 
Louise Knight, Office for Health Improvement and Disparities 
Nicolaos Koukkoulli, Office for Health Improvement and Disparities 
Thomas Turner, Office for Health Improvement and Disparities ",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Coronavirus and the social impacts on Great Britain, Opinions and Lifestyle Survey, Business Structure Database
Department for Transport: National Travel Survey England",Office for National Statistics Secure Research Service,2022-05-18,2022/083,2022,2022Q2,Q2 2022,Health & Social Care,Descriptive Monitoring,,Assigned Health & Social Care because the project examines health indicators and inequalities using population and lifestyle surveys; Descriptive Monitoring because it analyses local patterns and distributions of health indicators rather than testing exposure-outcome relations or evaluating a policy; no tag because the focus is geographic variation rather than centrally a demographic/equality group comparison.,Health & Social Care
2022/084,Estimation of price elasticities of demand for alcohol in the United Kingdom,"Timothy Jossaume, HM Revenue and Customs",Digital Economy Act (2017) ,Office for National Statistics: Living Costs and Food Survey,Office for National Statistics Secure Research Service,2022-05-20,2022/084,2022,2022Q2,Q2 2022,"Poverty, Wealth & Living Standards",Descriptive Monitoring,,"Assigned Poverty, Wealth & Living Standards because it estimates demand and price elasticities for alcohol using the Living Costs and Food Survey, concerning household expenditure; Descriptive Monitoring because the operation is estimating elasticities/patterns of demand rather than evaluating a named intervention; no tag because no pandemic or demographic-equity lens is central.","Poverty, Wealth & Living Standards"
2022/071,Analysing labour market transitions and progression for disadavantaged populations using linked administrative data,"Chris Dibben, The University of Edinburgh
Nick Bailey, University of Glasgow
Serena Pattaro, University of Glasgow
Gina Anghelescu, University of Glasgow",Digital Economy Act (2017) ,Office for National Statistics: Racial Disparity Audit Data,Office for National Statistics Secure Research Service,2022-12-05,2022/071,2022,2022Q4,Q4 2022,Labour Market & Employment,Life-Course / Trajectory Analysis,Demographic disparities / equity tag,Assigned Labour Market & Employment because the project studies labour market transitions and progression; Life-Course / Trajectory Analysis because it follows progression and transitions over time; Demographic disparities tag because it centres disadvantaged populations and uses racial disparity audit data.,Labour Market & Employment
2022/062,"Covid-19, Labour Productivity and Regional Polarisation","Isabelle Bi, University of Bristol,
Anna Ceridwen Hughes, The University of Manchester
Anthony Rafferty, The University of Manchester",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey , Annual Population Survey , Annual Survey of Hours and Earnings, ASHE Longitudinal Data England and Wales, ASHE Longitudinal Data Great Britain England, Wales, Great Britain",Office for National Statistics Secure Research Service,2022-04-28,2022/062,2022,2022Q2,Q2 2022,Business & Productivity; Labour Market & Employment,Outcome Tracking,COVID-19 & Pandemic,"Assigned Business & Productivity because it studies labour productivity and regional polarisation, and Labour Market & Employment because earnings/hours data are central; Outcome Tracking because it links the pandemic condition to productivity and regional outcomes; COVID-19 tag because Covid-19 is an explicit lens in the title.",Business & Productivity
2022/063,"The Characteristics, Social Care Experience and Educational Outcomes of Looked After Children","Neil Smith, Office for National Statistics
Nathan Cadogan Clark, Office for National Statistics
Cara Evans, Office for National Statistics
Hamish Anderson, Office for National Statistics
Vasiliki Sogia, Office for National Statistics
Emily Goldsmith, Office for National Statistics
Onyinye Ezeyi, Office for National Statistics",Digital Economy Act (2017) ,"Office for National Statistics &
Department for Education: Growing Up in England Wave 1",Office for National Statistics Secure Research Service,2022-05-05,2022/063,2022,2022Q2,Q2 2022,Education & Skills; Health & Social Care,Outcome Tracking,,Assigned Education & Skills because it studies educational outcomes and Health & Social Care because it examines social care experience of looked-after children; Outcome Tracking because it links care experience/characteristics to educational outcomes; no tag because comparison is by care status rather than a demographic equality group.,Education & Skills
2022/066,Automation and service trade: evidence from UK firms,"Ioannis Papadakis, Queen Mary University of London
Gino Gancia, Queen Mary University of London

",Digital Economy Act (2017) ,"Office for National Statistics : Annual Survey of Hours and Earnings, Quarterly Capital Expenditure Survey, International Trade in Services",UK Data Service,2022-05-05,2022/066,2022,2022Q2,Q2 2022,Business & Productivity,Outcome Tracking,,Assigned Business & Productivity because it studies automation and service trade among UK firms using firm-level trade and capital data; Outcome Tracking because it links automation (a firm characteristic/exposure) to service trade outcomes; no tag because no demographic or pandemic lens is central.,Business & Productivity
2022/072,"Research into benefits, benefit reform and interactions with benefits","Duncan McVicar, Queen's University Belfast
Neil Rowland, Queen's University Belfast
Babak Jahanshahi, The University of Edinburgh
Ana Corina Miller, Queen's University Belfast
",Digital Economy Act (2017) ,Office for National Statistics: Racial Disparity Audit Data,Office for National Statistics Secure Research Service,2022-12-05,2022/072,2022,2022Q4,Q4 2022,"Poverty, Wealth & Living Standards",Policy Evaluation / Impact Analysis,,"Assigned Poverty, Wealth & Living Standards because the research concerns benefits and benefit reform affecting household resources; Policy Evaluation / Impact Analysis because it examines benefit reform and interactions, a named policy change; no tag because the racial disparity data is a source rather than a central equity comparison framing here.","Poverty, Wealth & Living Standards"
2022/073,The effect of parental education and occupation on the disadvantage attainment gap - GUIE project,"Dave Thomson, FFT Education Ltd
Natasha Plaister, FFT Education Ltd
David Bibby, FFT Education Ltd
Katherine Beynon, FFT Education Ltd",Digital Economy Act (2017) ,"Office for National Statistics &
Department for Education: Growing Up in England Wave 1, Growing Up in England Wave 2 Vulnerability Measures,",Office for National Statistics Secure Research Service,2022-10-05,2022/073,2022,2022Q4,Q4 2022,Education & Skills,Outcome Tracking,,Assigned Education & Skills because it studies the disadvantage attainment gap using Growing Up in England data; Outcome Tracking because it links parental education and occupation to children's attainment; no tag because the comparison is by socioeconomic disadvantage rather than a demographic/equality group.,Education & Skills
2022/081,"Wages, wage dynamics and employment","Claire Crawford, UCL Institute of Education
Alice McTiernan, Office for National Statistics
John Forth, City University
Lucy Stokes, National Institute for Economic and Social Research 
Alex Bryson, University of London University College
Carl Singleton, University of Reading
Damian Whittard, University of West of England
Felix Ritchie, University of West of England
Khanh Van Phan, University of West of England
Naomi Lynch, University of West of England
Nye Cominetti, Resolution Foundation
Charles McCurdy, Resolution Foundation",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey UK, Annual Population Survey UK , Annual Survey of Hours and Earnings UK, ASHE Longitudinal Data England and Wales, Great Britain, Business Structure Database UK, Labour Force Survey UK , Labour Force Survey UK , New Earnings Survey GB , New Earnings Survey GB",Office for National Statistics Secure Research Service,2022-05-20,2022/081,2022,2022Q2,Q2 2022,Labour Market & Employment,Descriptive Monitoring,,"Assigned Labour Market & Employment because it studies wages, wage dynamics and employment using earnings and labour force surveys; Descriptive Monitoring because it analyses wage dynamics and employment patterns without a named policy or single exposure-outcome test; no tag because no demographic-equity or pandemic lens is central.",Labour Market & Employment
2022/085,The impact of education on crime,"Robin Masters, University College London",Digital Economy Act (2017) ,"Office for National Statistics: Labour Force Survey UK
Ministry of Justice: MoJ Data First Crown Court Defendant Case Level Dataset, MoJ Data First Magistrates' Court Defendant Case Level Dataset - England and Wales",Office for National Statistics Secure Research Service,2022-06-14,2022/085,2022,2022Q2,Q2 2022,Education & Skills; Crime & Justice,Outcome Tracking,,"Assigned Education & Skills because the focus is education's effect, and Crime & Justice because outcomes are offending via court defendant datasets; Outcome Tracking because it links education (exposure) to crime outcomes; no tag because no demographic-equity or pandemic lens is central.",Education & Skills
2022/086,The Signaling Effect of Tuition Fees on Wages,"Don Tawanpitak, University of Florida",Digital Economy Act (2017) ,"DfE, DWP and HMRC: LEO via SRS Iteration 1 Standard Extract",Office for National Statistics Secure Research Service,2022-06-21,2022/086,2022,2022Q2,Q2 2022,Education & Skills; Labour Market & Employment,Outcome Tracking,,"Assigned Education & Skills and Labour Market & Employment because the project studies how tuition fees signal and affect wages, linking education to labour-market earnings via LEO data; Outcome Tracking because it links tuition fees (a characteristic/exposure) to downstream wage outcomes rather than evaluating a named intervention; no tag because no demographic-equality comparison or pandemic lens is central.",Education & Skills
2022/088,Trade shocks and consumer prices,"Peter Levell, Institute for Fiscal Studies",Digital Economy Act (2017) ,"Office for National Statistics: Business Structure Database UK, Consumer Prices Indices, Producer Price Index",Office for National Statistics Secure Research Service,2022-06-13,2022/088,2022,2022Q2,Q2 2022,Business & Productivity,Outcome Tracking,,Assigned Business & Productivity because it examines trade shocks and consumer/producer prices using business structure and price index data; Outcome Tracking because it links a naturally occurring trade shock to price outcomes; no tag because no demographic or pandemic lens is central.,Business & Productivity
2022/087,Gender Gap in STEM over the Life Cycle,"Judith Delaney, University of Bath",Digital Economy Act (2017) ,Office for National Statistics: Quarterly Labour Force Survey,UK Data Service,2022-05-20,2022/087,2022,2022Q2,Q2 2022,Labour Market & Employment,Life-Course / Trajectory Analysis,Demographic disparities / equity tag,Assigned Labour Market & Employment because the STEM gender gap concerns workforce participation and occupational structure over the life cycle using Labour Force Survey; Life-Course / Trajectory Analysis because it follows the gap over the life cycle; Demographic disparities tag because gender comparison is central.,Labour Market & Employment
2022/091,Impact of the reduction in the age of eligibility to the NLW,"Su Min Lee, London Economics
Lucy Manly, London Economics
Pietro Patrignani, London Economics",Digital Economy Act (2017) ,"Office for National Statistics: Annual Survey of Hours and Earnings UK, Labour Force Survey UK , Labour Force Survey UK ,",Office for National Statistics Secure Research Service,2022-05-31,2022/091,2022,2022Q2,Q2 2022,Labour Market & Employment,Policy Evaluation / Impact Analysis,,Assigned Labour Market & Employment because it studies the impact of a National Living Wage eligibility change on earnings using ASHE and LFS; Policy Evaluation / Impact Analysis because it evaluates a named policy reform (NLW age eligibility reduction); no tag because age eligibility is the policy lever rather than a central demographic equity comparison.,Labour Market & Employment
2022/093,Welfare and Distributional Consequences of Constrained College Admissions Under Uncertainty,"Sidharth Moktan, London School of Economics and Political Science
Rebecca Rose, London School of Economics and Political Science
Stephen Machin, London School of Economics and Political Science

",Digital Economy Act (2017) ,UCAS: Universities and Colleges Admissions Service Data,UK Data Service,2022-08-06,2022/093,2022,2022Q3,Q3 2022,Education & Skills,Policy Evaluation / Impact Analysis,,Assigned Education & Skills because it concerns college/university admissions under constrained systems using UCAS data; Policy Evaluation / Impact Analysis because it studies welfare and distributional consequences of an admissions mechanism/system design; no tag because no demographic-group or pandemic lens is central.,Education & Skills
2022/094,Regional UK Gender Pay Gaps,"Suzanna Nesom, Cardiff Business School
Melanie Jones, Cardiff University
Ezgi Kaya, Cardiff Business School",Digital Economy Act (2017) ,Office for National Statistics: Annual Survey of Hours and Earnings UK,UK Data Service,2022-08-06,2022/094,2022,2022Q3,Q3 2022,Labour Market & Employment,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Labour Market & Employment because regional gender pay gaps concern earnings using ASHE; Descriptive Monitoring because it measures and characterises pay-gap levels across regions; Demographic disparities tag because the gender comparison is central.,Labour Market & Employment
2022/095,The Micro-Anatomy of a Productivity Slowdown,"Patrick Schneider, London School of Economics",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey GB, Annual Respondents Database ARD2 UK, Annual Respondents Database ARDx UK, Business Structure Database UK, Labour Force Survey UK",Office for National Statistics Secure Research Service,2022-10-06,2022/095,2022,2022Q4,Q4 2022,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because it dissects a productivity slowdown using firm-level business survey datasets; Descriptive Monitoring because it characterises the anatomy/patterns of productivity rather than testing a specific intervention; no tag because no demographic or pandemic lens is central.,Business & Productivity
2022/076,The State of the Nation: The UK Family Business Sector 2021-22,"Ankur Desai, Oxford Economics Ltd",Digital Economy Act (2017) ,Office for National Statistics: Management and Expectations Survey,Office for National Statistics Secure Research Service,2022-05-18,2022/076,2022,2022Q2,Q2 2022,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because it profiles the UK family business sector using a business expectations survey; Descriptive Monitoring because it characterises the state/composition of the sector; no tag because no demographic or pandemic lens is central.,Business & Productivity
2022/089,Seed Enterprise Investment Scheme Evaluation,"Runhong Ma, London School of Economics",Digital Economy Act (2017) ,"Office for National Statistics: Annual Respondents Database UK, E-Commerce Survey, Labour Force Survey UK , Labour Force Survey UK , Quarterly Acquisitions and Disposals of Capital Assets Survey, Quarterly Capital Expenditure Survey UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",Office for National Statistics Secure Research Service,2022-05-31,2022/089,2022,2022Q2,Q2 2022,Business & Productivity,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity because the Seed Enterprise Investment Scheme concerns firm investment and enterprise growth using business and innovation surveys; Policy Evaluation / Impact Analysis because it evaluates a named investment scheme; no tag because no demographic or pandemic lens is central.,Business & Productivity
2022/090,Reassessing ethnic disparities in sentencing using different measures of offenders' ethnicity,"Jose Pina-Sanchez, University of Leeds",Digital Economy Act (2017) ,"Ministry of Justice: MoJ Data First Crown Court Defendant Case Level Dataset, MoJ Data First Magistrates' Court Defendant Case Level Dataset - England and Wales",Office for National Statistics Secure Research Service,2022-06-13,2022/090,2022,2022Q2,Q2 2022,Crime & Justice,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Crime & Justice because it studies sentencing using court defendant datasets; Descriptive Monitoring because it reassesses/measures ethnic disparities in sentencing using different ethnicity measures rather than evaluating an intervention; Demographic disparities tag because ethnic comparison in sentencing is central.,Crime & Justice
2022/092,Exploring the Nature of Ethnic Disparities in Sentencing through Causal Inference,"Ana Morales Gomez, The University of Edinburgh
Jose Pina -Sanchez, University of Leeds",Digital Economy Act (2017) ,"Ministry of Justice: MoJ Data First Crown Court Defendant Case Level Dataset, MoJ Data First Magistrates' Court Defendant Case Level Dataset - England and Wales",Office for National Statistics Secure Research Service,2022-06-13,2022/092,2022,2022Q2,Q2 2022,Crime & Justice,Outcome Tracking,Demographic disparities / equity tag,Assigned Crime & Justice because the project studies sentencing using court defendant case-level datasets; Outcome Tracking because it links ethnicity to sentencing outcomes via causal inference without a named policy; Demographic disparities / equity tag because ethnic disparities are central to the research question.,Crime & Justice
2022/096,Business Data for Research Northern Ireland,"Orla Bateson, Northern Ireland Statistics and Research Agency
Anne Jordan, Northern Ireland Statistics and Research Agency
Alison McKee,
Northern Ireland Statistics and Research Agency
Nichola McCullough, Northern Ireland Statistics and Research Agency",Digital Economy Act (2017) ,"Northern Ireland Statistics and Research Agency: Northern Ireland Annual Business Inquiry ,
Broad Economy Sales and Exports Statistics , Business Register and Employment Survey , Earnings and Employees Study",Northern Ireland Statistics and Research Agency,2022-07-26,2022/096,2022,2022Q3,Q3 2022,Business & Productivity,Descriptive Monitoring,,"Assigned Business & Productivity because it draws on business inquiry, sales/exports, and business register datasets centred on firm activity; Descriptive Monitoring because the project is a business data resource for profiling economic activity rather than testing a specific relationship; no tag because no demographic or pandemic lens is central.",Business & Productivity
2022/075,Is race/ethnicity associated with heftier sentences? Examining disparities in the sentencing of child offenders,"Ana Navarro Veiga, University of Leeds",Digital Economy Act (2017) ,MOJ: MoJ Data First Crown court defendant case level dataset; MoJ Data First magistrates’ court defendant case level dataset,Office for National Statistics Secure Research Service,2022-05-13,2022/075,2022,2022Q2,Q2 2022,Crime & Justice,Outcome Tracking,Demographic disparities / equity tag,Assigned Crime & Justice because it examines sentencing of child offenders using court defendant datasets; Outcome Tracking because it links race/ethnicity to sentencing outcomes without a named intervention; Demographic disparities / equity tag because race/ethnic disparities are the central comparison.,Crime & Justice
2022/099,Structural change and drivers of productivity in manufacturing and ICT industries,"Jen-Chung Mei, University of Cambridge
Diane Coyle, University of Cambridge",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey GB, Annual Foreign Direct Investment Survey UK, Annual Purchases Survey UK, Business Enterprise Research and Development - England, Wales & Scotland, E-commerce Survey",Office for National Statistics Secure Research Service,2022-06-21,2022/099,2022,2022Q2,Q2 2022,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because it studies structural change and drivers of productivity in manufacturing and ICT using business survey and R&D datasets; Descriptive Monitoring because it characterises productivity drivers and structural change; no tag because no demographic or pandemic lens is central.,Business & Productivity
2022/098,The value of green jobs: an assessment of financial and non-financial motivation,"Damian Whittard, University of West of England
Felix Ritchie, University of West of England
Khanh Van Phan, University of West of England",Digital Economy Act (2017) ,"Office for National Statistics:
Annual Business Survey UK, Annual Respondents Database x UK, Annual Survey of Hours and Earnings UK",Office for National Statistics Secure Research Service,2022-08-08,2022/098,2022,2022Q3,Q3 2022,Labour Market & Employment; Environment & Agriculture,Outcome Tracking,,"Assigned Labour Market & Employment because it assesses the value of green jobs using earnings and hours datasets, and Environment & Agriculture because green jobs concern the environmental transition; Outcome Tracking because it links job characteristics to financial and non-financial motivation; no tag because no demographic or pandemic lens is central.",Labour Market & Employment
2022/100,The geography of social and educational mobility in the United Kingdom,"Stuart Bridgett, Centre for Cities
Jeffrey Mo, Centre for Cities",Digital Economy Act (2017) ,"DfE, DWP and HMRC: LEO via SRS Iteration 1 Standard Extract",Office for National Statistics Secure Research Service,2022-06-28,2022/100,2022,2022Q2,Q2 2022,Education & Skills; Labour Market & Employment,Life-Course / Trajectory Analysis,,Assigned Education & Skills and Labour Market & Employment because LEO links education to earnings outcomes for studying social and educational mobility; Life-Course / Trajectory Analysis because it follows mobility across geography and life stages; no tag because the focus is geographic mobility rather than a demographic-group comparison.,Education & Skills
2022/101,Counter Methodologies to International Migration Framing,"Alison Sizer, UCL",Digital Economy Act (2017) ,Office for National Statistics: Longitudinal Study of England and Wales,,2022-06-17,2022/101,2022,2022Q2,Q2 2022,Migration & Demographics,Descriptive Monitoring,,Assigned Migration & Demographics because the project addresses international migration framing using the Longitudinal Study; Descriptive Monitoring because it characterises and counters migration framings rather than testing an exposure-outcome relationship; no tag because no demographic-group comparison or pandemic lens is central.,Migration & Demographics
2022/102,Trade Uncertainty and Stockpiling,"Tacye Hong, Bank of England
Aydan Dogan, University of Barcelona",Digital Economy Act (2017) ,"Office for National Statistics: Annual Purchases Survey UK,
Business Insights and Conditions Survey UK,
Monthly Business Survey UK",Office for National Statistics Secure Research Service,2022-08-07,2022/102,2022,2022Q3,Q3 2022,Business & Productivity,Outcome Tracking,,Assigned Business & Productivity because it studies firm stockpiling behaviour using business survey datasets; Outcome Tracking because it links trade uncertainty to firm stockpiling responses; no tag because no demographic or pandemic lens is central.,Business & Productivity
2022/103,Environmental Impact of Taxes Evaluation,"Jan Franke, IPSOS MORI
Anna Sperati, IPSOS MORI
Andrew Whitehead, IPSOS MORI
Scott Carter, IPSOS MORI",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey UK, Annual Population Survey UK, Annual Respondents Database 2 UK, Annual Respondents Database x UK, Annual Survey of Hours and Earnings UK, Business Enterprise Research and Development England, Wales and Scotland, Business Structure Database UK, Quarterly Fuels Inquiry UK, Understanding Society UK",Office for National Statistics Secure Research Service,2022-06-24,2022/103,2022,2022Q2,Q2 2022,Environment & Agriculture; Public Finance & Taxation,Policy Evaluation / Impact Analysis,,"Assigned Environment & Agriculture and Public Finance & Taxation because the project evaluates the environmental impact of taxes using business, fuels, and earnings datasets; Policy Evaluation / Impact Analysis because it assesses the effects of a named fiscal instrument (taxes); no tag because no demographic or pandemic lens is central.",Environment & Agriculture
2022/104,"Carbon tax, R&D tax credits and the spatial profile of pollution and innovation","Marco Castelluccio, University College London",Digital Economy Act (2017) ,"Office for National Statistics: Annual Respondents Database 2 UK, Annual Respondents Database x UK, Business Enterprise Research and Development England, Wales & Scotland, Quarterly Fuels Inquiry UK, UK Innovation Survey",Office for National Statistics Secure Research Service,2022-07-18,2022/104,2022,2022Q3,Q3 2022,Environment & Agriculture; Public Finance & Taxation; Business & Productivity,Policy Evaluation / Impact Analysis,,"Assigned Environment & Agriculture for pollution/carbon, Public Finance & Taxation for carbon tax and R&D tax credits, and Business & Productivity for innovation outcomes using R&D and innovation survey datasets; Policy Evaluation / Impact Analysis because it evaluates the effects of carbon tax and tax credits on pollution and innovation; no tag because no demographic or pandemic lens is central.",Environment & Agriculture
2022/105,Resource misallocation in the UK manufacturing industries in the presence of R&D externality,"Kun Li, Cardiff Business School
Helmuts Azacis, Cardiff Business School",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey UK, Business Enterprise Research and Development England, Wales & Scotland, Business Structure Database UK, Business Structure Database: Longitudinal UK, Producer Price Index UK, UK Innovation Survey",Office for National Statistics Secure Research Service,2022-08-07,2022/105,2022,2022Q3,Q3 2022,Business & Productivity,Outcome Tracking,,"Assigned Business & Productivity because the project studies resource misallocation, R&D externalities and firm performance in UK manufacturing using business and innovation surveys; Outcome Tracking because it links R&D externalities (a naturally occurring condition) to firm productivity/misallocation outcomes; no tag because no demographic or pandemic lens is central.",Business & Productivity
2022/106,Welsh Government FDI research C270/2021/2022,"Palitha Konara, University of Sussex",Digital Economy Act (2017) ,"Office for National Statistics: Business Structure Database, UK Innovation Survey",Office for National Statistics Secure Research Service,2022-06-24,2022/106,2022,2022Q2,Q2 2022,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the Welsh Government FDI research uses business register and innovation survey data to study foreign direct investment among firms; Descriptive Monitoring because the framing is profiling FDI activity rather than testing an exposure-outcome relationship or named intervention; no tag because no demographic or pandemic lens applies.,Business & Productivity
2022/107,ISCF Industrial Decarbonisation Challenge Evaluation,"Chris Hale, IPSOS MORI
Anna Sperati, IPSOS MORI
Jordan Harrison, IPSOS MORI
Christian Stow, IPSOS MORI
Jose Argudo, IPSOS MORI",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey UK, Annual Survey of Hours and Earnings UK, Business Enterprise Research and Development England, Wales & Scotland, Business Structure Database UK, Low Carbon and Renewable Energy Economy Survey UK, UK Gross Value Added for lower layer super output areas, UK Innovation Survey",Office for National Statistics Secure Research Service,2022-06-28,2022/107,2022,2022Q2,Q2 2022,Environment & Agriculture; Business & Productivity,Policy Evaluation / Impact Analysis,,"Assigned Environment & Agriculture and Business & Productivity because the Industrial Decarbonisation Challenge concerns decarbonisation alongside firm performance, R&D and low-carbon economy outcomes; Policy Evaluation / Impact Analysis because it explicitly evaluates a named funded challenge programme; no tag because no demographic or pandemic lens is central.",Environment & Agriculture
2022/108,The Future of Work and Wellbeing: The Pissarides Review,"Bertha Rohenkohl Cruz, Institute for the Future of Work
Jonathan Clarke, Imperial College London
Jiyuan Zheng, Imperial College London
Rui Miguel Vieira Marques da Costa, London School of Economics

",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey UK, Annual Survey of Hours and Earnings UK, Labour Force Survey UK",Office for National Statistics Secure Research Service,2022-08-08,2022/108,2022,2022Q3,Q3 2022,Labour Market & Employment; Health & Social Care,Descriptive Monitoring,,Assigned Labour Market & Employment and Health & Social Care because the Future of Work and Wellbeing review studies work and wellbeing using labour-market surveys; Descriptive Monitoring because the review profiles patterns and trends in work and wellbeing rather than evaluating a named intervention; no tag because no demographic or pandemic lens is central.,Labour Market & Employment
2022/109,Levelling up? Startups and Regional Inequality in the United Kingdom,"Vincent Sterk, University College London
Thomas Lazarowicz, University College London
",Digital Economy Act (2017) ,"Office for National Statistics: Business Structure Database, Annual Business Survey, Annual Survey of Hours and Earnings",UK Data Service,2022-11-08,2022/109,2022,2022Q4,Q4 2022,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the project studies startups and enterprise activity across UK regions using business register and survey data; Descriptive Monitoring because the operation is characterising startup activity and regional variation; no tag because regional inequality is not a demographic/equality-group comparison.,Business & Productivity
2022/110,"Analysis of domestic violence, sexual violence and stalking of older adults","Merili Pullerits, City University
Hannah Bows, University of Durham
Iain Brennan, University of Hull",Digital Economy Act (2017) ,Office for National Statistics: Crime Survey for England and Wales,Office for National Statistics Secure Research Service,2022-02-08,2022/110,2022,2022Q1,Q1 2022,Crime & Justice,Descriptive Monitoring,Demographic disparities / equity tag,"Assigned Crime & Justice because the project analyses domestic violence, sexual violence and stalking using the Crime Survey for England and Wales; Descriptive Monitoring because it profiles victimisation among a population group; Demographic disparities / equity tag because older adults are the central age-group lens for the comparison.",Crime & Justice
2022/111,"Private family law cases in England and Wales: profiles, pathways and outcomes","Linda Cusworth, Lancaster University
Claire Hargreaves, Lancaster University
Bachar Alrouh, Lancaster University
Lucy Griffiths, Swansea University
Ashley Akbari, Swansea University
Laura North, Swansea University
Stefanie Doebler, Lancaster University
Mariam Abouelenin, Lancaster University",Digital Economy Act (2017) ,Ministry of Justice: MoJ Data First family court data extract,Office for National Statistics Secure Research Service,2022-05-08,2022/111,2022,2022Q2,Q2 2022,Crime & Justice,Service Interaction / Systems Analysis,,Assigned Crime & Justice because the project examines private family law cases using family court data; Service Interaction / Systems Analysis because pathways and case progression through the family justice system are central; no tag because no demographic or pandemic lens is central.,Crime & Justice
2022/112,The Political Economy Consequences of Global Supply Chains,"Niccolo Bonifai, Georgetown University",Digital Economy Act (2017) ,"Office for National Statistics: International Trade in Services UK, Linked Trade-in-Goods/IDBR dataset UK",Office for National Statistics Secure Research Service,2022-10-13,2022/112,2022,2022Q4,Q4 2022,Business & Productivity,Outcome Tracking,,Assigned Business & Productivity because the project studies global supply chains using firm-level trade-in-goods/services and IDBR data; Outcome Tracking because it links supply-chain exposure to political-economy/firm consequences; no tag because no demographic or pandemic lens applies.,Business & Productivity
