Record ID,record_linkage,matched_products,record_linkage_component_domains,dataset_collection_types,dataset_units,researcher_sectors
2022/193,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2022/194,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,academic
2022/195,No record linkage,,,survey; administrative,individual; business,academic; third-sector
2022/196,No record linkage,,,administrative,household,third-sector
2022/197,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey; administrative,individual; business,academic; third-sector
2022/198,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2022/203,No record linkage,,,survey; cohort; administrative,individual; business,government; third-sector
2022/204,No record linkage,,,survey,individual,academic
2022/205,No record linkage,,,survey,individual,academic
2023/016,No record linkage,,,administrative,business,government; commercial; unclassified
2023/042,No record linkage,,,survey; administrative,business,government
2023/043,Cross-domain record linkage,Growing Up in England (GUIE),Education & Skills; Migration & Demographics,administrative,individual,government
2023/002,No record linkage,,,survey,individual,unclassified
2023/062,No record linkage,,,survey,household,academic
2023/011,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,third-sector
2023/017,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2023/015,No record linkage,,,cohort,individual,academic
2023/067,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,government
2023/019,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,third-sector
2023/018,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2023/001,No record linkage,,,survey,individual; household,third-sector
2023/021,No record linkage,,,survey,individual,academic
2023/005,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; third-sector
2023/038,No record linkage,,,survey,individual,academic
2023/035,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2023/020,No record linkage,,,survey,individual,academic
2023/048,No record linkage,,,survey,individual,academic
2023/064,No record linkage,,,survey; administrative,business,third-sector
2023/060,No record linkage,,,survey,business,government
2023/010,No record linkage,,,survey; cohort; administrative,individual; household; business,commercial
2023/034,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,government
2023/050,No record linkage,,,survey; administrative,business,academic
2023/028,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,academic
2023/003,No record linkage,,,survey,individual; business,academic
2023/058,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual,academic
2023/046,No record linkage,,,survey,individual,academic
2023/022,No record linkage,,,survey; cohort,individual; household; business,academic
2023/037,No record linkage,,,survey,individual,commercial
2023/039,No record linkage,,,survey; cohort,individual; household,academic
2023/033,No record linkage,,,administrative,individual,academic
2023/027,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,third-sector
2023/049,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2023/031,No record linkage,,,survey; administrative,individual; business,academic; government; commercial
2023/023,No record linkage,,,administrative,business,academic
2023/029,No record linkage,,,survey,individual,academic
2023/036,No record linkage,,,survey; cohort; administrative,individual; household,academic
2023/065,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual; business,third-sector
2023/047,No record linkage,,,survey,individual,academic
2023/051,No record linkage,,,survey; administrative,business,academic
2023/057,No record linkage,,,,,unclassified
2023/032,No record linkage,,,administrative,business,academic
2023/040,No record linkage,,,survey,individual,academic
2023/007,No record linkage,,,survey,individual,academic
2023/052,No record linkage,,,survey,individual,third-sector
2023/063,No record linkage,,,administrative,individual,academic
2023/009,No record linkage,,,survey; cohort; administrative,individual; business,academic; government
2023/030,No record linkage,,,survey; administrative,individual; business,academic; government
2023/004,No record linkage,,,survey,individual,academic
2023/061,No record linkage,,,survey; cohort; administrative,individual; business,academic; government
2023/006,No record linkage,,,survey,individual,academic
2023/008,No record linkage,,,survey,individual,academic
2023/012,No record linkage,,,survey,individual,third-sector
2023/013,No record linkage,,,survey,individual,academic
2023/014,No record linkage,,,survey; administrative,business,academic
2023/024,No record linkage,,,survey; administrative,business,academic
2023/026,No record linkage,,,administrative,individual,government
2023/041,No record linkage,,,survey,individual; business,academic
2023/044,No record linkage,,,survey,business,academic
2023/053,No record linkage,,,survey,individual,academic
2023/054,No record linkage,,,survey; administrative,individual; business,unclassified
2023/055,No record linkage,,,survey,individual,academic
2023/056,No record linkage,,,survey,individual,academic
2023/059,No record linkage,,,survey,individual; household,academic
2023/066,No record linkage,,,survey; cohort,individual; household,academic
2023/069,No record linkage,,,survey; administrative,individual; business,academic
2023/070,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey; administrative,individual; business,academic
2023/071,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual; business,academic
2023/075,No record linkage,,,survey,business,commercial
2023/076,Cross-domain record linkage,Administrative Data | Agricultural Research Collection (AD|ARC),Migration & Demographics; Environment & Agriculture,administrative,business,academic; government
2023/077,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey; administrative,individual; business,academic
2023/078,No record linkage,,,survey,individual,academic
2023/079,No record linkage,,,administrative,business,commercial
2023/080,No record linkage,,,administrative,individual,academic
2023/081,No record linkage,,,survey; administrative,individual; business,commercial; unclassified
2023/082,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual,third-sector
2023/083,No record linkage,,,cohort; administrative,household; business,academic
2023/085,No record linkage,,,survey,individual,academic; commercial
2023/086,No record linkage,,,survey; administrative,business,academic
2023/087,No record linkage,,,survey,household,academic
2023/095,No record linkage,,,survey; administrative,individual; area,unclassified
2023/098,Cross-domain record linkage,Growing Up in England (GUIE),Education & Skills; Migration & Demographics,administrative,individual,academic
2023/068,No record linkage,,,survey,household,academic
2023/072,No record linkage,,,,,academic
2023/073,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2023/074,No record linkage,,,survey,business,unclassified
2023/084,No record linkage,,,survey,individual,academic
2023/090,No record linkage,,,survey; cohort; administrative,business,commercial
2023/100,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual,academic
2023/102,No record linkage,,,survey,household,unclassified
2023/106,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual,academic
2023/114,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,academic
2023/116,No record linkage,,,survey,individual; business,academic
2023/125,No record linkage,,,survey,individual,academic
2023/135,No record linkage,,,,,government
2023/153,No record linkage,,,survey,individual,government
2023/154,No record linkage,,,survey; administrative,household; area,academic
2023/155,No record linkage,,,survey,individual,academic
2023/156,No record linkage,,,,,academic; government
2023/157,No record linkage,,,survey; administrative,business,academic
2023/171,No record linkage,,,administrative,business,academic
2023/173,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2023/174,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; third-sector
2023/175,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2023/176,No record linkage,,,survey; administrative,business,government
2023/177,No record linkage,,,survey; administrative,business,academic
2023/178,No record linkage,,,administrative,individual,academic; government
2023/179,No record linkage,,,survey,individual,academic
2023/181,No record linkage,,,survey; administrative,individual; household; business,academic
2023/190,No record linkage,,,survey,individual,academic
2023/202,No record linkage,,,survey; administrative,individual; business,academic
2023/203,No record linkage,,,survey; administrative,individual; business,unclassified
2023/204,No record linkage,,,survey,business,academic
2023/205,Cross-domain record linkage,Growing Up in England (GUIE),Education & Skills; Migration & Demographics,administrative,individual,academic
2023/206,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,third-sector
2023/207,No record linkage,,,survey; cohort; administrative,individual; household; business,commercial
2023/209,No record linkage,,,cohort,household,unclassified
2023/210,No record linkage,,,survey,individual,academic
2023/220,No record linkage,,,survey,individual; household,commercial
2023/221,No record linkage,,,cohort; administrative,household; business,academic
2023/094,No record linkage,,,survey,individual,academic
2023/110,No record linkage,,,,,academic
2023/113,No record linkage,,,cohort,individual,academic
2023/231,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual,academic
2023/287,No record linkage,,,survey; administrative,business,unclassified
2023/241,No record linkage,,,cohort,individual,academic; unclassified
2023/272,No record linkage,,,survey,individual,academic; government
2023/193,No record linkage,,,survey; administrative,business,commercial
2023/289,No record linkage,,,survey,individual,academic
2023/253,No record linkage,,,survey,individual,academic
2023/232,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,third-sector
2023/218,No record linkage,,,administrative,business,academic
2023/260,No record linkage,,,survey; administrative,individual; business,academic
2023/235,No record linkage,,,survey; cohort; administrative,individual; household; business,commercial
2023/278,No record linkage,,,survey,business,government
2023/230,No record linkage,,,cohort,business,academic; unclassified
2023/211/a,No record linkage,,,survey; cohort,individual; household,academic; third-sector
2023/288,No record linkage,,,survey; administrative,individual; business,commercial
2023/252,No record linkage,,,survey; administrative,individual; business,government; commercial
2023/228,No record linkage,,,survey,individual,academic; government
2023/279,No record linkage,,,survey; administrative,individual; business,academic
2023/251,No record linkage,,,survey,individual; household,academic
2023/271,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey; administrative,individual; business,government
2023/277,No record linkage,,,survey; cohort,individual; household,commercial
2023/262,No record linkage,,,survey,individual,unclassified
2023/261,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey; cohort; administrative,individual; household; business; area,government
2023/256,No record linkage,,,survey; cohort; administrative,individual; business,academic
2023/172,No record linkage,,,survey,business,academic; government
2023/211/b,No record linkage,,,survey; cohort,individual; household,academic; third-sector
2023/242,No record linkage,,,survey; cohort,individual; household,commercial
2023/248,No record linkage,,,survey,household,third-sector
2023/285,No record linkage,,,survey; administrative,individual; business,academic; government; commercial
2023/294,No record linkage,,,cohort,individual,academic
2023/295,No record linkage,,,survey; administrative,business,government
2023/296,No record linkage,,,survey,business,academic
2023/297,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,academic
2023/298,No record linkage,,,cohort,individual,government
2023/299,No record linkage,,,survey; administrative,individual; business,academic
2023/300,No record linkage,,,survey; cohort,individual; household,academic
2023/301,No record linkage,,,survey,business,government
2023/303,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,third-sector
2023/304,No record linkage,,,survey,individual,academic
2023/305,No record linkage,,,survey,individual,third-sector
2023/307,No record linkage,,,survey,individual; business,academic
2023/309,No record linkage,,,survey,household,academic
2023/310,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,third-sector
2023/311,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual; household,unclassified
2023/312,No record linkage,,,survey,individual,academic
2024/002,No record linkage,,,survey; administrative,household; business,academic
2024/003,No record linkage,,,survey; administrative,business; area,academic; government; unclassified
2024/004,No record linkage,,,survey; administrative,individual; business,commercial
2024/005,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2024/006,No record linkage,,,survey; administrative,individual; business,academic; unclassified
2024/008,No record linkage,,,administrative,individual,academic
2024/009,No record linkage,,,survey,individual,academic
2024/010,No record linkage,,,survey,individual,academic
2024/011,No record linkage,,,administrative,individual,third-sector
2024/016,No record linkage,,,survey; administrative,individual; household; business,academic; government; third-sector
2024/017,No record linkage,,,survey,business,unclassified
2024/018,No record linkage,,,cohort,individual,academic
2024/020,No record linkage,,,survey,business,academic
2024/021,No record linkage,,,survey; cohort; administrative,business,unclassified
2024/022,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,academic
2024/023,No record linkage,,,survey,individual,academic
2024/024,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/025,No record linkage,,,survey,individual; household,academic
2024/026,No record linkage,,,survey; administrative,business,academic
2024/027,No record linkage,,,cohort,individual,academic
2024/028,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/029,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey; cohort,individual; household,academic
2024/030,No record linkage,,,survey; cohort; administrative,individual; business,academic
2024/031,No record linkage,,,survey,individual,unclassified
2024/032,No record linkage,,,survey; administrative,business,government
2024/033,No record linkage,,,survey; administrative,business,academic
2024/034,No record linkage,,,survey; administrative,business,commercial
2024/035,No record linkage,,,survey; administrative,individual; business,academic
2024/038,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,survey; administrative,individual; business,academic
2024/040,No record linkage,,,survey; cohort,individual; household,third-sector
2024/041,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; third-sector
2024/042,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual,unclassified
2024/043,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; commercial
2024/044,No record linkage,,,survey,business,academic; government
2024/047,No record linkage,,,administrative,business,government
2024/048,No record linkage,,,survey; administrative,business,commercial
2024/052,No record linkage,,,survey,individual,academic
2024/053,No record linkage,,,administrative,business,academic
2024/056,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/057,No record linkage,,,survey; administrative,business,academic
2024/058,No record linkage,,,survey; cohort,individual; household; business,government; third-sector; commercial
2024/060,No record linkage,,,cohort,individual,academic
2024/068,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2023/308,No record linkage,,,survey,individual,academic
2024/001,No record linkage,,,survey; administrative,individual; business,academic
2024/013,No record linkage,,,survey,individual; business,academic
2024/015,No record linkage,,,survey,individual,academic
2024/036,No record linkage,,,survey,individual,academic
2024/037,No record linkage,,,survey,individual; business,academic; third-sector
2024/050,No record linkage,,,survey; administrative,individual; household; business,academic
2024/051,No record linkage,,,survey; cohort; administrative,business,academic
2024/061,No record linkage,,,survey,individual,academic; government; unclassified
2024/067,No record linkage,,,survey,individual,academic
2023/222,No record linkage,,,survey,individual,unclassified
2023/233,No record linkage,,,survey,individual,academic
2023/259,No record linkage,,,cohort,business,academic
2023/274,No record linkage,,,survey,individual,academic
2023/276,No record linkage,,,administrative,business,academic; unclassified
2024/019,No record linkage,,,survey,individual,academic
2024/062,No record linkage,,,survey,individual,government
2024/007,No record linkage,,,survey; administrative,individual; household; business,academic
2024/039,No record linkage,,,administrative,business,academic
2024/055,No record linkage,,,survey,individual,third-sector
2024/059,No record linkage,,,administrative,individual,unclassified
2024/070,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey; administrative,individual; business; area,academic; unclassified
2023/293,No record linkage,,,,,academic
2024/094,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,unclassified
2024/123,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,third-sector
2024/124,No record linkage,,,survey,individual; household,third-sector
2024/080,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,unclassified
2024/077,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual,academic
2024/133,No record linkage,,,survey; administrative,business,academic
2024/075,No record linkage,,,survey; administrative,business,academic
2024/132,No record linkage,,,survey; administrative,individual; household; business; area,academic; government; third-sector
2024/100,No record linkage,,,survey,individual; household,academic
2024/099,No record linkage,,,survey,individual,academic
2024/116,No record linkage,,,administrative,business,commercial
2024/096,No record linkage,,,survey; cohort; administrative,individual; business,academic; government; third-sector
2024/076,No record linkage,,,survey,individual,academic
2024/106,No record linkage,,,survey,individual,academic
2024/136,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/014/a,No record linkage,,,,,academic
2024/142,No record linkage,,,survey,business,academic
2024/131,No record linkage,,,survey,individual,academic
2024/121,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/081,No record linkage,,,survey; administrative,individual; business,commercial
2024/108,No record linkage,,,survey,business,commercial
2024/078,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual; business,academic
2024/084,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/143,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,unclassified
2024/104,No record linkage,,,survey,household,academic
2024/054,No record linkage,,,survey; cohort,individual; household,academic
2024/119,No record linkage,,,survey,individual,academic
2024/085,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/049,No record linkage,,,cohort,individual,academic
2024/071,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; commercial
2024/072,No record linkage,,,administrative,business,government; third-sector; commercial
2024/113,No record linkage,,,survey,individual,academic
2024/079,No record linkage,,,survey; cohort,individual; household,academic
2024/126,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey; administrative,individual; business,academic
2024/097,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,academic
2024/098,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2024/117,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/129,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey; cohort,individual; household,third-sector
2024/093,No record linkage,,,survey; administrative,individual; business,commercial
2024/115,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey; administrative,individual; business,commercial
2024/137,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; third-sector
2024/082,No record linkage,,,survey,individual,academic
2024/109,No record linkage,,,,,government
2024/083,No record linkage,,,cohort,household,commercial
2024/092,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,unclassified
2024/122,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; commercial
2024/125,No record linkage,,,survey,individual,academic
2024/128,No record linkage,,,survey,individual,academic
2023/151,No record linkage,,,survey; administrative,business,academic
2023/152,No record linkage,,,survey,household,academic
2023/162,No record linkage,,,survey,individual,academic
2023/164,No record linkage,,,survey; administrative,individual,third-sector
2023/166,No record linkage,,,survey,individual,academic
2023/170,No record linkage,,,survey; cohort,individual; household,third-sector
2023/183,No record linkage,,,survey,household,academic
2023/189,No record linkage,,,survey,household,academic
2023/197,No record linkage,,,administrative,individual,academic
2023/198,No record linkage,,,survey,household,academic
2023/214,No record linkage,,,,,academic; government; unclassified
2023/215,No record linkage,,,survey,individual,academic
2023/216,No record linkage,,,survey,individual,academic
2023/217,No record linkage,,,survey,individual; household,unclassified
2023/229,No record linkage,,,survey; administrative,business,academic
2023/234,No record linkage,,,survey; cohort; administrative,individual; household; business,academic
2023/236,No record linkage,,,survey,household,academic
2023/237,No record linkage,,,survey,household,academic
2023/238,No record linkage,,,survey; administrative,individual; business,academic
2023/243,No record linkage,,,survey; administrative,individual; household; business,government
2023/244,No record linkage,,,survey; cohort,individual; household; business,academic
2023/263,No record linkage,,,survey,individual,government
2023/268,No record linkage,,,survey; administrative,individual,academic
2023/269,No record linkage,,,survey; administrative,individual; business,academic
2023/270,No record linkage,,,survey,business,government
2023/273,No record linkage,,,survey; cohort; administrative,business,academic
2023/275,No record linkage,,,survey,individual,third-sector
2023/280,No record linkage,,,cohort; administrative,business,academic
2023/282,No record linkage,,,survey; administrative,business,government
2023/283,No record linkage,,,survey,individual; household,government
2023/284,No record linkage,,,cohort,individual,academic
2023/286,No record linkage,,,cohort,individual,academic
2023/132,No record linkage,,,survey; administrative,business,academic
2023/313,No record linkage,,,survey,individual,academic
2023/167,No record linkage,,,survey,business,academic
2023/212,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,third-sector
2023/281,No record linkage,,,survey,individual,academic
2023/291,No record linkage,,,survey,individual,government; unclassified
2024/014/b,No record linkage,,,survey,individual,academic
2024/063,No record linkage,,,survey,individual,academic
2024/064,No record linkage,,,survey,individual,unclassified
2024/066,No record linkage,,,survey,individual,academic
2024/088,No record linkage,,,survey,individual,academic
2024/103,No record linkage,,,,,academic
2024/012,No record linkage,,,survey; cohort,individual; household,academic
2024/073,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; third-sector
2024/074,No record linkage,,,survey,individual,academic
2024/045,No record linkage,,,survey,individual,unclassified
2024/046,No record linkage,,,survey,individual,third-sector
2024/086,No record linkage,,,survey,individual,academic
2024/089,Within-domain record linkage,MoJ Data First,Crime & Justice,survey; administrative,individual,academic
2024/090,No record linkage,,,survey,individual,academic
2024/091,No record linkage,,,survey,individual,academic
2024/095/a,No record linkage,,,survey; administrative,individual; business,academic
2024/095/b,No record linkage,,,survey,individual,academic; government
2024/101,No record linkage,,,survey,individual,academic
2024/107,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/110,No record linkage,,,survey,individual,academic
2024/118,No record linkage,,,survey,individual,academic
2024/120,No record linkage,,,survey,individual,academic
2024/134,No record linkage,,,survey,individual,commercial
2024/138,No record linkage,,,,,academic
2024/139,No record linkage,,,survey,individual,third-sector
2024/144,Within-domain record linkage,GRading and Admissions Data England (GRADE),Education & Skills,administrative,individual,academic
2024/152,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/148,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/161,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey; cohort,individual; household,academic
2024/149,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/154,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,third-sector
2024/141,No record linkage,,,cohort,individual,third-sector
2024/153,No record linkage,,,cohort,individual,academic
2024/170,No record linkage,,,survey; administrative,individual; business,academic
2024/168,Within-domain record linkage,GRading and Admissions Data England (GRADE),Education & Skills,administrative,individual,academic
2024/167,Within-domain record linkage,GRading and Admissions Data England (GRADE),Education & Skills,administrative,individual,academic
2024/147,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/146,No record linkage,,,cohort,individual,academic
2024/163,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2024/162,No record linkage,,,survey,individual,government
2024/150,No record linkage,,,survey; cohort,individual; household,academic; unclassified
2024/151,No record linkage,,,survey; cohort; administrative,business,academic
2024/157,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/158,No record linkage,,,cohort,individual,academic
2024/204,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/197,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2024/196,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/200,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/175,No record linkage,,,survey,individual,unclassified
2024/203,No record linkage,,,survey; cohort,household; business,academic
2024/185,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; third-sector
2024/211,No record linkage,,,cohort,business,academic
2024/184,No record linkage,,,survey,individual; business,academic
2024/201,Within-domain record linkage,GRading and Admissions Data England (GRADE),Education & Skills,administrative,individual,academic; third-sector
2024/176,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; third-sector
2024/186,Within-domain record linkage,GRading and Admissions Data England (GRADE),Education & Skills,administrative,individual,academic
2024/188,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2024/187,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2024/173,No record linkage,,,cohort,individual,academic
2024/198,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/190,No record linkage,,,administrative,individual,academic
2024/177,No record linkage,,,survey,individual,unclassified
2024/180,No record linkage,,,administrative,individual,unclassified
2024/178,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,government
2024/205,No record linkage,,,administrative,individual,government
2024/172,No record linkage,,,administrative,business,commercial
2024/174,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual,third-sector
2024/183,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual; business,third-sector
2024/207,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual,academic
2024/210,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2024/155,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/165,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/166,No record linkage,,,survey; administrative,household; area,academic; unclassified
2024/169,Within-domain record linkage,GRading and Admissions Data England (GRADE),Education & Skills,administrative,individual,academic
2024/171,No record linkage,,,survey,individual,academic
2024/182,No record linkage,,,survey,individual,academic
2024/208,No record linkage,,,survey,individual,academic
2024/209,No record linkage,,,survey,business,academic
