Project ID,Record ID,Title,Datasets Used,Accreditation Date,Year,gpt_status,substantive_domains,analytical_purpose,cross_cutting_tags,rationale,validation_error,raw_classification
2021/146,2021/146,C19 Peer Review Network Evaluation,Office for National Statistics: Business Structure Database,2022-02-23,2022,ok,Business & Productivity,Policy Evaluation / Impact Analysis,COVID-19 & Pandemic,"Assigned Business & Productivity because the project evaluates a C19 Peer Review Network using the Business Structure Database, indicating a business or enterprise-support setting; Policy Evaluation / Impact Analysis because the title explicitly describes an evaluation of a named network; COVID-19 & Pandemic because “C19” makes the COVID-19 context central.",,
2021/147,2021/147,Intergenerational Inequalities: sources across jobs and labour markets,"Office for National Statistics: Annual Survey for Hours and Earnings / Census 2011 Linked Datase, Business Structure Database, Annual Survey for Hours and Earnings Longitudinal, Employer Skill Survey, Annual Business Survey",2021-01-10,2021,ok,Labour Market & Employment,Descriptive Monitoring,Demographic disparities / equity tag,"Assigned Labour Market & Employment because the title focuses on intergenerational inequalities across jobs and labour markets using linked ASHE, Census, employer skills and business datasets; Descriptive Monitoring because it seeks to identify sources and patterns of labour-market inequality rather than evaluate a named policy or predict risk; Demographic disparities / equity tag because intergenerational inequality makes comparison across generations or cohorts central.",,
2021/149,2021/149,Joint Economic Data Hub,"Office for National Statistics: Annual Business Survey, Annual Population Survey , Annual Population Survey , Annual Survey of Hours and Earnings, Business Enterprise Research and Development, Business Register Employment Survey, UK Manufacturers' Sales by Product Survey, Linked Trade-in-Goods/IDBR Dataset
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",2021-11-11,2021,ok,Data Infrastructure & Methodology,Methodological / Infrastructure Research,,"Assigned Data Infrastructure & Methodology because the title is a Joint Economic Data Hub built around multiple linked business, labour and innovation datasets; Methodological / Infrastructure Research because the visible aim is creating or supporting a data hub rather than analysing a specific economic outcome; no tag because neither COVID-19 nor demographic-equity comparison is central.",,
2021/150,2021/150,Intergenerational wealth transfers,Office for National Statistics: Wealth and Assets Survey,2021-10-05,2021,ok,"Poverty, Wealth & Living Standards",Descriptive Monitoring,Demographic disparities / equity tag,"Assigned Poverty, Wealth & Living Standards because the title focuses on intergenerational wealth transfers and uses the Wealth and Assets Survey; Descriptive Monitoring because the entry indicates characterising transfers rather than testing a named intervention or prediction model; Demographic disparities / equity tag because intergenerational comparison across cohorts is central.",,
2021/151,2021/151,Economy 2030 Inquiry: Places research strand,"Office for National Statistics: Annual Business Survey, Annual Population Survey , Annual Survey of Hours and Earnings, Business Structure Database, Labour Force Survey , Labour Force Survey , Labour Force Survey , UK Gross Value Added
Institute for Economic and Social Research: Secure Access version of Understanding Society Data and Harmonised BHPS Geography files, Understanding Society",2021-10-13,2021,ok,Labour Market & Employment; Business & Productivity,Descriptive Monitoring,,"Assigned Labour Market & Employment and Business & Productivity because the Places research strand uses earnings, labour-force, business-structure, business-survey and GVA datasets to study local economic conditions; Descriptive Monitoring because the title indicates profiling place-based economic patterns in the Economy 2030 Inquiry; no tag because the comparison is geographic rather than demographic or pandemic-related.",,
2021/152,2021/152,Modelling mortality risk using socio-economic variations,"Office for National Statistics: Death Registrations, England and Wales",2021-10-26,2021,ok,Health & Social Care,Outcome Tracking,,Assigned Health & Social Care because the title models mortality risk using death registrations as the outcome; Outcome Tracking because it links socio-economic variation to mortality risk rather than evaluating a policy or building an explicit screening tool; no tag because socio-economic variation alone is not a demographic-equity comparison and COVID-19 is not mentioned.,,
2021/153,2021/153,"Assessing inequalities in health, wellbeing, and social participation outcomes for young carers in the UK",Office for National Statistics: Longitudinal Study of England and Wales,2021-11-02,2021,ok,Health & Social Care,Outcome Tracking,Demographic disparities / equity tag,Assigned Health & Social Care because the title focuses on health and wellbeing outcomes for young carers using the ONS Longitudinal Study; Outcome Tracking because it assesses inequalities associated with young-carer status in downstream outcomes; Demographic disparities / equity tag because inequalities for the young-carer group are central.,,
2021/154,2021/154,Occupational Sorting by Task and English Language: Immigrant/UK born ethnic minorities versus White British,"Office for National Statistics: Census 1991, 2001, 2011",2022-01-27,2022,ok,Labour Market & Employment,Descriptive Monitoring,Demographic disparities / equity tag,"Assigned Labour Market & Employment because the title studies occupational sorting by task and English language using Census data; Descriptive Monitoring because it compares occupational distributions across groups rather than evaluating an intervention; Demographic disparities / equity tag because immigrant status, ethnicity and White British comparison are central.",,
2021/155,2021/155,Improving regional capital investment statistics,"Office for National Statistics: Annual Acquisition and Disposals of Capital Assets Survey, Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database, Quarterly Acquisitions and Disposals of Capital Assets Survey, Quarterly Capital Expenditure Survey, Annual Business Inquiry",2021-10-12,2021,ok,Data Infrastructure & Methodology,Methodological / Infrastructure Research,,Assigned Data Infrastructure & Methodology because the title is about improving regional capital investment statistics using capital-expenditure and business survey datasets; Methodological / Infrastructure Research because improving statistical measures is the main analytical operation; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2021/156,2021/156,Creative Industries Tax Relief Evaluation,"Office for National Statistics: Annual Business Survey, Annual Respondents Database",2021-12-10,2021,ok,Business & Productivity; Public Finance & Taxation,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity and Public Finance & Taxation because the project evaluates Creative Industries Tax Relief using business survey data; Policy Evaluation / Impact Analysis because a named tax relief scheme is explicitly being evaluated; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2021/157,2021/157,Gender Relations in Elite Occupations. A Comparative study on Elite Selection and Careers,Office for National Statistics: Quarterly Labour Force Survey,2021-12-22,2021,ok,Labour Market & Employment,Descriptive Monitoring,Demographic disparities / equity tag,"Assigned Labour Market & Employment because the title focuses on gender relations, elite occupations, selection and careers using the Quarterly Labour Force Survey; Descriptive Monitoring because it is framed as a comparative study of occupational patterns and careers rather than a policy evaluation or prediction design; Demographic disparities / equity tag because gender comparison is central.",,
2021/158,2021/158,"Cities, Levelling Up and Productivity","Office for National Statistics: Annual Survey of Hours and Earnings, Quarterly Labour Force Survey, Labour Force Survey Household Datasets, Business Structure Database, Annual Business Survey",2021-10-26,2021,ok,Labour Market & Employment; Business & Productivity,Descriptive Monitoring,,"Assigned Labour Market & Employment and Business & Productivity because the title links cities, levelling up and productivity and uses earnings, labour-force and business datasets; Descriptive Monitoring because it indicates analysis of place-based productivity and economic patterns rather than evaluation of a specific policy intervention; no tag because the lens is geographic rather than demographic or pandemic-related.",,
2021/159,2021/159,Intergenerational wealth transfers,"Office for National Statistics: Wealth and Assets Survey, Waves 1-5",2022-02-02,2022,ok,"Poverty, Wealth & Living Standards",Descriptive Monitoring,Demographic disparities / equity tag,"Assigned Poverty, Wealth & Living Standards because the title focuses on wealth transfers and the Wealth and Assets Survey measures household wealth; Descriptive Monitoring because the entry indicates analysis of the distribution or pattern of intergenerational transfers rather than a named intervention; Demographic disparities / equity tag because the intergenerational framing makes comparison between generations central.",,
2021/160,2021/160,Linking National and Regional Income Inequality: Cross-Country Data Harmonization and Analysis,"Office for National Statistics: New Earnings Survey Panel Dataset, Annual Survey of Hours and Earnings, Annual Respondents Database , Annual Business Survey, Business Structure Database , Annual Respondents Database X
Institute for Economic and Social Research: BHPS, Waves 1-18,
Understanding Society Waves 1-9 and Harmonised BHPS: Waves 1-18",2021-10-26,2021,ok,"Poverty, Wealth & Living Standards; Data Infrastructure & Methodology",Methodological / Infrastructure Research; Descriptive Monitoring,,"Assigned Poverty, Wealth & Living Standards and Data Infrastructure & Methodology because the title concerns income inequality and cross-country data harmonization using earnings, business and household panel datasets; Methodological / Infrastructure Research and Descriptive Monitoring because the project explicitly harmonises data and analyses national and regional inequality patterns; no cross-cutting tags because no demographic equality group or COVID-19 lens is central.",,
2021/161,2021/161,Workers and firms under Brexit uncertainty,"Office for National Statistics: Employer Skills Survey, Annual Population Survey, Quarterly Labour Force Survey, Business Structure Database, Annual Business Survey, Annual Respondents Database X, Annual Respondents Database, Business Register and Employment Survey, Business Insights and Conditions Survey, Waves 1-27",2021-10-26,2021,ok,Labour Market & Employment; Business & Productivity,Outcome Tracking,,"Assigned Labour Market & Employment and Business & Productivity because the title focuses on workers and firms and the datasets include labour-force, employer-skills and business datasets; Outcome Tracking because it examines outcomes under the naturally occurring condition of Brexit uncertainty rather than a named intervention; no cross-cutting tags because the entry does not centre demographic disparities or COVID-19.",,
2021/162,2021/162,"Labour Flow Networks, Shocks, and Resilience",Office for National Statistics: Labour Force Survey,2021-10-10,2021,ok,Labour Market & Employment,Outcome Tracking,,Assigned Labour Market & Employment because the title concerns labour-flow networks and the dataset is the Labour Force Survey; Outcome Tracking because the title links shocks to labour-market resilience and flows; no cross-cutting tags because no demographic equality or COVID-19 lens is indicated.,,
2021/163,2021/163,Understanding how the COVID-19 pandemic has affected furloughed workers wellbeing.,"Office for National Statistics: Annual Population Survey , Coronavirus and the social impacts on Great Britain, Labour Force Survey , Labour Force Survey",2021-11-23,2021,ok,Labour Market & Employment; Health & Social Care,Outcome Tracking,COVID-19 & Pandemic,Assigned Labour Market & Employment and Health & Social Care because the title studies furloughed workers and their wellbeing using labour-force and coronavirus social-impacts datasets; Outcome Tracking because it asks how the COVID-19 pandemic affected wellbeing among furloughed workers; COVID-19 & Pandemic because the pandemic is explicit and central in the title and dataset field.,,
2021/164,2021/164,Investigating the wellbeing returns from post-school education in Scotland,Office for National Statistics: Annual Population Survey,2021-11-02,2021,ok,Education & Skills; Health & Social Care,Outcome Tracking,,Assigned Education & Skills and Health & Social Care because the title studies wellbeing returns from post-school education and uses the Annual Population Survey; Outcome Tracking because it links post-school education to later wellbeing; no cross-cutting tags because the entry does not centre demographic disparities or COVID-19.,,
2021/165,2021/165,"Evaluation of Bounce Back Loan Scheme, Coronavirus Business Interruption Loan Scheme and Coronavirus Large Business Interruption Loan Scheme","Office for National Statistics: Business Insights and Conditions Survey, Business Structure Database, Longitudinal Inter-Departmental Business Register",2022-04-28,2022,ok,Business & Productivity,Policy Evaluation / Impact Analysis,COVID-19 & Pandemic,"Assigned Business & Productivity because the title evaluates business loan schemes using business-structure and business-conditions datasets; Policy Evaluation / Impact Analysis because it explicitly evaluates the Bounce Back Loan Scheme, Coronavirus Business Interruption Loan Scheme and Coronavirus Large Business Interruption Loan Scheme; COVID-19 & Pandemic because the named loan schemes are pandemic business-support schemes.",,
2021/166,2021/166,Modelling Housing Choices of Young Graduates in the UK,Office for National Statistics: Annual Population Survey,2022-02-03,2022,ok,Housing & Planning,Descriptive Monitoring,,Assigned Housing & Planning because the title focuses on housing choices of young graduates in the UK; Descriptive Monitoring because the visible operation is modelling and characterising housing-choice patterns rather than evaluating an intervention or predicting risk; no cross-cutting tags because young graduates define the study population but no demographic comparison is explicit.,,
2021/167,2021/167,The Gender Gap in Components of Pay,Office for National Statistics: Annual Survey of Hours and Earnings,2022-02-28,2022,ok,Labour Market & Employment,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Labour Market & Employment because the title studies components of pay using the Annual Survey of Hours and Earnings; Descriptive Monitoring because it measures the gender pay gap and its components; Demographic disparities / equity tag because gender comparison is central to the research question.,,
2021/168,2021/168,Evaluation of the ScaleUp North East Pilot Programme,Office for National Statistics: Business Structure Database,2021-09-11,2021,ok,Business & Productivity,Policy Evaluation / Impact Analysis,,"Assigned Business & Productivity because the title evaluates the ScaleUp North East Pilot Programme using the Business Structure Database, indicating a firm-growth or business-support focus; Policy Evaluation / Impact Analysis because the title explicitly says evaluation of a named pilot programme; no cross-cutting tags because no demographic disparity or COVID-19 lens is indicated.",,
2021/169,2021/169,Impacts of Low-Emission Zone and Congestion Charge Zone on Businesses,"Office for National Statistics: Business Structure Database, Annual Respondents Database X",2021-11-11,2021,ok,Business & Productivity; Environment & Agriculture,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity and Environment & Agriculture because the title studies business impacts of Low-Emission Zone and Congestion Charge Zone policies using business datasets; Policy Evaluation / Impact Analysis because it assesses the impacts of specific zone-based policy interventions; no tag because neither COVID-19 nor demographic equity comparisons are central.,,
2021/170,2021/170,Innovation and productivity in global value chains: an empirical analysis of firm-level data,"Office for National Statistics: Business Expenditure on Research and Development, Annual Respondents Database X, Annual Business Survey,, Annual Respondents Database, Business Register and Employment Survey, Business Structure Database, Investment in Intangible Assets Survey
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",2022-03-03,2022,ok,Business & Productivity,Outcome Tracking,,"Assigned Business & Productivity because the title focuses on innovation, productivity, global value chains and firm-level data, supported by business, R&D and innovation datasets; Outcome Tracking because it analyses relationships between firm characteristics such as innovation or value-chain position and productivity outcomes; no tag because neither COVID-19 nor demographic equity comparisons are central.",,
2021/171,2021/171,Examining the extent of alcohol-related crime across Merseyside.,Office for National Statistics: Crime Survey for England and Wales,2022-02-28,2022,ok,Crime & Justice,Descriptive Monitoring,,Assigned Crime & Justice because the title examines alcohol-related crime using the Crime Survey for England and Wales; Descriptive Monitoring because it seeks to measure the extent of alcohol-related crime across Merseyside; no tag because neither COVID-19 nor demographic equity comparisons are central.,,
2021/172,2021/172,The Impact of Institutional Change on UK Labour Market,"Office for National Statistics: Annual Survey of Hours and Earnings, Quarterly Labour Force Survey",2021-11-30,2021,ok,Labour Market & Employment,Policy Evaluation / Impact Analysis,,Assigned Labour Market & Employment because the title concerns impacts on the UK labour market using earnings and labour force datasets; Policy Evaluation / Impact Analysis because it frames institutional change as the intervention whose labour-market impact is being assessed; no tag because neither COVID-19 nor demographic equity comparisons are central.,,
2021/173,2021/173,The impact of recent welfare reforms on labour market outcomes,Office for National Statistics: Annual Population Survey,2021-11-30,2021,ok,Labour Market & Employment,Policy Evaluation / Impact Analysis,,Assigned Labour Market & Employment because the title focuses on labour market outcomes using the Annual Population Survey; Policy Evaluation / Impact Analysis because it studies the impact of recent welfare reforms; no tag because neither COVID-19 nor demographic equity comparisons are central.,,
2021/174,2021/174,Impact of austerity policies and racism on health inequalities observed during the covid-19 pandemic,"Office for National Statistics /
NHSD: Public Health Research Database
Institute for Social and Economic Research: Understanding Society",2021-11-19,2021,ok,Health & Social Care; Public Finance & Taxation,Policy Evaluation / Impact Analysis; Outcome Tracking,Demographic disparities / equity tag; COVID-19 & Pandemic,"Assigned Health & Social Care and Public Finance & Taxation because the title studies health inequalities in relation to austerity policies using public health and Understanding Society data; Policy Evaluation / Impact Analysis and Outcome Tracking because it assesses austerity policies and racism as influences on health inequalities; Demographic disparities / equity tag and COVID-19 & Pandemic because racism, health inequalities and the COVID-19 pandemic are explicit central lenses.",,
2021/175,2021/175,Evaluation of Industrial Strategy Challenge Fund programmes,Office for National Statistics: Business Structure Database,2021-11-19,2021,ok,Business & Productivity,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity because the title evaluates Industrial Strategy Challenge Fund programmes using the Business Structure Database; Policy Evaluation / Impact Analysis because it is explicitly an evaluation of named industrial strategy programmes; no tag because neither COVID-19 nor demographic equity comparisons are central.,,
2021/176,2021/176,Transforming Scottish Islands into Sustainable and Circular Energy and Resource Hubs,Office for National Statistics: Annual gas and electricity consumption at the meter level,2021-11-19,2021,ok,Environment & Agriculture,Unclear from Register Entry,,"Assigned Environment & Agriculture because the title concerns sustainable and circular energy and resource hubs and uses meter-level gas and electricity consumption data; Unclear from Register Entry because the title and dataset do not specify whether the analysis monitors, evaluates, predicts, or models an exposure-outcome relationship; no tag because neither COVID-19 nor demographic equity comparisons are central.",,
2021/177,2021/177,The role of social and natural capital as key determinants of sustainable prosperity,"Office for National Statistics: Annual Business Survey, Annual Population Survey, Capital Stock, Labour Force Survey , Quarterly Acquisitions and Disposals of Capital Assets Survey",2021-11-19,2021,ok,Environment & Agriculture; Business & Productivity; Labour Market & Employment,Outcome Tracking,,"Assigned Environment & Agriculture, Business & Productivity and Labour Market & Employment because the title centres natural capital and sustainable prosperity and the datasets include business, capital stock and labour force sources; Outcome Tracking because it examines social and natural capital as determinants of prosperity outcomes; no tag because neither COVID-19 nor demographic equity comparisons are central.",,
2021/178,2021/178,Unpacking the disability employment gap,"Office for National Statistics (ONS): Annual Population Survey (APS)
Office for National Statistics (ONS): Annual Population Survey Household
Department for Business, Energy and Industrial Strategy (BEIS): Workplace Employee Relations Survey
Understanding Society: Waves 1-10 and Harmonised BHPS: Waves 1-18",2021-12-15,2021,ok,Labour Market & Employment,Descriptive Monitoring,Demographic disparities / equity tag,"Assigned Labour Market & Employment because the title focuses on the disability employment gap using population, workplace and longitudinal survey data; Descriptive Monitoring because it seeks to unpack the level and composition of an employment gap; Demographic disparities / equity tag because disability-based comparison is central to the research question.",,
2021/179,2021/179,Understanding how amenable mortality changed before and during the COVID-19 pandemic,"Office for National Statistics: Death registration data Provisional Monthly Extracts England and Wales, Death Registrations, England and Wales",2022-01-18,2022,ok,Health & Social Care,Descriptive Monitoring,COVID-19 & Pandemic,Assigned Health & Social Care because the title studies amenable mortality using ONS death registration data; Descriptive Monitoring because it asks how mortality changed before and during the pandemic; COVID-19 & Pandemic because the COVID-19 pandemic is an explicit central comparison period.,,
2021/180,2021/180,Impact of Innovation on Export Performance,Office for National Statistics: Longitudinal Small Business Survey,2021-11-30,2021,ok,Business & Productivity,Outcome Tracking,,Assigned Business & Productivity because the title links innovation to export performance using the Longitudinal Small Business Survey; Outcome Tracking because it examines innovation as an exposure associated with downstream export performance; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2021/181,2021/181,Evaluation of the North East Fund - an ERDF Funded Venture Capital and Loan Fund,Office for National Statistics: Business Structure Database,2021-03-12,2021,ok,Business & Productivity,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity because the North East Fund is a venture capital and loan fund for businesses and the project uses the Business Structure Database; Policy Evaluation / Impact Analysis because the title explicitly states an evaluation of a named ERDF-funded fund; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2021/182,2021/182,Spatial Returns to Higher Education,"DfE, DWP and HMRC: LEO via SRS Iteration 1 Standard Extract",2022-08-02,2022,ok,Education & Skills; Labour Market & Employment,Outcome Tracking,,"Assigned Education & Skills and Labour Market & Employment because the title studies returns to higher education using LEO education, DWP and HMRC outcome data; Outcome Tracking because it links higher education and spatial context to later returns; no tag because no demographic-equity or COVID-19 lens is indicated.",,
2021/183,2021/183,Assessing the impact of media reporting of celebrity suicide on population suicide rates,"Office for National Statistics: Death Registrations, England and Wales",2022-01-18,2022,ok,Health & Social Care,Outcome Tracking,,Assigned Health & Social Care because the title studies suicide rates using ONS death registrations; Outcome Tracking because it assesses media reporting of celebrity suicide as an exposure linked to population suicide rates; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2021/184,2021/184,IFoA mortality by cause dataset,"Office for National Statistics: Death Registrations, England and Wales",2022-11-03,2022,ok,Data Infrastructure & Methodology,Methodological / Infrastructure Research,,Assigned Data Infrastructure & Methodology because the title is the creation or use of an IFoA mortality-by-cause dataset from death registrations; Methodological / Infrastructure Research because the central output is a dataset rather than a substantive exposure-outcome analysis; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2021/185,2021/185,Did low-skilled men crowd low-skilled women out of the UK labour market?,"Office for National Statistics: Quarterly Labour Force Survey, New Earnings Survey Panel Dataset, Annual Survey of Hours and Earnings, Census",2022-07-01,2022,ok,Labour Market & Employment,Outcome Tracking,Demographic disparities / equity tag,"Assigned Labour Market & Employment because the title asks whether low-skilled men displaced low-skilled women in the UK labour market using labour force, earnings and census data; Outcome Tracking because it tests whether the presence of low-skilled men affected women’s labour-market outcomes; Demographic disparities / equity tag because the research question centrally compares men and women.",,
2021/186,2021/186,Understanding sub-national graduates mobility in the years after graduation.,"DfE, DWP and HMRC: LEO via SRS Iteration 1 Standard Extract
Office for National Statistics: Business Register and Employment Survey, Annual Population Survey",2022-01-18,2022,ok,Education & Skills; Migration & Demographics,Life-Course / Trajectory Analysis,,Assigned Education & Skills and Migration & Demographics because the title studies graduates’ sub-national mobility in the years after graduation using LEO and population/employment datasets; Life-Course / Trajectory Analysis because it follows graduates’ mobility after an education transition over time; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2022/001,2022/001,Understanding the Impact of Union Membership on Earnings,Office for National Statistics: Quarterly Labour Force Survey,2022-06-01,2022,ok,Labour Market & Employment,Outcome Tracking,,Assigned Labour Market & Employment because the title studies union membership and earnings using the Quarterly Labour Force Survey; Outcome Tracking because it links union membership to the downstream outcome of earnings; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2022/002,2022/002,"Environmental quality, residential mobility and human capital in the United Kingdom",Office for National Statistics: Business Structure Database,2022-02-28,2022,ok,Environment & Agriculture; Housing & Planning; Education & Skills,Outcome Tracking,,"Assigned Environment & Agriculture, Housing & Planning and Education & Skills because the title links environmental quality, residential mobility and human capital in the United Kingdom; Outcome Tracking because it examines relationships between environmental quality, mobility and human-capital outcomes rather than a named intervention; no tag because no demographic-equity or COVID-19 lens is indicated.",,
2022/003,2022/003,Tax Occupancy of Business Properties: Theory and Evidence from UK Business Rates,"Office for National Statistics: Annual Business Survey, Annual Purchases Survey",2022-06-01,2022,ok,Business & Productivity; Public Finance & Taxation,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity and Public Finance & Taxation because the title focuses on business properties and UK Business Rates using business survey data; Policy Evaluation / Impact Analysis because the analysis is framed around the consequences of the UK business-rates tax regime; no tag because neither COVID-19 nor a demographic/equality comparison is central.,,
2022/004,2022/004,"Search, skills, and satisfaction: employment and well-being of refugees in the UK","Office for National Statistics: Quarterly Labour Force Survey, Annual Population Survey",2022-02-18,2022,ok,Labour Market & Employment; Health & Social Care,Descriptive Monitoring,Demographic disparities / equity tag,"Assigned Labour Market & Employment and Health & Social Care because the title studies employment and well-being of refugees using labour-force and population surveys; Descriptive Monitoring because it profiles employment, skills, satisfaction and well-being rather than naming an intervention or prediction design; Demographic disparities / equity tag because refugees are a migrant/refugee-status group central to the research question.",,
2022/005,2022/005,Occupational differences in COVID-19 outcomes,"Office for National Statistics / University of Oxford: Covid-19 Infection Survey, Covid-19 Infection Survey linked with Combined Vaccination Dataset",2022-01-14,2022,ok,Labour Market & Employment; Health & Social Care,Descriptive Monitoring,COVID-19 & Pandemic,Assigned Labour Market & Employment and Health & Social Care because the title compares COVID-19 outcomes by occupation using the COVID-19 Infection Survey and vaccination-linked data; Descriptive Monitoring because it examines occupational differences in outcomes; COVID-19 & Pandemic because COVID-19 outcomes are the central focus.,,
2022/006,2022/006,Small-area level associations between access to greenspace and Coronavirus infections: a national retrospective study,"Office for National Statistics: Annual Population Survey
Office for National Statistics / University of Oxford: COVID-19 Infection Survey",2022-01-13,2022,ok,Environment & Agriculture; Health & Social Care,Outcome Tracking,COVID-19 & Pandemic,Assigned Environment & Agriculture and Health & Social Care because the title links access to greenspace with Coronavirus infections using COVID-19 Infection Survey data; Outcome Tracking because it studies associations between a naturally occurring environmental exposure and infection outcomes; COVID-19 & Pandemic because Coronavirus infections are central.,,
2022/007,2022/007,Exploring Fertility Differentials in the 2011 Census,"Office for National Statistics: Secure Census 2011 England & Wales, Household Sample
Northern Ireland Statistics and Research Agency: Census 2011 NI, Household Sample
Scottish Government: Secure Census 2011 Scotland, Household Sample",2022-08-02,2022,ok,Migration & Demographics,Descriptive Monitoring,,Assigned Migration & Demographics because the title focuses on fertility differentials using 2011 Census household samples across UK nations; Descriptive Monitoring because it explores distributions or differences in fertility rather than evaluating an intervention; no tag because the register entry does not specify a central equality-relevant comparison group.,,
2022/008,2022/008,Exploring the socioeconomic inequalities in the bidirectional relationship between occupation and COVID19,Office for National Statistics / University of Oxford: Covid-19 Infection Survey,2022-01-25,2022,ok,Labour Market & Employment; Health & Social Care,Outcome Tracking,COVID-19 & Pandemic,"Assigned Labour Market & Employment and Health & Social Care because the title studies the bidirectional relationship between occupation and COVID-19 using the COVID-19 Infection Survey; Outcome Tracking because it links occupation and COVID-19 as naturally occurring conditions and outcomes; COVID-19 & Pandemic because COVID-19 is central, while socioeconomic inequality alone does not trigger the demographic disparities tag.",,
2022/009,2022/009,"Families, households and health: projections and implications",Office for National Statistics: Longitudinal Study of England and Wales,2022-02-24,2022,ok,Health & Social Care; Migration & Demographics,Descriptive Monitoring,,"Assigned Health & Social Care and Migration & Demographics because the title concerns families, households and health projections using the ONS Longitudinal Study; Descriptive Monitoring because projections characterise expected patterns and implications; no tag because no COVID-19 or demographic/equality disparity lens is specified.",,
2022/010,2022/010,Can savings on food expenditure boost other types of consumption and increase wellbeing?,Office for National Statistics: Living Costs and Food Survey,2022-01-26,2022,ok,"Poverty, Wealth & Living Standards",Outcome Tracking,,"Assigned Poverty, Wealth & Living Standards because the title focuses on food expenditure, other consumption and well-being using the Living Costs and Food Survey; Outcome Tracking because it asks whether savings on food expenditure lead to other consumption and well-being outcomes; no tag because no COVID-19 or demographic/equality comparison is central.",,
2022/012,2022/012,Dissecting spatial disparities in wages,"Office for National Statistics: Annual Survey of Hours and Earnings, Business Structure Database",2022-09-02,2022,ok,Labour Market & Employment,Descriptive Monitoring,,Assigned Labour Market & Employment because the title focuses on spatial disparities in wages using earnings and business-structure data; Descriptive Monitoring because it characterises wage disparities across places; no tag because spatial disparity is not a demographic/equality tag and COVID-19 is absent.,,
2022/013,2022/013,Trends in Cardiovascular diseases subtypes in England and Wales from 2001 to 2019,"Office for National Statistics: Death Registrations, England and Wales",2022-08-02,2022,ok,Health & Social Care,Descriptive Monitoring,,Assigned Health & Social Care because the title studies cardiovascular disease subtypes using death registrations; Descriptive Monitoring because it examines trends from 2001 to 2019; no tag because neither COVID-19 nor a demographic/equality comparison is central.,,
2022/015,2022/015,WorldSkills UK Skills Competitions alumni tracking,"DfE, DWP and HMRC: LEO via SRS Iteration 1 Standard Extract",2022-09-02,2022,ok,Education & Skills,Life-Course / Trajectory Analysis,,Assigned Education & Skills because the title focuses on WorldSkills UK Skills Competitions alumni and uses LEO education-to-work linked records; Life-Course / Trajectory Analysis because “alumni tracking” implies following competition participants after their skills pathway; no tag because no demographic equity or COVID-19 lens is evident.,,
2022/016,2022/016,Bank branch network dynamics and the real impact,"Office for National Statistics: Longitudinal Small Business Survey, Business Enterprise Research and Development England, Wales and Scotland
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",2022-01-02,2022,ok,Business & Productivity,Outcome Tracking,,"Assigned Business & Productivity because the title concerns bank branch network impacts and the datasets are business, R&D and innovation surveys; Outcome Tracking because it links bank branch network dynamics to real impacts on businesses rather than evaluating a named intervention; no tag because no demographic equity or COVID-19 lens is evident.",,
2022/017,2022/017,The link between characteristics of school pupils and labour market outcomes,"DfE, DWP and HMRC: LEO via SRS Iteration 1 Standard Extract",2022-02-18,2022,ok,Education & Skills; Labour Market & Employment,Outcome Tracking,,"Assigned Education & Skills and Labour Market & Employment because the title links school pupil characteristics to labour market outcomes using LEO education, DWP and HMRC records; Outcome Tracking because it studies the relationship between pupil characteristics and downstream employment outcomes; no tag because the entry does not specify a central demographic equality comparison.",,
2022/018,2022/018,Knocking it down and Mixing it up: Spillover effects of Public Housing Regenerations,Office for National Statistics: Business Structure Database,2022-01-02,2022,ok,Housing & Planning; Business & Productivity,Policy Evaluation / Impact Analysis,,Assigned Housing & Planning and Business & Productivity because the title studies public housing regenerations and spillover effects using the Business Structure Database; Policy Evaluation / Impact Analysis because public housing regeneration is a deliberate intervention whose spillover effects are being estimated; no tag because no demographic equity or COVID-19 lens is evident.,,
2022/019,2022/019,Education Outcomes Linkage 2018/19,"Northern Ireland Statistics and Research Agency: Northern Ireland School Census, Northern Ireland School Leavers Survey, Northern Ireland Exams Database",2022-02-18,2022,ok,Education & Skills; Data Infrastructure & Methodology,Methodological / Infrastructure Research,,"Assigned Education & Skills and Data Infrastructure & Methodology because the title is Education Outcomes Linkage and the datasets are school census, leavers and exams records; Methodological / Infrastructure Research because the visible purpose is linking education outcomes data for 2018/19; no tag because no demographic equity or COVID-19 lens is evident.",,
