Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date,Record ID,Year,Quarter,Quarter Label,substantive_domains,analytical_purpose,cross_cutting_tags,rationale,primary_domain
2020/061,IFS Deaton Review: Geographic Inequalities and spatial mobility,"Xiaowei Xu,
Institute for Fiscal Studies
Henry Overman,
London School of
Economics
Peter Levell, Institute for Fiscal Studies",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Annual Survey of Hours and Earnings, Census 1961, Census 1971, Census data 1981, Labour Force Survey , Labour Force Survey , New Earnings Survey, Census 2011
Institute for Social and Economic Research:
Understanding Society
Office for National Statistics: Census 2011",Office for National Statistics Secure Research Service,2020-02-07,2020/061,2020,2020Q1,Q1 2020,Labour Market & Employment; Migration & Demographics,Descriptive Monitoring,,"Assigned Labour Market & Employment because earnings and employment surveys (ASHE, NES, LFS) underpin the geographic inequalities analysis, and Migration & Demographics because spatial mobility and census population data are central; Descriptive Monitoring because the Deaton Review maps patterns and trends of geographic inequality across decades rather than testing a policy; no tag because geographic inequality is not a demographic or equality-relevant group comparison.",Labour Market & Employment
2020/062,"Local Institutions, Productivity, Sustainability and Inclusivity Trade-offs","Anastasios Kitsos, University of Birmingham
Diana Gutiarrez-Posada, University of Birmingham
Charlotte Hoole, University of Birmingham
Simon Collinson, University of Birmingham",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, Annual Population Survey, Annual Survey of Hours and Earnings & Business Register and Employment Survey",UK Data Service,2020-09-07,2020/062 ,2020,2020Q3,Q3 2020,Business & Productivity; Labour Market & Employment,Outcome Tracking,,"Assigned Business & Productivity and Labour Market & Employment because the project examines productivity and inclusivity outcomes using the Business Structure Database alongside APS, ASHE and BRES employment/earnings data; Outcome Tracking because it links local institutions (a naturally occurring exposure) to productivity, sustainability and inclusivity outcomes; no tag because no pandemic or demographic-equity lens is central.",Business & Productivity
2020/063,Identifying flare ups of the COVID-19 infection across the UK,"Andrew Engeli,
Joint Biosecurity Centre
David Braunholtz,
Office for National Statistics
Isabel Bennett,
Department of Health
Matthew Katz,
Department of Health
Kaveh Jahanshahi,
Office for National Statistics
Thomas O'Connor,
Office for National Statistics
Athanasios Anthopoulos,
Office for National Statistics
Fergus Cumming,
Bank of England
Russell Black,
Office for National Statistics
Josephine Park,
Department of Health
Alberta Ipser,
Office for National Statistics
Samuel Akinwumi,
Department of Health
Haroon Taylor,
Department of Health
William Ferguson,
Department of Health
Stanley Ng,
Department of Health
Brieuc Lehmann, University of Oxford
Harry Dunsford, PA Consulting
Jonathon Mellor, UK Health Security Agency
Haider Tari, UK Health Security Agency
Alex Glaser, Department of Health and Social Care
Paul Birrell, Public Health England",Digital Economy Act (2017),"Office for National Statistics: COVID-19 Weekly Opinions Survey, Labour Force Survey, ONS Death Registrations Data, 2020 Wave 1 Labour Force Survey
UCAS: Universities and Colleges Admissions Service Data
Office for National Statistics / University of Oxford: COVID-19 Infection Survey",Office for National Statistics Secure Research Service,2020-08-07,2020/063,2020,2020Q3,Q3 2020,Health & Social Care,Risk Prediction / Early Identification,COVID-19 & Pandemic,"Assigned Health & Social Care because COVID-19 infection and death registrations are the substantive outcomes, using the COVID-19 Infection Survey and death registrations; Risk Prediction / Early Identification because the aim is to identify flare-ups of infection across places as they emerge, a prospective targeting design; COVID-19 & Pandemic tag because the pandemic is explicitly the object of study.",Health & Social Care
2020/064,Analysis of cash flow impacts on UK companies,"Sarah Venables, Bank of England
Danny Walker,
Bank of England",Digital Economy Act (2017),Office for National Statistics: Annual Business Survey,Office for National Statistics Secure Research Service,2020-09-07,2020/064,2020,2020Q3,Q3 2020,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the project analyses cash flow among UK companies using the Annual Business Survey; Descriptive Monitoring because the visible operation is characterising cash-flow impacts and patterns across firms without a named policy or explicit exposure-outcome design; no tag because no pandemic or demographic framing appears in the register entry.,Business & Productivity
2020/065,Economic Appraisal of Full Fibre Installation at Public Sites,"Matthew Daley, Greater London Authority
Alan Lewis, Greater London Authority
Malgorzata Lachowska, Greater London Authority",Digital Economy Act (2017),Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2020-08-14,2020/065,2020,2020Q3,Q3 2020,Business & Productivity,Policy Evaluation / Impact Analysis,,"Assigned Business & Productivity because the project appraises the economic effects of full fibre broadband installation using the Business Structure Database, with firm-level economic activity as the object; Policy Evaluation / Impact Analysis because it is an economic appraisal of a specific public investment programme; no tag because no demographic or pandemic lens is evident.",Business & Productivity
2020/066,Evaluation of the Competition and Markets Authority's Covid-19 taskforce,"Richard Havell,
Competition and Markets Authority",Digital Economy Act (2017),Office for National Statistics: Business Impact of COVID-19 Survey & Coronavirus and the social impacts on Great Britain,Office for National Statistics Secure Research Service,2020-08-26,2020/066,2020,2020Q3,Q3 2020,Business & Productivity,Policy Evaluation / Impact Analysis,COVID-19 & Pandemic,"Assigned Business & Productivity because the object is the Competition and Markets Authority's regulatory action on markets and businesses, using the Business Impact of COVID-19 Survey; Policy Evaluation / Impact Analysis because the title explicitly evaluates a named taskforce; COVID-19 & Pandemic tag because the taskforce and datasets are explicitly pandemic-focused.",Business & Productivity
2020/067,"Inequalities in the 21st Century: Transfers, tax and tax credits","Tom Waters,
Institute for Fiscal Studies
Thomas Wernham, Institute for Fiscal Studies",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey Person, Annual Population Survey Household, Occupational differences in mortality from COVID-19, Annual Survey of Hours and Earnings, Labour Force Survey Household, Labour Force Survey Person, Business Structure Database & Labour Force Survey Longitudinal",Office for National Statistics Secure Research Service,2020-08-26,2020/067,2020,2020Q3,Q3 2020,"Public Finance & Taxation; Poverty, Wealth & Living Standards",Descriptive Monitoring,COVID-19 & Pandemic,"Assigned Public Finance & Taxation and Poverty, Wealth & Living Standards because the title centres on inequalities in transfers, tax and tax credits, i.e. fiscal instruments and household resource distribution; Descriptive Monitoring because the visible operation is characterising 21st-century inequality patterns rather than evaluating a named reform; COVID-19 & Pandemic tag because the dataset field includes occupational differences in mortality from COVID-19, indicating a pandemic-inequality lens.",Public Finance & Taxation
2020/068,Analysis of the clustering of UK digital sectors,"Thomas Baily, Frontier Economics
Federico Cilauro, Frontier Economics
George Windsor, Tech City UK",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Population Survey Person & Business Structure Database",Office for National Statistics Secure Research Service,2020-07-09,2020/068,2020,2020Q3,Q3 2020,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the project analyses the industrial clustering of UK digital sectors using business surveys and the Business Structure Database; Descriptive Monitoring because the analytical operation is mapping and characterising sector clustering patterns; no tag because no demographic or pandemic lens is central.,Business & Productivity
2020/069,The Resilience of British Cities,"Richard Harris,
University of Durham",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey 1973 onwards), Annual Foreign Direct Investment Survey, Business Enterprise Research and Development, Business Structure Database, Labour Force Survey Person
Department for Business, Energy and Industrial Strategy: Community Innovation Survey
Department for Education: National Employers Skill Survey",UK Data Service,2020-08-26,2020/069,2020,2020Q3,Q3 2020,Business & Productivity; Labour Market & Employment,Descriptive Monitoring,,"Assigned Business & Productivity and Labour Market & Employment because city resilience is studied through firm-level datasets (ABS, FDI, R&D, innovation surveys) alongside labour force and employer skills data; Descriptive Monitoring because the operation is characterising the resilience of British cities across places and time rather than testing a named intervention; no tag because no demographic or pandemic lens is evident.",Business & Productivity
2020/070,Impact of migration on Scotland versus the UK,"Marco Umberto Alfano, University of Strathclyde",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey,Office for National Statistics Secure Research Service,2020-08-26,2020/070,2020,2020Q3,Q3 2020,Migration & Demographics; Labour Market & Employment,Outcome Tracking,,"Assigned Migration & Demographics because migration and its differential impact on Scotland versus the UK is the substantive object, and Labour Market & Employment because the Annual Population Survey indicates labour-market outcomes; Outcome Tracking because migration is a naturally occurring exposure linked to downstream economic outcomes; no tag because migrant status is the exposure rather than an equity comparison lens.",Migration & Demographics
2020/071,"Modelling the effects of pandemic control measures and financial support on businesses, regions and households","Lars Nesheim,
University College London,
Peter Levell, Institute for Fiscal Studies",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Business Impact of COVID-19 Survey, Business Structure Database, Monthly Business Survey & Quarterly Survey of Financial Assets and Liabilities",Office for National Statistics Secure Research Service,2020-08-26,2020/071,2020,2020Q3,Q3 2020,"Business & Productivity; Poverty, Wealth & Living Standards",Policy Evaluation / Impact Analysis,COVID-19 & Pandemic,"Assigned Business & Productivity and Poverty, Wealth & Living Standards because the project models effects on businesses, regions and households using business surveys and financial assets/liabilities data; Policy Evaluation / Impact Analysis because pandemic control measures and financial support schemes are deliberate policy actions whose effects are modelled; COVID-19 & Pandemic tag because the pandemic and its policy response are the central condition of the study.",Business & Productivity
2020/072,Mid Term Evaluation of the Wales Business Fund,"Prabhat Vaze, Belmana
Lorenzo	Marzano, Belmana",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, Annual Survey of Hours and Earnings
Department for Business, Energy and Industrial Strategy: Community Innovation Survey
Department for Business, Energy and Industrial Strategy: Longitudinal Small Business Survey",Office for National Statistics Secure Research Service,2020-08-26,2020/072,2020,2020Q3,Q3 2020,Business & Productivity,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity because the Wales Business Fund targets firm performance and the datasets are firm-level business surveys; Policy Evaluation / Impact Analysis because the title explicitly describes a mid-term evaluation of a named business-support scheme; no tag because no demographic or pandemic lens is evident.,Business & Productivity
2020/073,Wellbeing in different occupations,"Maria Cotofan,
London School of Economics and Political Science",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey & Labour Force Survey Person
Institute for Social and Economic Research: Understanding Society",Office for National Statistics Secure Research Service,2020-10-22,2020/073,2020,2020Q4,Q4 2020,Labour Market & Employment; Health & Social Care,Descriptive Monitoring,,"Assigned Labour Market & Employment and Health & Social Care because the project compares wellbeing across occupations, making occupational structure and wellbeing jointly central; Descriptive Monitoring because the operation is characterising how wellbeing levels vary across occupational groups rather than testing a policy or single exposure-outcome design; no tag because occupation is not a demographic or equality-relevant characteristic and no pandemic framing appears.",Labour Market & Employment
2020/074,Health of Older People in Places : an asset for economic and social improvement for all,"Emily Murray,
University College London
Jenny Head, University College London
Cathy Qi,
Swansea University
Paul Norman, University of Leeds
Nicola Shelton, University College London",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study of England and Wales,Office for National Statistics Secure Research Service,2020-07-09,2020/074,2020,2020Q3,Q3 2020,Health & Social Care,Descriptive Monitoring,,Assigned Health & Social Care because the substantive focus is the health of older people across places using the ONS Longitudinal Study; Descriptive Monitoring because the visible operation is characterising how older people's health varies across places rather than testing a specific exposure or evaluating a named policy; no tag because age defines the study population rather than a central group comparison and no pandemic framing appears.,Health & Social Care
2020/075,Extending the use of the former measures of social class beyond 2021,"David Pevalin,
University of Essex",Digital Economy Act (2017),Office for National Statistics: Labour Force Survey Household,Office for National Statistics Secure Research Service,2020-07-09,2020/075,2020,2020Q3,Q3 2020,Data Infrastructure & Methodology,Methodological / Infrastructure Research,,Assigned Data Infrastructure & Methodology because the substantive object is the social class classification measure itself and its extension beyond 2021; Methodological / Infrastructure Research because the analytical operation is developing and extending a measurement classification using Labour Force Survey data; no tag because no demographic comparison or pandemic lens is central.,Data Infrastructure & Methodology
2020/076,The impact of early age voting on study choices,"Nikolaj Broberg,
European University Institute",Digital Economy Act (2017),UCAS: Universities and Colleges Admissions Service data,Office for National Statistics Secure Research Service,2020-10-22,2020/076,2020,2020Q4,Q4 2020,Education & Skills,Policy Evaluation / Impact Analysis,,Assigned Education & Skills because the outcome is study choices measured through UCAS admissions data; Policy Evaluation / Impact Analysis because early age voting is a deliberate franchise policy change whose impact on educational choices is estimated; no tag because no demographic-equity or pandemic lens is evident.,Education & Skills
2020/077,Understanding the social determinants of place of death in older adults,"Joanna Davies,
King's College London
Katherine Sleeman, King's College London
Matthew Maddocks, King's College London",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study of England and Wales,Office for National Statistics Secure Research Service,2020-07-09,2020/077,2020,2020Q3,Q3 2020,Health & Social Care,Outcome Tracking,,Assigned Health & Social Care because place of death in older adults is an end-of-life health/care outcome studied with the ONS Longitudinal Study; Outcome Tracking because the design links naturally occurring social determinants to the downstream outcome of place of death; no tag because socioeconomic determinants alone do not constitute a demographic-equity comparison and no pandemic lens is present.,Health & Social Care
2020/078,Addressing Health: Health and mortality of postal workers in England and Wales,"Nicola Shelton,
University College London
Harry Smith,
University of Kingston",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study of England and Wales,Office for National Statistics Secure Research Service,2020-10-09,2020/078,2020,2020Q4,Q4 2020,Health & Social Care,Outcome Tracking,,"Assigned Health & Social Care because the study examines health and mortality outcomes as its research object, using the ONS Longitudinal Study; Outcome Tracking because it links a naturally occurring occupational status (postal work) to downstream health and mortality outcomes; no tag because no demographic-equity comparison or pandemic lens is central.",Health & Social Care
2020/079,Quantitative impact of evaluation of transport schemes on productivity and employment,"Csaba Pogonyi, Arup
Joanna Jedrasiak, Arup
Laila Aitbihiouali,
Imperial College London
Mira Torres,
Arup
Theodoros Chatziioannou,
Arup",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings, Annual Respondents Database X, Business Structure Database, Annual Respondents Database, Annual Business Survey & Business Register and Employment Survey",Office for National Statistics Secure Research Service,2020-07-09,2020/079,2020,2020Q3,Q3 2020,Business & Productivity; Labour Market & Employment,Policy Evaluation / Impact Analysis,,"Assigned Business & Productivity and Labour Market & Employment because the project studies productivity and employment outcomes using firm-level datasets (Business Structure Database, ABS) and earnings data (ASHE, BRES); Policy Evaluation / Impact Analysis because the title explicitly evaluates the impact of transport schemes; no tag because no demographic or pandemic lens is present.",Business & Productivity
2020/080,Economic Cycles and Labour Market Outcomes of Migrants and Natives,"Nico Ochmann,
The University of Manchester",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey Person, Labour Force Survey Longitudinal",Office for National Statistics Secure Research Service,2020-07-09,2020/080,2020,2020Q3,Q3 2020,Labour Market & Employment,Outcome Tracking,Demographic disparities / equity tag,"Assigned Labour Market & Employment because the study centres on labour market outcomes using Labour Force Survey data, with migrant status as a comparison group rather than the demographic process itself; Outcome Tracking because it links a naturally occurring exposure (economic cycles) to labour market outcomes; Demographic disparities tag because the migrant-native comparison is central to the research question.",Labour Market & Employment
2020/081,Occupational differences in mortality from Covid-19,"Neil Pearce,
London School of Hygiene and Tropical Medicine
Melissa Matz,
London School of Hygiene and Tropical Medicine
Sarah Rhodes,
The University of Manchester
Katie Stocking,
The University of Manchester
Steven Robertson,
London School of Hygiene and Tropical Medicine",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey, Death registration data Provisional Monthly Extracts & Death Registrations England and Wales",Office for National Statistics Secure Research Service,2020-07-09,2020/081,2020,2020Q3,Q3 2020,Health & Social Care; Labour Market & Employment,Outcome Tracking,COVID-19 & Pandemic,"Assigned Health & Social Care and Labour Market & Employment because COVID-19 mortality (death registrations) is analysed as a health outcome differentiated by occupation, making occupational structure substantively central; Outcome Tracking because occupation is a naturally occurring exposure linked to a mortality outcome; COVID-19 tag because pandemic mortality is the explicit outcome.",Health & Social Care
2020/082,The Effects of Covid-19 on Wellbeing: Changes over time and by Demographic and Socioeconomic Characteristics,"Sarah Bridges,
University of Nottingham
Simona Mateut,
University of Nottingham",Digital Economy Act (2017),Office for National Statistics: Coronavirus and the social impacts on Great Britain,Office for National Statistics Secure Research Service,2020-09-23,2020/082,2020,2020Q3,Q3 2020,Health & Social Care,Descriptive Monitoring; Outcome Tracking,COVID-19 & Pandemic; Demographic disparities / equity tag,"Assigned Health & Social Care because wellbeing is the substantive outcome studied via the Coronavirus social impacts survey; Descriptive Monitoring and Outcome Tracking because the project charts wellbeing changes over time and across groups while linking pandemic conditions to wellbeing; COVID-19 tag because pandemic effects are the explicit condition, and demographic disparities tag because comparison by demographic characteristics is central to the title.",Health & Social Care
2020/083,Religion and Labour Market Outcomes in England and Wales: 1991-2011,"Neil Rowland,
Queen's University Belfast
Duncan McVicar, Queen's University Belfast
Ian Shuttleworth, Queen's University Belfast",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study of England and Wales,Office for National Statistics Secure Research Service,2020-07-09,2020/083,2020,2020Q3,Q3 2020,Labour Market & Employment,Outcome Tracking,Demographic disparities / equity tag,"Assigned Labour Market & Employment because labour market outcomes are the explicit object of study across 1991-2011; Outcome Tracking because religion, a naturally occurring characteristic, is linked to labour-market outcomes; demographic disparities tag because comparison across religious groups is central to the research question.",Labour Market & Employment
2020/084,ExcessCovidEW: Excess mortality during and after the COVID-19 pandemic in England and Wales,"Francesco Sera,
University of London-University College
Antonio Gasparrini,
London School of Hygiene
and Tropical Medicine
Rochelle Schneider dos
Santos,
London School of Hygiene
and Tropical Medicine
Matteo Scortichini,
London School of Hygiene
and Tropical Medicine
Pierre Masselot,
London School of Hygiene
and Tropical Medicine",Digital Economy Act (2017),"Office for National Statistics: Death registration data Provisional Monthly Extracts & Death Registrations, England and Wales",Office for National Statistics Secure Research Service,2020-09-15,2020/084,2020,2020Q3,Q3 2020,Health & Social Care,Descriptive Monitoring,COVID-19 & Pandemic,Assigned Health & Social Care because excess mortality is analysed as a health outcome using death registration data; Descriptive Monitoring because the project measures levels and trends of excess deaths during and after the pandemic; COVID-19 tag because the pandemic is the explicit framing condition.,Health & Social Care
2020/086,Labour supply shock and Firm outcomes: Evidence from UK's Immigration policy,"Haiqa Ali, Queen Mary University of London",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings, Annual Business Survey, Annual Respondents Database, Business Enterprise Research and Development, Business Register Employment Survey, Quarterly Capital Expenditure Survey, Vacancy Survey, Monthly Wage and Salary Survey , Labour Force Survey Person, Annual Population Survey & Census 2001 Controlled Access Microdata Samples",Office for National Statistics Secure Research Service,2020-08-10,2020/086,2020,2020Q3,Q3 2020,Labour Market & Employment; Business & Productivity,Policy Evaluation / Impact Analysis,,"Assigned Labour Market & Employment and Business & Productivity because the study examines labour supply shocks and firm outcomes using earnings, business survey, and vacancy data; Policy Evaluation / Impact Analysis because the exposure is the UK's immigration policy, a deliberate policy change; no tag because no demographic-equity comparison or pandemic lens is central.",Labour Market & Employment
2020/087,COVID-19 & Social Inequalities,"Silvia Gaia, University of Essex",Digital Economy Act (2017),"Office for National Statistics: Census 2011 England and Wales Household structure for COVID-19 models, Coronavirus and the social impacts on Great Britain, Death registration data - Provisional Monthly Extracts & Death Registrations England and Wales",Office for National Statistics Secure Research Service,2020-12-10,2020/087,2020,2020Q4,Q4 2020,Health & Social Care,Outcome Tracking,COVID-19 & Pandemic; Demographic disparities / equity tag,"Assigned Health & Social Care because the datasets centre on death registrations and social impacts of coronavirus, treating COVID-19 mortality and impacts as health outcomes; Outcome Tracking because the design links social characteristics and household structure to COVID-19 outcomes; COVID-19 tag because the pandemic is the explicit condition, and Demographic disparities tag because inequalities across social groups are the central lens of the research question.",Health & Social Care
2020/089,Welfare and spending impact of COVID-19,"Lars Nesheim,
University College London
Alexander Davenport, Institute for Fiscal Studies
Peter Levell, Institute for Fiscal Studies",Digital Economy Act (2017),Office for National Statistics: Living Costs and Food Survey,Office for National Statistics Secure Research Service,2020-10-22,2020/089,2020,2020Q4,Q4 2020,"Poverty, Wealth & Living Standards",Outcome Tracking,COVID-19 & Pandemic,"Assigned Poverty, Wealth & Living Standards because household welfare and spending, measured via the Living Costs and Food Survey, are the substantive object; Outcome Tracking because the project links a naturally occurring event (COVID-19) to household welfare and spending outcomes; COVID-19 tag because the pandemic's impact is explicitly central to the research question.","Poverty, Wealth & Living Standards"
2020/090,Suicides and Anti-social behaviour,"Jingwen Fan,
Nottingham Trent University",Digital Economy Act (2017),"Office for National Statistics: Death Registrations, England and Wales",Office for National Statistics Secure Research Service,2022-07-01,2020/090,2022,2022Q3,Q3 2022,Health & Social Care; Crime & Justice,Outcome Tracking,,Assigned Health & Social Care and Crime & Justice because suicide (via death registrations) is a mental-health-related mortality outcome and anti-social behaviour is a crime/public-safety phenomenon central to the title; Outcome Tracking because the design links anti-social behaviour exposure to suicide outcomes; no tag because neither pandemic nor demographic comparison is indicated.,Health & Social Care
2020/092,Understanding Recent Fertility in the UK and Improving Methodologies for Fertility Forecasting,"Hill Kulu,
St Andrews University
Ann Berrington,
St Andrews University
Bernice Kuang,
St Andrews University
Sarah Christison,
University of St Andrews",Digital Economy Act (2017),Office for National Statistics: ONS Longitudinal Study of England and Wales,Office for National Statistics Secure Research Service,2020-10-22,2020/092,2020,2020Q4,Q4 2020,Migration & Demographics; Data Infrastructure & Methodology,Descriptive Monitoring; Methodological / Infrastructure Research,,"Assigned Migration & Demographics because fertility patterns in the UK are the substantive object, and Data Infrastructure & Methodology because improving fertility forecasting methodologies is itself an object of the project; Descriptive Monitoring because recent fertility is characterised, and Methodological / Infrastructure Research because forecasting methods are being developed and improved; no tag because no equity comparison or pandemic condition is central.",Migration & Demographics
2020/093,Local wellbeing impacts of the Grosvenor Square Gardens Project,"Daniel Robert Dass, Simetrica
Christopher Warner, Simetrica
Dora Radosevic, Simetrica
Kieran Keohane, Simetrica
Eleni Mataragka,
Simetrica",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey , Annual Population Survey , Crime Survey for England and Wales, Labour Force Survey , Labour Force Survey , Longitudinal Small Business Survey
Department for Education: National Employers Skill Survey
Institute for Social and Economic Research: Understanding Society",Office for National Statistics Secure Research Service,2021-07-01,2020/093,2021,2021Q3,Q3 2021,Housing & Planning; Health & Social Care,Policy Evaluation / Impact Analysis,,"Assigned Housing & Planning and Health & Social Care because the project studies a place-based neighbourhood project (Grosvenor Square Gardens) and its effects on local wellbeing, using surveys covering wellbeing, crime, and local conditions; Policy Evaluation / Impact Analysis because it evaluates the impacts of a specific named intervention; no tag because no demographic or pandemic lens is central.",Housing & Planning
2020/094,Exploring house sharing amongst people aged 30 and over in 2001 and 2011,"Marie Houghton,
University of London - Birkbeck College",Digital Economy Act (2017),Office for National Statistics: Secure Census 2011 England and Wales: Household Sample & Census 2001 Controlled Access Microdata Samples,Office for National Statistics Secure Research Service,2020-10-22,2020/094,2020,2020Q4,Q4 2020,Housing & Planning,Descriptive Monitoring,,"Assigned Housing & Planning because house sharing arrangements are the substantive object, studied through census household data; Descriptive Monitoring because the project measures the prevalence and characteristics of house sharing among people aged 30+ across the 2001 and 2011 censuses; no tag because age defines the study population rather than a central equity comparison.",Housing & Planning
2020/095,The effect of policy uncertainty on firm productivity and trade,"Mustapha Douch,
The university of Aston",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Respondents Database, Annual Respondents Database, Business Enterprise Research and Development, International Trade in Services & Labour Force Survey Longitudinal
Department for Business, Energy and Industrial Strategy: Community Innovation Survey
Office for National Statistics / HMRC / Companies House: Linked Trade-in-Goods/IDBR dataset",Office for National Statistics Secure Research Service,2020-10-22,2020/095,2020,2020Q4,Q4 2020,Business & Productivity,Outcome Tracking,,"Assigned Business & Productivity because firm productivity and trade are the substantive outcomes, using business surveys, R&D and trade-in-goods data; Outcome Tracking because policy uncertainty is a naturally occurring economic condition, not a named policy intervention, linked to firm outcomes; no tag because no demographic-equity comparison or pandemic lens is central.",Business & Productivity
2020/096,Glasgow City Region Economic Modelling,"David Boyle, Glasgow City Council
Adam McGeoch, Glasgow City Council
Kevin Connolly, Glasgow City Council
James Black, Glasgow City Council",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, Annual Business Survey, Business Expenditure on Research and Development & Living Costs and Food Survey",UK Data Service,2020-10-22,2020/096,2020,2020Q4,Q4 2020,Business & Productivity,Methodological / Infrastructure Research,,"Assigned Business & Productivity because the project models a city-region economy using firm-level datasets (Business Structure Database, ABS, R&D expenditure); Methodological / Infrastructure Research because the visible operation is constructing an economic model for the Glasgow City Region rather than testing an exposure-outcome relationship or evaluating a named policy; no tag because no demographic or pandemic lens is present.",Business & Productivity
2020/097,Using a city-region input-output table to model the impact of creative industries,"Matthew Lyons, Cardiff University
Chen Xu, Cardiff University",Digital Economy Act (2017),Office for National Statistics: Annual Business Survey,UK Data Service,2020-10-22,2020/097 CLOSED,2020,2020Q4,Q4 2020,Business & Productivity,Methodological / Infrastructure Research; Descriptive Monitoring,,"Assigned Business & Productivity because the creative industries' economic contribution, measured with the Annual Business Survey, is the substantive object; Methodological / Infrastructure Research because constructing a city-region input-output table is a central analytical operation, and Descriptive Monitoring because the resulting model measures the economic impact and contribution of the creative industries; no tag because no demographic or pandemic lens is indicated.",Business & Productivity
2020/099,Estimation of energy demand drivers and the effect of public policies on consumption under the climate emergency,"Mirabelle Muuls, Imperial College London
Rosa Sanchis-Guarner, Imperial College London
Shefali Khanna,
Imperial College London",Digital Economy Act (2017),"Department for Business, Energy & Industrial Strategy: National Energy Efficiency data
Office for National Statistics: Annual Respondents Database, Annual Respondents Database, Annual Business Survey, Annual Survey of Hours and Earnings, Products of the European Community, Business Structure Database, Longitudinal Business Structure Database, Annual Inquiry into Foreign Direct Investment, Annual Population Survey & Labour Force Survey Household, Living Costs and Food Survey
Institute for Social and Economic Research:
Understanding Society
Department for Business, Energy and Industrial Strategy: Quarterly Fuels Inquiry
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",Office for National Statistics Secure Research Service,2020-10-22,2020/099,2020,2020Q4,Q4 2020,Environment & Agriculture,Outcome Tracking; Policy Evaluation / Impact Analysis,,Assigned Environment & Agriculture because the project studies energy demand and consumption under the climate emergency using National Energy Efficiency data; Outcome Tracking and Policy Evaluation / Impact Analysis because it estimates drivers of energy demand and the effect of public policies on consumption; no tag because no demographic-equity or pandemic lens is central.,Environment & Agriculture
2020/100,Director relationships and UK firm performance,"Saleem Bahaj, Bank of England
Angus Foulis, Bank of England
Jagdish Tripathy, Bank of England
Gabor Pinter, Bank of England",Digital Economy Act (2017),"Office for National Statistics /
Bank of England: Linked Director's mortality Data",Office for National Statistics Secure Research Service,2020-10-22,2020/100,2020,2020Q4,Q4 2020,Business & Productivity,Outcome Tracking,,"Assigned Business & Productivity because firm performance is the substantive outcome studied through director relationships; Outcome Tracking because it links a naturally occurring condition (director relationships, using linked director mortality data) to firm performance; no tag because no demographic-equity or pandemic lens is present.",Business & Productivity
2020/101,"The Impact of Innovation, Intellectual Property and Use of Standards on Business Performance","Cher Li, University of Nottingham
Richard Kneller, University of Nottingham
Anwar Seid Adem, University of Nottingham",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Business Structure Database, E-commerce Survey, International Trade in Services, Management and Expectations Survey
Department for Business, Energy and Industrial Strategy: Community Innovation Survey",UK Data Service,2020-10-22,2020/101,2020,2020Q4,Q4 2020,Business & Productivity,Outcome Tracking,,"Assigned Business & Productivity because the project studies innovation, intellectual property, standards use, and business performance with the Annual Business Survey and Community Innovation Survey; Outcome Tracking because it links firm characteristics (innovation, IP, standards) to downstream business performance rather than evaluating a named policy; no tag because no equity or pandemic lens is central.",Business & Productivity
2020/102,The relationship between labour productivity and wage growth in the UK,"Frantisek Brocek,
University of Strathclyde",Digital Economy Act (2017),Office for National Statistics: New Earnings Survey Panel Dataset & Annual Survey of Hours and Earnings,UK Data Service,2020-06-11,2020/102 CLOSED,2020,2020Q2,Q2 2020,Labour Market & Employment; Business & Productivity,Outcome Tracking,,Assigned Labour Market & Employment and Business & Productivity because the project analyses wage growth alongside labour productivity using earnings panel data; Outcome Tracking because it tests the relationship between productivity and wage growth as an exposure-outcome question; no tag because no demographic-equity or pandemic lens is central.,Labour Market & Employment
