Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date,Record ID,Year,Quarter,Quarter Label,substantive_domains,linkage_mode,analytical_purpose,primary_domain
2020/101,"The Impact of Innovation, Intellectual Property and Use of Standards on Business Performance","Cher Li, University of Nottingham
Richard Kneller, University of Nottingham
Anwar Seid Adem, University of Nottingham
",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey,  Business Structure Database, E-commerce Survey, International Trade in Services, 
Management and Expectations Survey

Department for Business, Energy and Industrial Strategy: Community Innovation Survey ",UK Data Service,2020-10-22,2020/101,2020,2020Q4,Q4 2020,Business & Productivity,Within-Domain Linkage,Outcome Tracking,Business & Productivity
2020/102,The relationship between labour productivity and wage growth in the UK,"Frantisek Brocek, 
University of Strathclyde
",Digital Economy Act (2017) ,Office for National Statistics: New Earnings Survey Panel Dataset  & Annual Survey of Hours and Earnings ,UK Data Service,2020-06-11,2020/102,2020,2020Q2,Q2 2020,Labour Market & Employment; Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Labour Market & Employment
2020/103,Socio-economic and social media determinants of mobility during the COVID-19 lockdown and health related benefits,"Mirabelle Muuls,
Imperial College London",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Annual Survey of Hours and Earnings, Business Impact of COVID19 Survey, Census 2011 E&W Household structure for COVID19 models, Coronavirus and the social impacts on Great Britain, Death registration data Provisional Monthly Extracts  &  Opinions and Lifestyle Survey .",Office for National Statistics Secure Research Service,2020-11-16,2020/103,2020,2020Q4,Q4 2020,COVID-19 & Pandemic; Health & Social Care; Labour Market & Employment,Multi-Domain Linkage,Outcome Tracking,COVID-19 & Pandemic
2020/104,Analysis of the COVID-19 School Infection Survey to support government decision making during the pandemic,"James Hargreaves, 
London School of Hygiene and Tropical Medicine
Elliot McClenaghan,
London School of Hygiene and Tropical Medicine
William Oswald,
London School of Hygiene and Tropical Medicine
Joanna Sturgess,
London School of Hygiene and Tropical Medicine
Elizabeth Allen,
London School of Hygiene and Tropical Medicine
Katherine Halliday,
London School of Hygiene and Tropical Medicine
Kathleen O'Reilly,
London School of Hygiene and Tropical Medicine
Sinead Langan,
London School of Hygiene and Tropical Medicine
Punam Mangtani,
London School of Hygiene and Tropical Medicine
Jody Phelan,
London School of Hygiene and Tropical Medicine
Charlotte Warren-Gash,
London School of Hygiene and Tropical Medicine
Neisha Sundaram,
London School of Hygiene and Tropical Medicine
Christopher Bonell,
London School of Hygiene and Tropical Medicine
Patrick Nguipdop Djomo,
London School of Hygiene and Tropical Medicine
Judith Glynn,
London School of Hygiene and Tropical Medicine
Sarah Cook,
London School of Hygiene and Tropical Medicine
Antonio Felton,
Office for National Statistics
Benjamin Harris,
Office for National Statistics
Alison Judd,
Office for National Statistics
Rebecca Leeson,
Office for National Statistics
Donna Reeve,
Office for National Statistics
Oliver Zobay,
Office for National Statistics
Gareth James,
Office for National Statistics
David Foster,
Office for National Statistics
Russell Black,
Office for National Statistics
Ellie Osborn,
Office for National Statistics
Katherine Davies,
Office for National Statistics
Sarah Proud,
Office for National Statistics
Timothy Russell,
London School of Hygiene and Tropical Medicine
James Munday,
London School of Hygiene and Tropical Medicine
Elizabeth Pereira,
Office for National Statistics
Sarah Collyer,
Office for National Statistics
Tanya Abramsky, London School of Hygiene and Tropical Medicine
Adam Kucharski, London School of Hygiene and Tropical Medicine
Beth Tong,
Office for National Statistics
Claire Grant,
Office for National Statistics
Fergus Boyd-Jones, Office for National Statistics
Loes Charlton,
Office for National Statistics
Liang-Yu Lin,
London School of Hygiene and Tropical Medicine
Benjamin Ford, Office for National Statistics",Digital Economy Act (2017) ,"Office for National Statistics: COVID-19 Schools Infection Survey, Covid-19 Schools Infection Survey linked with National Immunisation Management Service  & Covid 19 School Infection Survey linked to NHS Test & Trace data  ",Office for National Statistics Secure Research Service,2020-03-12,2020/104,2020,2020Q1,Q1 2020,COVID-19 & Pandemic; Education & Skills,Within-Domain Linkage,Descriptive Monitoring,COVID-19 & Pandemic
2020/105,Inequalities in the 21st Century: Health Chapter,"Lucy Kraftman,
Institute for Fiscal Studies
Anne Case,
Institute for Fiscal Studies",Digital Economy Act (2017) ,"Office for National Statistics:  Census 2011 & Census 2011 Origin-Destination
Institute for Social and Economic Research: Understanding Society Waves 1-9, Harmonised BHPS Waves 1-18 ",Office for National Statistics Secure Research Service,2020-11-24,2020/105,2020,2020Q4,Q4 2020,"Health & Social Care; Poverty, Inequality & Living Standards",Cross-Domain Linkage,Inequality / Disparities Analysis,Health & Social Care
2020/106,"Analysis of death registrations not involving coronavirus, England and Wales: January 2020 to November 2020

","Charitini Stavropoulou,
City University
Ioannis Laliotis,
City University
",Digital Economy Act (2017) ,Office for National Statistics: Death registration data -Provisional Monthly Extracts ,Office for National Statistics Secure Research Service,2020-11-24,2020/106,2020,2020Q4,Q4 2020,Health & Social Care; COVID-19 & Pandemic,Single-Dataset,Descriptive Monitoring,Health & Social Care
2020/107,Classifying the older population: understanding the geography of opportunities and challenges in England,"Fran Darlington-Pollock, 
University of London Queen Mary
Yuanxuan Yang,
University of Liverpool
Jordana Viotto Da Cruz, The University of Edinburgh

",Digital Economy Act (2017) ,Office for National Statistics: Secure Census 2011 Origin / Destination  ,Office for National Statistics Secure Research Service,2020-07-12,2020/107,2020,2020Q3,Q3 2020,Migration & Demographics,Single-Dataset,Descriptive Monitoring,Migration & Demographics
2020/108,"Local Labour Market Opportunities and Crime: Evidence from 300 Community Safety Partnerships in England and Wales 

","Amorn Davies,
University of Bath
",Digital Economy Act (2017) ,Office for National Statistics: Annual Survey of Hours and Earnings  & Labour Force Survey  ,Office for National Statistics Secure Research Service,2020-07-12,2020/108,2020,2020Q3,Q3 2020,Crime & Justice; Labour Market & Employment,Within-Domain Linkage,Outcome Tracking,Crime & Justice
2020/109,Understanding the impact of data localisation,"Thomas Baily,
Frontier Economics Ltd
Federico Cilauro,
Frontier Economics Ltd
Giacomo Cattoretti,
Frontier Economics Ltd
",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey, Business Structure Database  & International Trade in Services . 

",Office for National Statistics Secure Research Service,2020-07-12,2020/109,2020,2020Q3,Q3 2020,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2020/111,"Analysis of teacher pay and retention, and the business cycle","Jack Worth,
National Foundation for Educational Research
Jude Hillary,
National Foundation for Educational Research
Jenna Julius,
National Foundation for Educational Research
Dawson McLean,
National Foundation for Educational Research
Henry Faulkner-Ellis,
National Foundation for Educational Research
",Digital Economy Act (2017) ,"Office for National Statistics: 
Annual Survey of Hours and Earnings  & New Earnings Survey 
",Office for National Statistics Secure Research Service,2020-07-12,2020/111,2020,2020Q3,Q3 2020,Education & Skills; Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Education & Skills
2020/112,Financing Choices and Firm Dynamics,"Christopher Hansman,
Imperial College London
Tong Yu,
Imperial College London
David Licher, Imperial College London
",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database ,Office for National Statistics Secure Research Service,2020-07-12,2020/112,2020,2020Q3,Q3 2020,Business & Productivity,Single-Dataset,Descriptive Monitoring,Business & Productivity
2020/113,The Impact of Brexit on the UK Productivity,"Yinyin Cai,
University of London Imperial College
",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey, Annual Foreign Direct Investment Survey  & Labour Force Survey  ",Office for National Statistics Secure Research Service,2020-07-12,2020/113,2020,2020Q3,Q3 2020,Business & Productivity,Cross-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2020/115,"Evaluation of the Scale-Up North East Pilot Programme

","Matthew Stephenson,
RSM UK
",Digital Economy Act (2017) ,Office for National Statistics: Business Structure Database ,Office for National Statistics Secure Research Service,2020-07-12,2020/115,2020,2020Q3,Q3 2020,Business & Productivity,Single-Dataset,Policy Evaluation / Impact Analysis,Business & Productivity
2020/116,"The local impact of BIntegrated Data Service

","Giulia Faggio,
City, University of London

",Digital Economy Act (2017) ,"Office for National Statistics: Business Structure Database, Annual Business Survey, Business Register and Employment Survey, Annual Survey of Hours and Earnings, Monthly Wages and Salaries Survey  & Quarterly Labour Force Survey ",UK Data Service,2020-07-12,2020/116,2020,2020Q3,Q3 2020,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity
2020/117,Participation in and Progression Through Education in Wales: The Role of Family,"Ian Thomas,
Cardiff University
Katy Huxley,
Cardiff University
Rhys Davies,
Cardiff University
Christopher Taylor,
Cardiff University
Luke Sibieta,
Institute for Fiscal Studies
Foteini Tseliou,
Cardiff University
Alexandra Sandu,
Cardiff University
Catherine Foster,
Cardiff University
Katherine Addison, Welsh Government
",Digital Economy Act (2017) ,SAIL Databank Databank: 2011 Census Data Welsh residents,SAIL Databank,2020-12-07,2020/117,2020,2020Q4,Q4 2020,Education & Skills,Single-Dataset,Life-Course / Trajectory Analysis,Education & Skills
2020/118,"Utilising routine data and machine learning techniques to discover new multi-morbidity and polypharmacy phenotype's associated with poorer outcomes, health, resilience and wellbeing in the Welsh population

","Ronan Anthony Lyons,
Swansea University
Ashley Akbari,
Swansea University
Jane Lyons,
Swansea University
Laura North,
Swansea University
Daniel Thompson,
Swansea University
Fatemeh Torabi,
Swansea University
Alan Watkins,
Swansea University
Rhiannon Owen, Swansea University",Digital Economy Act (2017) ,SAIL Databank Databank: 2011 Census Data Welsh residents ,SAIL Databank,2020-07-12,2020/118,2020,2020Q3,Q3 2020,Health & Social Care,Single-Dataset,Risk Prediction / Early Identification,Health & Social Care
2020/121,"ISCF Industrial Decarbonisation Challenge Evaluation

","Christian Stow,
IPSOS MORI
Jan Franke,
IPSOS MORI
Andrew Whitehead,
IPSOS MORI
Olivia Brajterman,
IPSOS MORI
Anna Sperati,
IPSOS MORI",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development, Business Structure Database  & Low Carbon and Renewable Energy Economy Survey ",Office for National Statistics Secure Research Service,2020-07-12,2020/121,2020,2020Q3,Q3 2020,Business & Productivity; Environment & Agriculture,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2020/122,"Regional levels of overwork and underwork across the UK

","Nic Murray,
British Psychological Society
",Digital Economy Act (2017) ,"Office for National Statistics: Labour Force Survey    
Institute for Social and Economic Research: Understanding Society ",Office for National Statistics Secure Research Service,2020-07-12,2020/122,2020,2020Q3,Q3 2020,Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Labour Market & Employment
2020/126,"A Unified Approach to Measuring the Costs of Violent Crime Risk

","Brendon McConnell,
University of Southampton
Arpita Ghosh,
University of Southampton

",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Annual Population Survey: Well-Being, Crime Survey for England and Wales  & Quarterly Labour Force Survey ",UK Data Service,2020-07-12,2020/126,2020,2020Q3,Q3 2020,Crime & Justice,Within-Domain Linkage,Descriptive Monitoring,Crime & Justice
2020/127,"Establishing the impact of COVID-19 on the health of domiciliary care workers in Wales: developing a model for UK service planning and carer support

","Rebecca Cannings-John,
Cardiff University
Ashley Akbari,
Swansea University
Hywel Jones,
Cardiff University
Simon Schoenbuchner,
Cardiff University
",Digital Economy Act (2017) ,SAIL Databank Databank: 2011 Census Data Welsh residents ,SAIL Databank,2020-07-12,2020/127,2020,2020Q3,Q3 2020,Health & Social Care; COVID-19 & Pandemic,Single-Dataset,Outcome Tracking,Health & Social Care
2020/128,"The Role of Area-level deprivation for private and public family law cases concerning children in England and Wales

","Stefanie Doebler,
Lancaster University
Laura Cowley,
Public Health Wales
Mariam Abouelenin,
University of Lancaster
Linda Cusworth,
Lancaster University
Bachar Alrouh,
Lancaster University
Becky Pattinson,
Lancaster University
Ashley Akbari,
Swansea University
Lucy Griffiths,
Swansea University
Rhodri Johnson,
Swansea University
Laura North,
Swansea University
",Digital Economy Act (2017) ,SAIL Databank Databank: 2011 Census Data Welsh residents ,SAIL Databank,2020-07-12,2020/128,2020,2020Q3,Q3 2020,"Crime & Justice; Poverty, Inequality & Living Standards",Single-Dataset,Inequality / Disparities Analysis,Crime & Justice
2020/129,"Born into care: Newborns in care proceedings in Wales

","Lucy Griffiths,
Swansea University
Mariam Abouelenin,
University of Lancaster
Laura Cowley,
Public Health Wales
Alex Lee,
Swansea University
Ashley Akbari,
Swansea University
Bachar Alrouh,
Lancaster University
Linda Cusworth,
Lancaster University
Rhodri Johnson,
Swansea University
Alice Roe,
Nuffield Family Justice Observatory
Becky Pattison, 
University of Lancaster
Stefanie Doebler,
Lancaster University Management School
Ian Farr, 
Swansea University
Carys Jones,
Swansea University
Jordan Rehill,
Nuffield Foundation
Claire Hargreaves,
University of Lancaster
Laura North,
Swansea University
Charlotte Edney, Institue for Employment Studies

",Digital Economy Act (2017) ,SAIL Databank Databank: 2011 Census Data Welsh residents ,SAIL Databank,2020-07-12,2020/129,2020,2020Q3,Q3 2020,Crime & Justice; Health & Social Care,Single-Dataset,Descriptive Monitoring,Crime & Justice
2020/110,Improving understanding of the demand for and supply of skills in the West London labour market,"Peter Hounsome,
Saga City Research
",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Business Impact of COVID19 Survey  
Department for Education: National Employers Skill Survey ",Office for National Statistics Secure Research Service,2020-10-12,2020/110,2020,2020Q4,Q4 2020,Labour Market & Employment; Education & Skills,Cross-Domain Linkage,Descriptive Monitoring,Labour Market & Employment
2020/114,Teacher Labour Market in England,"Jack Worth,
National Foundation for Educational Research
Jude Hillary,
National Foundation for Educational Research
Jenna Julius,
National Foundation for Educational Research
Henry Faulkner-Ellis, 
National Foundation for Educational Research
Dawson McLean,
National Foundation for Educational Research",Digital Economy Act (2017) ,Office for National Statistics: Annual Population Survey   “ APS Persons ,Office for National Statistics Secure Research Service,2020-12-14,2020/114,2020,2020Q4,Q4 2020,Labour Market & Employment; Education & Skills,Single-Dataset,Descriptive Monitoring,Labour Market & Employment
2020/006,"Parental separation and educational inequality: any evidence for 
growing disadvantage or 'diverging destinies' across three recent cohorts?","Lewis Anderson,
University of Oxford
Christiaan Monden,
University of Oxford
Rachel Stuchbury, London School of Economics
",Digital Economy Act (2017) ,Office for National Statistics: Longitudinal Study of England and Wales ,Office for National Statistics Secure Research Service,2020-04-15,2020/006,2020,2020Q2,Q2 2020,"Education & Skills; Poverty, Inequality & Living Standards",Single-Dataset,Inequality / Disparities Analysis,Education & Skills
2020/009,Panel conditioning and rotation group bias effects in business surveys,"Paul Smith,
University of Southampton",Digital Economy Act (2017) ,"Office for National Statistics: Monthly Business Survey  
 & all future releases",Office for National Statistics Secure Research Service,2020-03-16,2020/009,2020,2020Q1,Q1 2020,Data Infrastructure & Methodology,Single-Dataset,Methodological / Infrastructure Research,Data Infrastructure & Methodology
2020/019,"The impact of government expenditure on employment and wages: 
evidence from firm-level data for the UK","Ajibola Lawrence,
BEIS
",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey, Annual Respondents Database, Annual Survey of Hours and Earnings, Business Register and Employment Survey  & Business Structure Database ",Office for National Statistics Secure Research Service,2020-05-20,2020/019,2020,2020Q2,Q2 2020,Public Finance & Taxation; Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Public Finance & Taxation
2020/056,Factors Predicting Adherence Stay at Home Guidance During COVID-19 Pandemic in the United Kingdom,"Stephen Hills,
London Metropolitan 
University
",Digital Economy Act (2017) ,"Office for National Statistics: Coronavirus and the social 
impacts on Great Britain ",Office for National Statistics Secure Research Service,2020-07-28,2020/056,2020,2020Q3,Q3 2020,COVID-19 & Pandemic,Single-Dataset,Descriptive Monitoring,COVID-19 & Pandemic
2020/058,Movers and stayers: explaining variation in residential energy consumption using longitudinal observations of annual energy consumption in moving households,"Eoghan McKenna,
University College London
Minna He, University College London",Digital Economy Act (2017) ,"Department for Business, Energy and Industrial Strategy: Annual gas and electricity 
consumption at the meter 
level ",Office for National Statistics Secure Research Service,2020-07-14,2020/058,2020,2020Q3,Q3 2020,Environment & Agriculture; Housing & Planning,Single-Dataset,Descriptive Monitoring,Environment & Agriculture
2020/078,Addressing Health: Health and mortality of postal workers in England and Wales,"Nicola Shelton,
University College London
Harry Smith,
University of Kingston",Digital Economy Act (2017) ,"Office for National Statistics:
Longitudinal Study of England and Wales ",Office for National Statistics Secure Research Service,2020-10-09,2020/078,2020,2020Q4,Q4 2020,Health & Social Care; Labour Market & Employment,Single-Dataset,Outcome Tracking,Health & Social Care
2020/082,The Effects of Covid-19 on Wellbeing: Changes over time and by Demographic and Socioeconomic Characteristics,"Sarah Bridges,
University of Nottingham
Simona Mateut,
University of Nottingham",Digital Economy Act (2017) ,"Office for National Statistics: Coronavirus and the social 
impacts on Great Britain ",Office for National Statistics Secure Research Service,2020-09-23,2020/082,2020,2020Q3,Q3 2020,"COVID-19 & Pandemic; Poverty, Inequality & Living Standards",Single-Dataset,Descriptive Monitoring; Inequality / Disparities Analysis,COVID-19 & Pandemic
2020/084,ExcessCovidEW: Excess mortality during and after the COVID-19 pandemic in England and Wales,"Francesco Sera,
University of London-University College
Antonio Gasparrini,
London School of Hygiene 
and Tropical Medicine
Rochelle Schneider dos 
Santos,
London School of Hygiene 
and Tropical Medicine
Matteo Scortichini,
London School of Hygiene 
and Tropical Medicine
Pierre Masselot,
London School of Hygiene 
and Tropical Medicine

",Digital Economy Act (2017) ,"Office for National Statistics: Death registration data 
Provisional Monthly 
Extracts  & Death Registrations, 
England and Wales ",Office for National Statistics Secure Research Service,2020-09-15,2020/084,2020,2020Q3,Q3 2020,Health & Social Care; COVID-19 & Pandemic,Within-Domain Linkage,Descriptive Monitoring,Health & Social Care
2020/125,The Effect of Foreign Investors on Local Housing Markets: Evidence from the UK,"Filipa SÃ¡,
King's College London
",Digital Economy Act (2017) ,Office for National Statistics: Quarterly Labour Force Survey ,Office for National Statistics Secure Research Service,2020-07-12,2020/125,2020,2020Q3,Q3 2020,Housing & Planning,Single-Dataset,Policy Evaluation / Impact Analysis,Housing & Planning
2020/061,IFS Deaton Review: Geographic Inequalities and spatial mobility,"Xiaowei Xu,
Institute for Fiscal Studies
Henry Overman,
London School of
Economics
Peter Levell, Institute for Fiscal Studies
",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey, Annual Survey of Hours
and Earnings, Census 1961, Census 1971, Census data 1981, Labour Force Survey
, Labour Force
Survey , New Earnings Survey, Census 2011 
Institute for Social and Economic Research: Understanding Society 
Office for National Statistics: Census 2011 ",Office for National Statistics Secure Research Service,2020-02-07,2020/061,2020,2020Q1,Q1 2020,"Poverty, Inequality & Living Standards; Labour Market & Employment; Migration & Demographics",Within-Domain Linkage,Inequality / Disparities Analysis,"Poverty, Inequality & Living Standards"
2021/001,Mind the Gap: Educational Inequalities during Covid-19: University Applications and Offers,"Angus James Holford,
University of Essex
Birgitta Rabe,
University of Essex
Emilia Del Bono,
University of Essex
Laura Fumagalli,
University of Essex",Digital Economy Act (2017) ,UCAS: Universities and Colleges Admissions Service data ,Office for National Statistics Secure Research Service,2021-02-15,2021/001,2021,2021Q1,Q1 2021,Education & Skills; COVID-19 & Pandemic,Single-Dataset,Inequality / Disparities Analysis,Education & Skills
2021/002,Coronavirus and the social impacts on London,"Barry Fong,
Greater London Authority
Spencer Thompson,
Greater London Authority
Rachel Leeser,
Greater London Authority",Digital Economy Act (2017) ,Office for National Statistics: Coronavirus and the social impacts on Great Britain ,Office for National Statistics Secure Research Service,2021-02-15,2021/002,2021,2021Q1,Q1 2021,"COVID-19 & Pandemic; Poverty, Inequality & Living Standards",Single-Dataset,Descriptive Monitoring,COVID-19 & Pandemic
2021/004,"BEIS/ISC Understanding
the Links Between Social Metrics and Productivity","Danail Popov,
Frontier Economics Ltd
Andrew Leicester,
Frontier Economics Ltd
Giacomo Cattoretti,
Frontier Economics Ltd
Thomas Badger,
Frontier Economics Ltd
Gavin Wallis,
Bank of England",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey, Annual Population Survey , Annual Respondents Database  & Business Structure Database ",Office for National Statistics Secure Research Service,2021-03-02,2021/004,2021,2021Q1,Q1 2021,Business & Productivity; Labour Market & Employment,Cross-Domain Linkage,Descriptive Monitoring,Business & Productivity
2021/005,Occupational segregation by ethnicity: the impact of regional job availability on occupational choice,"Rebecca Rose, London School of
Economics and Political
Science
Stephen Machin, London School of
Economics
John Van Reenen, London School of
Economics",Digital Economy Act (2017) ,"Office for National Statistics: Census 1961, Census 1971, Census 1981, Census 1991, Census 2001, Census 2011 & Labour Force Survey  ",Office for National Statistics Secure Research Service,2021-09-02,2021/005,2021,2021Q3,Q3 2021,"Labour Market & Employment; Gender, Race & Ethnicity",Within-Domain Linkage,Inequality / Disparities Analysis,Labour Market & Employment
2021/006,Understanding the university choice problem: New evidence from revealed preferences and administrative data,"Michael Vlassopoulos,
University of Southampton
Friederike Hertweck,
Free University of Bozen-Bolzano",Digital Economy Act (2017) ,UCAS: Universities and Colleges Admissions Service data ,Office for National Statistics Secure Research Service,2021-08-02,2021/006,2021,2021Q3,Q3 2021,Education & Skills,Single-Dataset,Descriptive Monitoring,Education & Skills
2021/007,The economic and social impact of COVID-19,"Francis Greene,
The University of
Edinburgh",Digital Economy Act (2017) ,Office for National Statistics: Business Impact of COVID-19 Survey  & Coronavirus and the social impacts on Great Britain ,Office for National Statistics Secure Research Service,2021-05-02,2021/007,2021,2021Q2,Q2 2021,"COVID-19 & Pandemic; Business & Productivity; Poverty, Inequality & Living Standards",Within-Domain Linkage,Descriptive Monitoring,COVID-19 & Pandemic
2021/009,Retention of the clinical and ambulance workforce in English NHS hospitals,"Giuseppe Moscelli,
University of Surrey
Jo Blanden,
University of Surrey
Melisa Sayli Ugurlu,
University of Surrey
Marco Mello,
University of Surrey",Digital Economy Act (2017) ,Office for National Statistics: Annual Survey of Hours and Earnings  & Labour Force Survey  ,Office for National Statistics Secure Research Service,2021-02-15,2021/009,2021,2021Q1,Q1 2021,Health & Social Care; Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Health & Social Care
2021/011,Spatial distribution of industry and small area industrial specialisation across GB,"Kenadid Valent,
Office for National Statistics",Digital Economy Act (2017) ,Office for National Statistics: Business Register Employment Survey  & Business Structure Database ,Office for National Statistics Secure Research Service,2021-11-02,2021/011,2021,2021Q4,Q4 2021,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity
2021/013,"Understanding the heterogeneity of COVID-19 mortality impact: an analysis of ethnicity, socioeconomic inequality, and geography","Ridhi Kashyap,
University of Oxford
Jose Aburto,
University of Oxford
Jennifer Dowd,
King's College London
Xuejie Ding,
University of Oxford Sociology
Colin Angus,
University of Sheffield
Andrea Tilstra,
University of Oxford Sociology
Douglas Leasure,
University of Oxford
Katarzyna Doniec, University of Oxford - Sociology
",Digital Economy Act (2017) ,"Office for National Statistics: Death registration data - Provisional Monthly Extracts, Death Registrations, England and Wales  & Linked Census and death occurrences 
Office for National Statistics / University of Oxford: COVID-19 Infection Survey ",Office for National Statistics Secure Research Service,2021-04-02,2021/013,2021,2021Q2,Q2 2021,"COVID-19 & Pandemic; Migration & Demographics; Poverty, Inequality & Living Standards",Within-Domain Linkage,Inequality / Disparities Analysis,COVID-19 & Pandemic
2021/014,Causal evaluation of productivity and efficiency changes from climate policy across UK manufacturing firms,"Corrado Di Maria,
University of East Anglia
Haibo Zhang,
University of East Anglia",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Inquiry, Annual Business Survey, Annual Purchases Survey
, Annual Respondents Database, Business Structure Database  
Department for Business, Energy and Industrial Strategy: Quarterly Fuels Inquiry ",Office for National Statistics Secure Research Service,2021-02-16,2021/014,2021,2021Q1,Q1 2021,Business & Productivity; Environment & Agriculture,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2020/120,COVID-19 Local Area Profiles,"Mark Green,
University of Liverpool
Jacob Macdonald,
University of Liverpool
Maurizio Gibin,
University College London
Simon Leech,
University of Leeds",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey , Annual Survey of Hours and Earnings, Business Structure Database, Coronavirus and the social impacts on Great Britain, Death registration data Provisional Monthly Extracts, Linked Census and death occurrences   & 2011 Census Ethnicity Data
Office for National Statistics / University of Oxford: COVID-19 Infection Survey ",Office for National Statistics Secure Research Service,2020-09-12,2020/120,2020,2020Q3,Q3 2020,COVID-19 & Pandemic; Health & Social Care; Labour Market & Employment,Multi-Domain Linkage,Descriptive Monitoring,COVID-19 & Pandemic
2020/093,Local wellbeing impacts of the Grosvenor Square Gardens Project,"Daniel Robert Dass, Simetrica
Christopher Warner, Simetrica 
Dora Radosevic, Simetrica
Kieran Keohane, Simetrica
Eleni Mataragka,
Simetrica",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey , Annual Population Survey , Crime Survey for England 
and Wales, Labour Force Survey 
, Labour Force Survey 
, Longitudinal Small 
Business Survey 
Department for Education: National Employers Skill 
Survey  
Institute for Social and Economic Research: Understanding Society ",Office for National Statistics Secure Research Service,2021-07-01,2020/093,2021,2021Q3,Q3 2021,"Housing & Planning; Poverty, Inequality & Living Standards",Multi-Domain Linkage,Policy Evaluation / Impact Analysis,Housing & Planning
2021/003,UK Local Employment Multipliers,"Stuart George McIntyre, 
University of Strathclyde
Yushan Mo,
University of Strathclyde
Gioele Figus,
University of Strathclyde",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database  & Annual Population Survey",Office for National Statistics Secure Research Service,2021-02-26,2021/003,2021,2021Q1,Q1 2021,Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Labour Market & Employment
2021/015,Inequalities in the economic impact of COVID-19 pandemic on residents and businesses in Hackney and the City of London,"Diana Divajeva,
Hackney Council
Abigail Webster,
Hackney Council
Mark Green,
University of Liverpool",Digital Economy Act (2017) ,"Office for National Statistics: Business Impact of
COVID-19
Survey, Census 2011 England and Wales: Household
structure for
COVID-19
models, Coronavirus and the social
impacts on Great Britain, Covid-19
Infection Survey, Effects of Tax and Benefits, Labour Force Survey
, Labour Force Survey
, Linked Census and death
occurrences  ",Office for National Statistics Secure Research Service,2021-02-19,2021/015,2021,2021Q1,Q1 2021,"COVID-19 & Pandemic; Poverty, Inequality & Living Standards; Labour Market & Employment",Multi-Domain Linkage,Inequality / Disparities Analysis,COVID-19 & Pandemic
2021/016,Labour market experience of UK Armed Forces veterans,"David Owen,
University of Warwick",Digital Economy Act (2017) ,Office for National Statistics: Annual Population Survey ,Office for National Statistics Secure Research Service,2021-02-26,2021/016,2021,2021Q1,Q1 2021,Labour Market & Employment,Single-Dataset,Descriptive Monitoring,Labour Market & Employment
2021/017,ISCF Medicines Manufacturing Evaluation,"Scott Carter, IPSOS MORI
Michael Loi-Koe, IPSOS MORI",Digital Economy Act (2017) ,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours
and Earnings, Business Enterprise
Research and
Development  & Business Structure
Database  ",Office for National Statistics Secure Research Service,2021-02-26,2021/017,2021,2021Q1,Q1 2021,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2021/008,Income Inequality,"Maryna Ramcharan,
West Midlands Combined Authority 
Anne Green,
Cranfield School of Management 
Rebecca Riley,
National Institute for Economic and Social Research 
Deniz Sevinc,
University of Birmingham ",Digital Economy Act (2017) ,"Office for National Statistics: Annual Population Survey - Person & Households, Annual Survey of Hours and Earnings ",Office for National Statistics Secure Research Service,2021-11-03,2021/008,2021,2021Q4,Q4 2021,"Poverty, Inequality & Living Standards",Within-Domain Linkage,Inequality / Disparities Analysis,"Poverty, Inequality & Living Standards"
